strain	median
AB1	0.00015435
BRC20067	-0.00012278
CB4852	-0.00029465
CB4854	-0.00016506
CB4856	-0.00011054
CB4932	-0.0001638
CX11254	-0.00017965
CX11262	-7.0507e-05
CX11264	-5.825e-05
CX11271	-0.00017056
CX11276	-0.00014019
CX11285	-1.7407e-06
CX11292	-6.245e-05
CX11307	-0.00023864
CX11314	-4.4316e-05
CX11315	-0.00024612
DL200	-0.00013232
DL226	-0.00017352
DL238	-0.00015448
ECA246	-6.3698e-05
ECA248	-9.901e-05
ECA250	-0.00015546
ECA251	-1.3433e-05
ECA252	-8.8051e-05
ECA259	-0.0001756
ECA348	-0.00026036
ECA349	-6.525e-05
ECA36	-0.00016055
ECA363	-9.9903e-05
ECA372	-0.00018787
ECA396	-0.00012435
ED3005	-0.00017032
ED3011	-0.00027478
ED3012	-6.6207e-05
ED3017	-0.0001897
ED3040	-0.00014047
ED3046	-9.0269e-05
ED3048	-0.00016062
ED3049	9.2419e-05
ED3052	-0.00015911
ED3073	-4.5451e-05
ED3077	-0.00017351
EG4347	1.6195e-06
EG4349	-0.00016466
EG4724	-0.00019471
EG4725	-1.3544e-05
EG4946	-0.00011317
GXW1	-0.00015099
JT11398	-6.9407e-05
JU1088	-0.00010282
JU1172	-0.00018755
JU1200	-0.00011456
JU1212	-0.00011407
JU1213	-0.0001953
JU1242	-0.00016134
JU1246	-0.00020857
JU1395	-0.00019106
JU1400	5.6427e-07
JU1409	-0.00013189
JU1440	-5.0083e-05
JU1491	-0.00019281
JU1530	-0.00013246
JU1543	-8.8768e-05
JU1568	0.00023457
JU1580	-0.00011886
JU1581	-0.00013784
JU1586	-4.568e-05
JU1652	-0.0002715
JU1793	-0.00014241
JU1808	-4.7622e-05
JU1896	-8.2919e-05
JU2001	-0.00010999
JU2007	-2.8127e-05
JU2131	-0.0002787
JU2141	6.1707e-05
JU2234	-0.0001131
JU2464	-0.00016313
JU2466	-0.00029848
JU2513	-0.00016418
JU2519	-7.1558e-05
JU2522	9.4668e-06
JU2526	-0.00018199
JU2534	-8.0205e-05
JU2565	-0.00012939
JU2566	-0.00017681
JU2578	-0.00020265
JU258	-0.00011197
JU2587	-0.00015593
JU2593	-7.4358e-05
JU2600	1.8785e-05
JU2800	-0.00011102
JU2862	-1.4072e-05
JU2866	-0.00012852
JU2878	-0.00014816
JU2879	-0.00010615
JU2906	-0.0001429
JU310	-9.1513e-05
JU311	-7.8643e-05
JU3125	-0.00020669
JU3127	-0.00022627
JU3134	8.7732e-06
JU3135	-0.00010544
JU3137	-7.8024e-05
JU3140	-0.00010936
JU323	-0.00021914
JU346	-0.00013303
JU360	-0.00010283
JU367	-0.00015528
JU393	-0.00022933
JU394	-0.00015646
JU397	-0.00012439
JU406	-0.00016442
JU440	-9.9237e-05
JU561	-0.00015329
JU642	-6.5442e-05
JU751	-0.0001729
JU774	-8.5804e-05
JU775	-0.00017866
JU778	-7.3085e-05
JU782	-0.00015012
JU792	-0.00024526
JU830	-6.4171e-05
JU847	-0.00013221
KR314	-0.0001714
LKC34	-9.6053e-05
LSJ1	-0.00019468
MY1	-0.00011308
MY10	-0.00026948
MY16	-0.00013589
MY18	-1.0165e-05
MY2212	-0.00012484
MY23	-0.00012349
MY2453	-0.00014468
MY2530	-0.00018675
MY2535	-0.00010354
MY2573	4.0199e-05
MY2693	-0.00013462
MY2741	-0.00012708
MY679	-0.00011882
MY920	-0.00018636
N2	-8.1886e-05
NIC1	-0.0001325
NIC1107	-0.00026214
NIC166	-0.00016196
NIC195	-0.00019274
NIC199	-9.3762e-05
NIC2	-9.6605e-05
NIC207	-0.00012285
NIC231	-0.00016125
NIC236	-0.00017958
NIC242	-2.2213e-05
NIC251	-4.4439e-05
NIC252	-5.4773e-05
NIC255	-0.00010637
NIC256	-2.6542e-05
NIC258	-0.00013275
NIC259	-3.7895e-05
NIC260	-0.00033195
NIC261	-0.00014045
NIC262	-0.00011483
NIC265	-0.00010946
NIC266	-0.00030034
NIC267	-0.00014775
NIC268	-0.00010897
NIC269	-0.00023441
NIC271	-0.00016615
NIC272	-0.000171
NIC274	-9.6624e-05
NIC275	-0.00012379
NIC276	-0.00018371
NIC277	-0.00012838
NIC3	-0.00014329
NIC513	-0.00021763
NIC514	-0.00014607
NIC522	-0.00015881
NIC523	-0.00021388
PB303	-8.3351e-05
PS2025	-0.00017039
PX179	-0.00012591
QG2075	-0.00014486
QG536	-0.00019338
QG556	-7.3674e-05
QG557	-0.00011987
QW947	-0.00013059
QX1212	-0.00022782
QX1233	-0.0001625
QX1791	-0.00012036
QX1792	-1.8027e-05
QX1793	-0.00015943
QX1794	-0.00018719
RC301	-3.9423e-05
WN2001	-0.00013706
WN2002	-8.6201e-05
WN2033	-0.00020148
XZ1513	-0.00014652
XZ1514	-8.9742e-05
XZ1516	8.0364e-05
