strain	median
AB1	0.0061664
BRC20067	0.037345
CB4852	0.037023
CB4854	0.022068
CB4856	0.019723
CB4932	0.031599
CX11254	0.011878
CX11262	0.010605
CX11264	0.0024732
CX11271	0.016612
CX11276	0.0092751
CX11285	0.014212
CX11292	0.039896
CX11307	0.026839
CX11314	0.017075
CX11315	0.016039
DL200	0.0097939
DL226	0.022794
DL238	0.019471
ECA246	0.017786
ECA248	0.041622
ECA250	0.0032827
ECA251	0.041198
ECA252	0.0015766
ECA259	0.031827
ECA348	0.018584
ECA349	0.017444
ECA36	0.028082
ECA363	0.0056659
ECA372	0.023697
ECA396	0.0084292
ED3005	0.014885
ED3011	0.036678
ED3012	0.0086174
ED3017	0.020673
ED3040	0.025497
ED3046	0.00097894
ED3048	0.044538
ED3049	0.01879
ED3052	0.020119
ED3073	0.01326
ED3077	0.019924
EG4347	0.018722
EG4349	0.02371
EG4724	0.013874
EG4725	0.014169
EG4946	0.026124
GXW1	0.028314
JT11398	0.0066316
JU1088	0.01677
JU1172	0.031961
JU1200	0.019979
JU1212	0.016832
JU1213	0.059561
JU1242	0.011983
JU1246	0.058149
JU1395	0.031298
JU1400	-0.00040821
JU1409	0.047047
JU1440	0.016835
JU1491	0.010116
JU1530	0.013141
JU1543	0.013142
JU1568	-0.00037896
JU1580	0.014846
JU1581	0.033696
JU1586	0.024825
JU1652	0.017429
JU1793	0.014536
JU1808	0.012545
JU1896	0.017879
JU2001	0.01991
JU2007	0.025922
JU2131	0.018597
JU2141	0.012747
JU2234	0.0025835
JU2464	0.0087738
JU2466	0.0057758
JU2513	0.028291
JU2519	0.009723
JU2522	0.0068473
JU2526	0.032492
JU2534	0.0037579
JU2565	0.0071229
JU2566	0.012767
JU2578	0.037732
JU258	0.019353
JU2587	0.021627
JU2593	0.023087
JU2600	-0.00086163
JU2800	0.034244
JU2862	0.022822
JU2866	0.012499
JU2878	0.14533
JU2879	0.009194
JU2906	-0.0030366
JU310	0.0068706
JU311	0.017187
JU3125	0.038278
JU3127	0.0077439
JU3134	0.039759
JU3135	0.025367
JU3137	0.017672
JU3140	0.0045879
JU323	0.008013
JU346	0.0181
JU360	0.024551
JU367	0.015088
JU393	0.024236
JU394	0.030733
JU397	0.013079
JU406	0.022672
JU440	0.029466
JU561	0.010509
JU642	0.0055423
JU751	0.003726
JU774	0.03459
JU775	0.011095
JU778	0.031364
JU782	0.010987
JU792	0.040514
JU830	0.0028063
JU847	0.02567
KR314	-0.0015603
LKC34	0.025175
LSJ1	0.0054997
MY1	0.021217
MY10	0.021102
MY16	0.011251
MY18	0.014513
MY2212	0.0272
MY23	0.020745
MY2453	0.023473
MY2530	0.049139
MY2535	0.014802
MY2573	0.023585
MY2693	0.020895
MY2741	0.028689
MY679	0.025966
MY920	0.030596
N2	0.0011678
NIC1	0.011303
NIC1107	0.011772
NIC166	0.014108
NIC195	0.034064
NIC199	0.039883
NIC2	0.03516
NIC207	0.031545
NIC231	0.01827
NIC236	0.059493
NIC242	0.017028
NIC251	0.011801
NIC252	0.012013
NIC255	0.013441
NIC256	0.027911
NIC258	0.006774
NIC259	0.024884
NIC260	0.031746
NIC261	0.042712
NIC262	0.011965
NIC265	0.017527
NIC266	0.016521
NIC267	0.019838
NIC268	0.024655
NIC269	0.0089438
NIC271	0.00070826
NIC272	0.014258
NIC274	0.014633
NIC275	0.024153
NIC276	0.022315
NIC277	0.034902
NIC3	0.023623
NIC513	0.041071
NIC514	0.031617
NIC522	0.01215
NIC523	0.017626
PB303	0.016035
PS2025	0.017987
PX179	0.029325
QG2075	0.018669
QG536	0.027868
QG556	0.02367
QG557	0.036124
QW947	0.03498
QX1212	0.012913
QX1233	0.017151
QX1791	0.022496
QX1792	0.026987
QX1793	0.011089
QX1794	0.010124
RC301	0.024049
WN2001	0.006509
WN2002	0.012814
WN2033	0.028082
XZ1513	0.026863
XZ1514	0.001398
XZ1516	0.0072834
