strain	median
AB1	-0.0005688
BRC20067	-0.0022367
CB4852	-0.0012303
CB4854	-0.0013027
CB4856	-0.00083471
CB4932	-0.0013305
CX11254	-0.00095648
CX11262	-0.0014429
CX11264	-0.0012292
CX11271	-0.00088821
CX11276	-0.0015937
CX11285	-0.00085939
CX11292	-0.00063409
CX11307	-0.00059194
CX11314	-0.00092327
CX11315	-0.00078251
DL200	-0.0013567
DL226	-0.0012168
DL238	-0.0014439
ECA246	-0.0023626
ECA248	-0.0020224
ECA250	-0.00086389
ECA251	-0.0013718
ECA252	-0.0011494
ECA259	-0.0019791
ECA348	-0.0013635
ECA349	-0.0015037
ECA36	-0.0030399
ECA363	-0.0010302
ECA372	-0.0018504
ECA396	-0.0016858
ED3005	-0.00054144
ED3011	-0.0030696
ED3012	-0.00098593
ED3017	-0.0018233
ED3040	-0.0010225
ED3046	-0.0011521
ED3048	-0.0014418
ED3049	-0.00053409
ED3052	-0.00078001
ED3073	-0.0005064
ED3077	-0.0010454
EG4347	-0.00079582
EG4349	-0.00065536
EG4724	-0.00079162
EG4725	-0.00067968
EG4946	-0.0015416
GXW1	-0.0010927
JT11398	-0.00099071
JU1088	-0.00069019
JU1172	-0.00092386
JU1200	-0.0012948
JU1212	-0.00073424
JU1213	-0.0010051
JU1242	-0.0015435
JU1246	-0.00063376
JU1395	-0.0015064
JU1400	-0.00098719
JU1409	-0.0010227
JU1440	-0.00089964
JU1491	-0.00090626
JU1530	-0.00072424
JU1543	-0.0009403
JU1568	0.00055337
JU1580	-0.0012307
JU1581	-0.0014681
JU1586	-0.00077636
JU1652	-0.0015429
JU1793	-0.0015713
JU1808	-0.00077954
JU1896	-0.0011595
JU2001	-0.00089754
JU2007	-0.0012342
JU2131	-8.9057e-05
JU2141	-0.0015498
JU2234	-0.0022284
JU2464	-0.001908
JU2466	-0.00097142
JU2513	-0.00090195
JU2519	-0.0014703
JU2522	-0.00053605
JU2526	-0.00081428
JU2534	-0.0015328
JU2565	-0.00063843
JU2566	-0.0013251
JU2578	-0.0014979
JU258	-0.0013527
JU2587	-0.00021085
JU2593	-0.00091668
JU2600	-0.00096625
JU2800	-0.0013943
JU2862	-0.0025745
JU2866	-0.002566
JU2878	-0.0021527
JU2879	-0.001917
JU2906	-0.0034745
JU310	-0.00082038
JU311	-0.0016317
JU3125	-0.0015104
JU3127	-0.0012663
JU3134	-0.00041603
JU3135	-0.0014895
JU3137	-0.0011561
JU3140	-0.0021993
JU323	-0.00072281
JU346	-0.00087947
JU360	-0.0017293
JU367	-0.00018449
JU393	-0.0011499
JU394	-0.00063373
JU397	-0.0020797
JU406	-0.00088619
JU440	-0.0014435
JU561	-0.0008891
JU642	-0.0016759
JU751	-0.0024789
JU774	-0.002267
JU775	-0.00025856
JU778	-0.0023438
JU782	-0.00090922
JU792	-0.0018514
JU830	-0.00064812
JU847	-0.0016949
KR314	-0.0012979
LKC34	-0.0011677
LSJ1	-0.00060329
MY1	-0.00086357
MY10	-0.00066017
MY16	-0.00066558
MY18	-0.0010615
MY2212	-0.00056534
MY23	-0.0010938
MY2453	-0.0017306
MY2530	-0.0015449
MY2535	-0.0012264
MY2573	-0.00057193
MY2693	-0.0016567
MY2741	-0.0012945
MY679	-0.0011389
MY920	-0.00059002
N2	-0.00022348
NIC1	-0.0010132
NIC1107	-0.00205
NIC166	-0.00080517
NIC195	-0.0021114
NIC199	-0.0014608
NIC2	-0.0014128
NIC207	-0.00098122
NIC231	-0.0014247
NIC236	-0.0019558
NIC242	-0.0014075
NIC251	-0.0011224
NIC252	-0.0010624
NIC255	-0.00021825
NIC256	-0.00072746
NIC258	-0.00069808
NIC259	-0.00071334
NIC260	-0.0023223
NIC261	-0.0013182
NIC262	-0.0011331
NIC265	-0.00024416
NIC266	-0.00055958
NIC267	-0.00050712
NIC268	-0.00090615
NIC269	-0.0017872
NIC271	-0.0012065
NIC272	-0.0015127
NIC274	0.00015691
NIC275	-0.0016185
NIC276	-0.00091233
NIC277	-0.0021385
NIC3	-0.0012344
NIC513	-0.0016688
NIC514	-0.00065266
NIC522	-0.0010209
NIC523	-0.00077877
PB303	-0.0029222
PS2025	-0.0005096
PX179	-0.00085947
QG2075	-0.00072848
QG536	-0.0011607
QG556	-0.00011852
QG557	-0.00093664
QW947	-0.0016054
QX1212	-0.0013255
QX1233	6.9793e-05
QX1791	-0.0013
QX1792	-0.001054
QX1793	-0.00040256
QX1794	-0.00072127
RC301	-0.00076684
WN2001	0.00022641
WN2002	-0.0011851
WN2033	-0.00048696
XZ1513	-0.0027805
XZ1514	5.1171e-05
XZ1516	-0.0013168
