strain	median
AB1	0.00045788
BRC20067	-0.0010137
CB4852	-0.0022215
CB4854	-0.0010039
CB4856	-0.00069204
CB4932	-0.00105
CX11254	-0.00097446
CX11262	-0.00031639
CX11264	-0.00035768
CX11271	-0.00053144
CX11276	-0.00059813
CX11285	-0.00055247
CX11292	-0.00022255
CX11307	-0.0012343
CX11314	-0.0007702
CX11315	-0.00085846
DL200	-0.00095646
DL226	-0.00086344
DL238	-0.0011457
ECA246	-0.0024081
ECA248	-0.0013327
ECA250	-0.00065121
ECA251	-0.0010124
ECA252	-0.00045545
ECA259	-0.00099409
ECA348	-0.00058294
ECA349	-0.00085939
ECA36	-0.0018787
ECA363	-0.00065882
ECA372	-0.0012478
ECA396	-0.0013603
ED3005	-0.00077174
ED3011	-0.0017988
ED3012	-0.00049737
ED3017	-0.0015605
ED3040	-0.00077527
ED3046	-0.00049571
ED3048	-0.0011415
ED3049	-0.00019332
ED3052	-0.0012158
ED3073	-0.00048749
ED3077	-0.00067072
EG4347	-0.00089111
EG4349	-0.00082731
EG4724	-0.00073905
EG4725	-0.00041342
EG4946	-0.0012492
GXW1	-0.00082607
JT11398	-0.00041462
JU1088	-0.00085354
JU1172	-0.00051524
JU1200	-0.00086422
JU1212	-0.00054045
JU1213	-0.0009472
JU1242	-0.00063331
JU1246	-0.00046995
JU1395	-0.00075584
JU1400	-0.00024346
JU1409	-0.0007695
JU1440	-0.00065178
JU1491	-0.0010399
JU1530	-0.0006006
JU1543	-0.00095861
JU1568	0.0003851
JU1580	-0.0005492
JU1581	-0.001113
JU1586	-0.00084872
JU1652	-0.00089737
JU1793	-0.00090329
JU1808	-0.000618
JU1896	-0.00086896
JU2001	-0.0012373
JU2007	-0.00093885
JU2131	-0.00083443
JU2141	-0.0008836
JU2234	-0.00099801
JU2464	-0.0010608
JU2466	-0.00038011
JU2513	-0.00071486
JU2519	-0.00088278
JU2522	-0.00037149
JU2526	-0.00081699
JU2534	-0.0010478
JU2565	-0.00062202
JU2566	-0.0012748
JU2578	-0.001114
JU258	-0.00075366
JU2587	-0.00072773
JU2593	-0.00042819
JU2600	-0.00070635
JU2800	-0.001088
JU2862	-0.0014723
JU2866	-0.0019152
JU2878	-0.0011239
JU2879	-0.0014538
JU2906	0.00051455
JU310	-4.6922e-05
JU311	-0.0010659
JU3125	-0.0014823
JU3127	-0.0006828
JU3134	-0.00024824
JU3135	-0.00082434
JU3137	-0.00069194
JU3140	-0.00063387
JU323	-0.00020681
JU346	-0.00061292
JU360	-0.0015814
JU367	-0.00087765
JU393	-0.0014099
JU394	-0.0006362
JU397	-0.00078776
JU406	-0.0010209
JU440	-0.00082693
JU561	-0.00074583
JU642	-0.0011694
JU751	-0.00018201
JU774	-0.001546
JU775	-0.00089303
JU778	-0.00079071
JU782	-0.00069406
JU792	-0.00253
JU830	-0.0011127
JU847	-0.0011602
KR314	-0.0018553
LKC34	-0.001109
LSJ1	-0.00070149
MY1	-0.00033982
MY10	-0.00060298
MY16	-0.0006678
MY18	-0.00096581
MY2212	-0.0004572
MY23	-0.00098194
MY2453	-0.001058
MY2530	-0.00072348
MY2535	-0.00094246
MY2573	-0.00051989
MY2693	-0.00067953
MY2741	-0.00084843
MY679	-0.00047156
MY920	-0.00069441
N2	-7.0713e-05
NIC1	-0.00064378
NIC1107	-0.0017174
NIC166	-0.00067298
NIC195	-0.0015272
NIC199	-0.00090689
NIC2	-0.0010057
NIC207	-0.0010732
NIC231	-0.00062555
NIC236	-0.0011305
NIC242	-0.00090966
NIC251	-0.0008383
NIC252	-0.00034395
NIC255	-0.00040768
NIC256	-0.00048739
NIC258	-0.0005578
NIC259	-0.00051516
NIC260	-0.0012883
NIC261	-0.00080403
NIC262	-0.00095382
NIC265	-0.00037791
NIC266	-0.00075951
NIC267	-0.00048588
NIC268	-0.00069954
NIC269	-0.00093056
NIC271	-0.0010868
NIC272	-0.0010025
NIC274	-0.00067052
NIC275	-0.00088501
NIC276	-0.00069416
NIC277	-0.001397
NIC3	-0.00045203
NIC513	-0.0013472
NIC514	-0.0004074
NIC522	-0.00080851
NIC523	-0.00041167
PB303	-0.0017253
PS2025	-0.00064113
PX179	-0.0010013
QG2075	-0.00060199
QG536	-0.00091373
QG556	-0.00023503
QG557	-0.00089798
QW947	-0.0013114
QX1212	-0.0010951
QX1233	-0.00028685
QX1791	-0.0012006
QX1792	-0.00088534
QX1793	-0.0010695
QX1794	-0.00088709
RC301	-0.00052947
WN2001	-0.00028851
WN2002	-0.0016609
WN2033	-0.0010358
XZ1513	-0.0018293
XZ1514	-0.00010158
XZ1516	-0.0010189
