strain	median
AB1	-0.0033377
BRC20067	-0.019494
CB4852	-0.020054
CB4854	-0.021055
CB4856	-0.010438
CB4932	-0.011472
CX11254	-0.0095322
CX11262	-0.005212
CX11264	-0.0028577
CX11271	-0.018338
CX11276	-0.005954
CX11285	-0.010762
CX11292	-0.011263
CX11307	-0.02206
CX11314	-0.0095175
CX11315	-0.01605
DL200	-0.01306
DL226	-0.013056
DL238	-0.017922
ECA246	-0.016375
ECA248	-0.02747
ECA250	-0.0039329
ECA251	-0.018876
ECA252	-0.0033753
ECA259	-0.014912
ECA348	-0.0050286
ECA349	-0.014965
ECA36	-0.030269
ECA363	-0.0040562
ECA372	-0.023131
ECA396	-0.0060219
ED3005	-0.0086462
ED3011	-0.019011
ED3012	-0.008219
ED3017	-0.022707
ED3040	-0.013971
ED3046	-0.0092341
ED3048	-0.020471
ED3049	-0.014341
ED3052	-0.020634
ED3073	-0.019255
ED3077	-0.01988
EG4347	-0.011575
EG4349	-0.013634
EG4724	-0.010184
EG4725	-0.0080397
EG4946	-0.018912
GXW1	-0.0094974
JT11398	-0.0094267
JU1088	-0.015543
JU1172	-0.012913
JU1200	-0.013523
JU1212	-0.015491
JU1213	-0.012282
JU1242	-0.017259
JU1246	-0.01093
JU1395	-0.017436
JU1400	-0.0048201
JU1409	-0.013217
JU1440	-0.01172
JU1491	-0.015532
JU1530	-0.0079512
JU1543	-0.015573
JU1568	-0.00060105
JU1580	-0.010726
JU1581	-0.012004
JU1586	-0.017983
JU1652	-0.010443
JU1793	-0.013575
JU1808	-0.010595
JU1896	-0.011031
JU2001	-0.012288
JU2007	-0.011816
JU2131	-0.012392
JU2141	-0.014685
JU2234	-0.0066602
JU2464	-0.030428
JU2466	-0.0062254
JU2513	-0.014808
JU2519	-0.0055149
JU2522	-0.0097983
JU2526	-0.012864
JU2534	-0.014947
JU2565	-0.0040203
JU2566	-0.01287
JU2578	-0.020104
JU258	-0.012879
JU2587	-0.016053
JU2593	-0.01803
JU2600	-0.014125
JU2800	-0.017968
JU2862	-0.011825
JU2866	-0.018788
JU2878	-0.04656
JU2879	-0.0095708
JU2906	-0.0011922
JU310	-0.0085251
JU311	-0.012181
JU3125	-0.021477
JU3127	-0.015855
JU3134	-0.013057
JU3135	-0.01432
JU3137	-0.0093338
JU3140	-0.0079452
JU323	-0.011312
JU346	-0.01035
JU360	-0.014109
JU367	-0.0096397
JU393	-0.01471
JU394	-0.013537
JU397	-0.0057761
JU406	-0.011153
JU440	-0.014813
JU561	-0.011616
JU642	-0.011455
JU751	-0.0053427
JU774	-0.025086
JU775	-0.011749
JU778	-0.011281
JU782	-0.0086086
JU792	-0.021339
JU830	-0.0046157
JU847	-0.013117
KR314	-0.015579
LKC34	-0.017782
LSJ1	-0.0068858
MY1	-0.011818
MY10	-0.014237
MY16	-0.0066446
MY18	-0.01979
MY2212	-0.015456
MY23	-0.010026
MY2453	-0.012077
MY2530	-0.019959
MY2535	-0.011495
MY2573	-0.0059893
MY2693	-0.016706
MY2741	-0.0161
MY679	-0.014498
MY920	-0.013713
N2	-0.0018549
NIC1	-0.012366
NIC1107	-0.014402
NIC166	-0.010291
NIC195	-0.027822
NIC199	-0.011941
NIC2	-0.019303
NIC207	-0.018176
NIC231	-0.018929
NIC236	-0.019799
NIC242	-0.013363
NIC251	-0.010695
NIC252	-0.0047417
NIC255	-0.0048445
NIC256	-0.010242
NIC258	-0.0067975
NIC259	-0.011488
NIC260	-0.023086
NIC261	-0.014545
NIC262	-0.01612
NIC265	-0.014975
NIC266	-0.012777
NIC267	-0.014026
NIC268	-0.010638
NIC269	-0.0078099
NIC271	-0.018718
NIC272	-0.010768
NIC274	-0.011674
NIC275	-0.013043
NIC276	-0.01325
NIC277	-0.026613
NIC3	-0.0081627
NIC513	-0.02438
NIC514	-0.011057
NIC522	-0.015269
NIC523	-0.0099712
PB303	-0.013022
PS2025	-0.013119
PX179	-0.018526
QG2075	-0.0077735
QG536	-0.017331
QG556	-0.0098766
QG557	-0.016849
QW947	-0.022453
QX1212	-0.011684
QX1233	-0.010849
QX1791	-0.013965
QX1792	-0.014878
QX1793	-0.0093038
QX1794	-0.011268
RC301	-0.011506
WN2001	-0.0030823
WN2002	-0.012919
WN2033	-0.010769
XZ1513	-0.019326
XZ1514	-0.00064539
XZ1516	-0.0082428
