strain	median
AB1	1.1467
BRC20067	-0.19723
CB4852	1.6371
CB4854	0.75427
CB4856	0.92312
CB4932	1.3162
CX11254	1.4277
CX11262	-0.24728
CX11264	-0.1441
CX11271	1.0712
CX11276	1.5325
CX11285	-0.23065
CX11292	0.31783
CX11307	0.33958
CX11314	1.3443
CX11315	1.9016
DL200	0.5001
DL226	1.6761
DL238	0.91182
ECA246	2.0177
ECA248	1.2353
ECA250	0.17094
ECA251	1.3461
ECA252	0.61419
ECA259	1.6825
ECA348	-1.0036
ECA349	0.28909
ECA36	2.2053
ECA363	2.0829
ECA372	1.5754
ECA396	1.0641
ED3005	1.3779
ED3011	1.2916
ED3012	0.6287
ED3017	1.7904
ED3040	1.5473
ED3046	0.55168
ED3048	1.2869
ED3049	0.54905
ED3052	2.1509
ED3073	0.94454
ED3077	-0.017673
EG4347	1.1361
EG4349	0.46177
EG4724	1.2795
EG4725	1.3714
EG4946	1.7426
GXW1	1.3151
JT11398	0.70693
JU1088	0.88473
JU1172	1.6786
JU1200	0.93656
JU1212	1.0199
JU1213	1.4792
JU1242	1.5312
JU1246	-0.3853
JU1395	1.1466
JU1400	1.0669
JU1409	1.7943
JU1440	0.61439
JU1491	1.4543
JU1530	1.4515
JU1543	0.48611
JU1568	0.84027
JU1580	0.48836
JU1581	0.18695
JU1586	1.7391
JU1652	1.1733
JU1793	1.4455
JU1808	-0.47751
JU1896	0.99435
JU2001	-0.06286
JU2007	0.60662
JU2131	0.82908
JU2141	2.4871
JU2234	1.8943
JU2464	1.0805
JU2466	1.056
JU2513	1.4484
JU2519	0.62999
JU2522	0.554
JU2526	1.5845
JU2534	0.35974
JU2565	0.042161
JU2566	1.5006
JU2578	-0.79457
JU258	0.82581
JU2587	0.89279
JU2593	1.9576
JU2600	1.8825
JU2800	1.2123
JU2862	1.395
JU2866	1.6758
JU2878	1.0351
JU2879	2.2082
JU2906	1.4392
JU310	-0.10599
JU311	1.5715
JU3125	1.9138
JU3127	0.86687
JU3134	1.8925
JU3135	0.7541
JU3137	-0.14213
JU3140	0.79688
JU323	0.98057
JU346	0.50104
JU360	3.9109
JU367	0.2992
JU393	1.3822
JU394	1.6366
JU397	0.45988
JU406	1.4931
JU440	2.1397
JU561	1.5427
JU642	1.616
JU751	1.2566
JU774	1.8568
JU775	1.3307
JU778	0.28773
JU782	1.325
JU792	1.1581
JU830	0.92825
JU847	0.806
KR314	0.66533
LKC34	0.94527
LSJ1	0.25894
MY1	1.6006
MY10	0.90702
MY16	1.2482
MY18	1.2284
MY2212	0.67348
MY23	1.9885
MY2453	1.6622
MY2530	0.62291
MY2535	1.5238
MY2573	0.85247
MY2693	-0.21369
MY2741	0.90837
MY679	0.61602
MY920	0.30842
N2	0.3453
NIC1	0.76981
NIC1107	0.73153
NIC166	0.15826
NIC195	0.68299
NIC199	1.376
NIC2	1.8933
NIC207	1.0934
NIC231	2.1033
NIC236	1.8305
NIC242	1.4068
NIC251	1.2552
NIC252	0.012482
NIC255	0.88008
NIC256	0.43208
NIC258	0.11871
NIC259	-0.027133
NIC260	1.0027
NIC261	1.3435
NIC262	1.232
NIC265	1.2724
NIC266	0.87914
NIC267	1.3314
NIC268	1.3007
NIC269	1.0657
NIC271	2.2061
NIC272	0.84422
NIC274	0.8411
NIC275	0.084177
NIC276	1.8916
NIC277	1.7143
NIC3	1.1834
NIC513	0.82384
NIC514	0.82191
NIC522	0.97617
NIC523	0.95884
PB303	2.6107
PS2025	0.81082
PX179	0.79723
QG2075	1.0828
QG536	1.8373
QG556	1.0373
QG557	-0.2778
QW947	0.90556
QX1212	1.0169
QX1233	0.59318
QX1791	0.6562
QX1792	0.58119
QX1793	1.5638
QX1794	0.38369
RC301	0.7187
WN2001	1.414
WN2002	1.4164
WN2033	1.248
XZ1513	0.61753
XZ1514	-0.41938
XZ1516	2.0451
