strain	median
AB1	0.0084883
BRC20067	-0.031762
CB4852	-0.032251
CB4854	-0.084278
CB4856	-0.12803
CB4932	-0.042344
CX11254	-0.09314
CX11262	-0.16497
CX11264	-0.0067244
CX11271	-0.050551
CX11276	-0.01147
CX11285	-0.22918
CX11292	-0.054557
CX11307	0.054823
CX11314	0.016253
CX11315	-0.059604
DL200	-0.0077551
DL226	-0.076471
DL238	0.018078
ECA246	0.0058849
ECA248	-0.12702
ECA250	-0.11448
ECA251	-0.086374
ECA252	0.0039023
ECA259	-0.084309
ECA348	0.095757
ECA349	-0.056754
ECA36	-0.19044
ECA363	-0.041397
ECA372	-0.056102
ECA396	-0.33207
ED3005	-0.036403
ED3011	-0.086222
ED3012	-0.030481
ED3017	-0.039185
ED3040	-0.08876
ED3046	-0.042633
ED3048	-0.065292
ED3049	-0.053852
ED3052	-0.087037
ED3073	-0.046034
ED3077	-0.04651
EG4347	-0.03287
EG4349	-0.0065536
EG4724	-0.0086807
EG4725	-0.0021437
EG4946	-0.11633
GXW1	-0.072352
JT11398	-0.028472
JU1088	-0.034471
JU1172	-0.17758
JU1200	-0.028148
JU1212	-0.086224
JU1213	-0.1356
JU1242	0.01574
JU1246	-0.15055
JU1395	-0.013516
JU1400	-0.040034
JU1409	-0.16913
JU1440	-0.093249
JU1491	-0.048804
JU1530	-0.10927
JU1543	0.0080029
JU1568	0.020544
JU1580	-0.023558
JU1581	-0.068882
JU1586	-0.064469
JU1652	-0.049816
JU1793	-0.12492
JU1808	-0.10444
JU1896	-0.088226
JU2001	-0.052867
JU2007	-0.044419
JU2131	-0.049812
JU2141	-0.11132
JU2234	-0.12178
JU2464	0.0082071
JU2466	0.015664
JU2513	-0.056784
JU2519	-0.036226
JU2522	-0.11554
JU2526	-0.10467
JU2534	-0.082576
JU2565	-0.0096225
JU2566	-0.12347
JU2578	-0.071158
JU258	-0.082243
JU2587	0.035559
JU2593	-0.043322
JU2600	-0.087876
JU2800	-0.10482
JU2862	-0.093585
JU2866	-0.092288
JU2878	-0.081319
JU2879	-0.13835
JU2906	0.057697
JU310	-0.038901
JU311	-0.074174
JU3125	-0.024457
JU3127	-0.051605
JU3134	-0.073758
JU3135	-0.11016
JU3137	-0.011925
JU3140	-0.084374
JU323	-0.041132
JU346	0.011615
JU360	-0.071032
JU367	-0.11149
JU393	-0.081538
JU394	-0.022552
JU397	-0.041865
JU406	-0.01498
JU440	-0.083044
JU561	-0.065803
JU642	-0.072545
JU751	-0.028592
JU774	-0.072091
JU775	-0.048845
JU778	-0.02324
JU782	0.037147
JU792	-0.084898
JU830	-0.0216
JU847	-0.13916
KR314	0.0011581
LKC34	-0.04168
LSJ1	-0.077508
MY1	-0.04218
MY10	-0.041513
MY16	-0.070636
MY18	-0.074579
MY2212	-0.018484
MY23	-0.092487
MY2453	-0.078587
MY2530	-0.026622
MY2535	-0.077725
MY2573	-0.079272
MY2693	-0.012975
MY2741	-0.062546
MY679	0.043743
MY920	-0.065296
N2	0.032375
NIC1	-0.12039
NIC1107	-0.070882
NIC166	-0.087339
NIC195	-0.079215
NIC199	-0.054249
NIC2	-0.096861
NIC207	-0.10986
NIC231	-0.1115
NIC236	-0.11308
NIC242	-0.11183
NIC251	-0.03917
NIC252	-0.20598
NIC255	-0.097829
NIC256	-0.1155
NIC258	-0.031681
NIC259	-0.15133
NIC260	0.022422
NIC261	-0.12942
NIC262	-0.089185
NIC265	-0.056432
NIC266	-0.023258
NIC267	-0.027234
NIC268	-0.1495
NIC269	-0.11385
NIC271	-0.060009
NIC272	-0.0046742
NIC274	-0.10832
NIC275	-0.056184
NIC276	-0.027645
NIC277	-0.14463
NIC3	-0.11543
NIC513	-0.13469
NIC514	-0.037455
NIC522	-0.10069
NIC523	-0.0060511
PB303	-0.011431
PS2025	-0.050076
PX179	-0.039325
QG2075	-0.03438
QG536	-0.13134
QG556	-0.028967
QG557	-0.12706
QW947	-0.061151
QX1212	-0.022856
QX1233	-0.015365
QX1791	-0.082237
QX1792	-0.049838
QX1793	-0.063733
QX1794	-0.0279
RC301	-0.088021
WN2001	-0.095746
WN2002	-0.10478
WN2033	-0.042641
XZ1513	0.003716
XZ1514	0.076165
XZ1516	-0.025184
