strain	median
AB1	-0.076684
BRC20067	-0.039156
CB4852	-0.047174
CB4854	-0.07824
CB4856	-0.12115
CB4932	-0.022655
CX11254	-0.090383
CX11262	-0.21447
CX11264	-0.0021174
CX11271	-0.10832
CX11276	-0.043186
CX11285	-0.22467
CX11292	-0.090373
CX11307	0.019539
CX11314	0.0018479
CX11315	-0.040329
DL200	-0.025472
DL226	-0.10696
DL238	-0.00038999
ECA246	-0.024918
ECA248	-0.17706
ECA250	-0.10899
ECA251	-0.11069
ECA252	0.00066435
ECA259	-0.1155
ECA348	0.12909
ECA349	-0.1147
ECA36	-0.13149
ECA363	-0.099242
ECA372	-0.088474
ECA396	-0.31449
ED3005	-0.034186
ED3011	-0.12333
ED3012	-0.055225
ED3017	-0.1047
ED3040	-0.094648
ED3046	-0.058076
ED3048	-0.072324
ED3049	-0.066049
ED3052	-0.11333
ED3073	-0.012332
ED3077	-0.056076
EG4347	-0.0596
EG4349	0.00046957
EG4724	0.0034361
EG4725	-0.0024807
EG4946	-0.097744
GXW1	-0.10613
JT11398	-0.040352
JU1088	-0.061102
JU1172	-0.14513
JU1200	-0.026253
JU1212	-0.11731
JU1213	-0.13868
JU1242	-0.025665
JU1246	-0.10584
JU1395	-0.01318
JU1400	-0.072967
JU1409	-0.13217
JU1440	-0.11257
JU1491	-0.070799
JU1530	-0.12484
JU1543	0.074622
JU1568	-0.034686
JU1580	-0.08108
JU1581	-0.14144
JU1586	-0.074747
JU1652	-0.11536
JU1793	-0.090532
JU1808	-0.046152
JU1896	-0.092283
JU2001	-0.044322
JU2007	-0.10142
JU2131	-0.011476
JU2141	-0.098021
JU2234	-0.093084
JU2464	-0.03343
JU2466	-0.0055846
JU2513	-0.1142
JU2519	-0.059095
JU2522	-0.096005
JU2526	-0.13403
JU2534	-0.075482
JU2565	-0.043685
JU2566	-0.18204
JU2578	-0.047595
JU258	-0.11821
JU2587	0.012274
JU2593	-0.061029
JU2600	-0.11669
JU2800	-0.099079
JU2862	-0.13641
JU2866	-0.11455
JU2878	-0.034969
JU2879	-0.11167
JU2906	-0.021873
JU310	0.041443
JU311	-0.080265
JU3125	-0.067207
JU3127	-0.067409
JU3134	-0.074706
JU3135	-0.12031
JU3137	-0.039037
JU3140	-0.11761
JU323	-0.047845
JU346	-0.02993
JU360	-0.13493
JU367	-0.072366
JU393	-0.11593
JU394	-0.054568
JU397	-0.038329
JU406	-0.019048
JU440	-0.1055
JU561	-0.045015
JU642	-0.1352
JU751	-0.078544
JU774	-0.099965
JU775	-0.088406
JU778	-0.06424
JU782	-0.010221
JU792	-0.098561
JU830	-0.0087942
JU847	-0.099374
KR314	-0.011295
LKC34	-0.05192
LSJ1	-0.043655
MY1	-0.031036
MY10	0.036503
MY16	-0.092747
MY18	-0.065071
MY2212	-0.088903
MY23	-0.1195
MY2453	-0.062782
MY2530	-0.015675
MY2535	-0.08177
MY2573	-0.07738
MY2693	0.016631
MY2741	-0.095018
MY679	0.045043
MY920	-0.043173
N2	0.03202
NIC1	-0.13562
NIC1107	-0.11403
NIC166	-0.089853
NIC195	-0.095985
NIC199	-0.089354
NIC2	-0.11282
NIC207	-0.10817
NIC231	-0.11525
NIC236	-0.055774
NIC242	-0.091293
NIC251	-0.015827
NIC252	-0.2229
NIC255	-0.096925
NIC256	-0.11808
NIC258	-0.019648
NIC259	-0.14474
NIC260	0.033083
NIC261	-0.086015
NIC262	-0.11362
NIC265	-0.075945
NIC266	-0.0075903
NIC267	0.0019405
NIC268	-0.14235
NIC269	-0.092623
NIC271	-0.092842
NIC272	0.010904
NIC274	-0.15064
NIC275	-0.048187
NIC276	-0.028784
NIC277	-0.13771
NIC3	-0.071806
NIC513	-0.11131
NIC514	-0.06345
NIC522	-0.10048
NIC523	-0.04849
PB303	-0.058935
PS2025	-0.026764
PX179	-0.072164
QG2075	-0.054267
QG536	-0.15462
QG556	-0.013054
QG557	-0.12595
QW947	-0.087966
QX1212	-0.02883
QX1233	-0.020845
QX1791	-0.093859
QX1792	-0.12734
QX1793	-0.12029
QX1794	-0.020118
RC301	-0.092735
WN2001	-0.12466
WN2002	-0.11266
WN2033	-0.066536
XZ1513	-0.0073732
XZ1514	0.065778
XZ1516	-0.027696
