strain	median
AB1	-0.03208
BRC20067	-0.014414
CB4852	-0.013727
CB4854	-0.047829
CB4856	-0.066364
CB4932	-0.018819
CX11254	-0.036948
CX11262	-0.11911
CX11264	-0.010199
CX11271	-0.050964
CX11276	-0.022522
CX11285	-0.10913
CX11292	-0.037357
CX11307	0.014812
CX11314	0.0045008
CX11315	-0.015587
DL200	-0.018641
DL226	-0.07011
DL238	-0.0044568
ECA246	-0.005973
ECA248	-0.084289
ECA250	-0.049279
ECA251	-0.053514
ECA252	-0.0038113
ECA259	-0.053669
ECA348	0.0856
ECA349	-0.057251
ECA36	-0.061087
ECA363	-0.042125
ECA372	-0.046231
ECA396	-0.17837
ED3005	-0.025635
ED3011	-0.067449
ED3012	-0.03089
ED3017	-0.068936
ED3040	-0.049777
ED3046	-0.033054
ED3048	-0.044985
ED3049	-0.035306
ED3052	-0.063338
ED3073	-0.017011
ED3077	-0.024195
EG4347	-0.023215
EG4349	0.0062286
EG4724	9.6977e-05
EG4725	0.0018317
EG4946	-0.062214
GXW1	-0.051562
JT11398	-0.020594
JU1088	-0.030301
JU1172	-0.087266
JU1200	-0.0069448
JU1212	-0.066789
JU1213	-0.081639
JU1242	-0.016357
JU1246	-0.062916
JU1395	-0.011276
JU1400	-0.028621
JU1409	-0.096901
JU1440	-0.07338
JU1491	-0.024756
JU1530	-0.079314
JU1543	0.051069
JU1568	-0.0093288
JU1580	-0.020894
JU1581	-0.065191
JU1586	-0.038839
JU1652	-0.067154
JU1793	-0.039898
JU1808	-0.016484
JU1896	-0.072715
JU2001	-0.040764
JU2007	-0.045449
JU2131	-0.0056793
JU2141	-0.059684
JU2234	-0.088807
JU2464	-0.0021675
JU2466	0.00097209
JU2513	-0.064701
JU2519	-0.031093
JU2522	-0.054278
JU2526	-0.071215
JU2534	-0.035037
JU2565	-0.015272
JU2566	-0.094269
JU2578	-0.019624
JU258	-0.067385
JU2587	0.020707
JU2593	-0.04108
JU2600	-0.056626
JU2800	-0.062962
JU2862	-0.049618
JU2866	-0.07257
JU2878	-0.024519
JU2879	-0.040502
JU2906	0.021734
JU310	0.0015092
JU311	-0.033133
JU3125	-0.025351
JU3127	-0.047457
JU3134	-0.040119
JU3135	-0.080261
JU3137	-0.021639
JU3140	-0.069091
JU323	-0.032863
JU346	0.00084376
JU360	-0.063895
JU367	-0.046921
JU393	-0.065776
JU394	-0.020889
JU397	-0.0089835
JU406	0.00012457
JU440	-0.065515
JU561	-0.024688
JU642	-0.078887
JU751	-0.037205
JU774	-0.040036
JU775	-0.036017
JU778	-0.027202
JU782	0.0053964
JU792	-0.040615
JU830	-0.00055218
JU847	-0.075791
KR314	0.0094666
LKC34	-0.030224
LSJ1	0.0051337
MY1	-0.017297
MY10	-0.0024489
MY16	-0.055724
MY18	-0.046935
MY2212	-0.071973
MY23	-0.064509
MY2453	-0.033105
MY2530	-0.010002
MY2535	-0.051936
MY2573	-0.044029
MY2693	0.0060886
MY2741	-0.050729
MY679	0.020618
MY920	-0.02366
N2	0.019078
NIC1	-0.076462
NIC1107	-0.054177
NIC166	-0.058131
NIC195	-0.041621
NIC199	-0.054438
NIC2	-0.054517
NIC207	-0.057854
NIC231	-0.069308
NIC236	-0.02551
NIC242	-0.045965
NIC251	-0.02427
NIC252	-0.11807
NIC255	-0.047801
NIC256	-0.060685
NIC258	-0.0086478
NIC259	-0.10445
NIC260	0.024337
NIC261	-0.055079
NIC262	-0.050045
NIC265	-0.048339
NIC266	-0.011997
NIC267	0.0011411
NIC268	-0.10757
NIC269	-0.085052
NIC271	-0.039191
NIC272	0.0081679
NIC274	-0.092973
NIC275	-0.035939
NIC276	-0.02751
NIC277	-0.073216
NIC3	-0.056585
NIC513	-0.069253
NIC514	-0.028075
NIC522	-0.049869
NIC523	-0.032431
PB303	-0.025859
PS2025	-0.0092824
PX179	-0.035655
QG2075	-0.037326
QG536	-0.079954
QG556	-0.00094151
QG557	-0.078912
QW947	-0.03602
QX1212	-0.013628
QX1233	-0.018576
QX1791	-0.045358
QX1792	-0.063044
QX1793	-0.061023
QX1794	-0.016817
RC301	-0.046467
WN2001	-0.055427
WN2002	-0.07103
WN2033	-0.04161
XZ1513	-0.010561
XZ1514	0.025992
XZ1516	-0.021425
