strain	median
AB1	1.2213
BRC20067	0.43676
CB4852	1.3306
CB4854	1.8222
CB4856	1.9831
CB4932	0.49388
CX11254	-0.41385
CX11262	2.8111
CX11264	0.50111
CX11271	2.5922
CX11276	0.95084
CX11285	1.9797
CX11292	1.9344
CX11307	0.5337
CX11314	2.2611
CX11315	1.8544
DL200	0.41875
DL226	1.2939
DL238	1.3122
ECA246	1.0428
ECA248	1.9403
ECA250	-0.12807
ECA251	2.5056
ECA252	-0.18139
ECA259	2.3084
ECA348	-1.5245
ECA349	1.0045
ECA36	1.8076
ECA363	0.52669
ECA372	1.4052
ECA396	3.1365
ED3005	0.82955
ED3011	0.69775
ED3012	1.6087
ED3017	1.4438
ED3040	1.9296
ED3046	0.982
ED3048	1.8361
ED3049	1.7717
ED3052	1.8286
ED3073	0.80971
ED3077	1.1249
EG4347	1.5463
EG4349	0.46594
EG4724	0.98057
EG4725	1.404
EG4946	1.7411
GXW1	1.1726
JT11398	1.6344
JU1088	1.0637
JU1172	2.4712
JU1200	0.85658
JU1212	1.0584
JU1213	1.6964
JU1242	2.1929
JU1246	2.3031
JU1395	0.79327
JU1400	0.95429
JU1409	1.8925
JU1440	0.96195
JU1491	1.2087
JU1530	1.7387
JU1543	0.83882
JU1568	-0.39507
JU1580	1.8154
JU1581	1.9507
JU1586	1.1847
JU1652	1.0131
JU1793	2.1291
JU1808	1.6837
JU1896	1.6527
JU2001	1.4014
JU2007	2.8382
JU2131	2.6236
JU2141	0.95912
JU2234	0.83017
JU2464	0.36848
JU2466	0.99811
JU2513	2.5595
JU2519	0.4432
JU2522	0.30265
JU2526	1.6807
JU2534	1.8376
JU2565	0.74427
JU2566	0.4012
JU2578	1.0503
JU258	1.3005
JU2587	0.27184
JU2593	1.0659
JU2600	1.3169
JU2800	2.5255
JU2862	1.1091
JU2866	1.2702
JU2878	1.1213
JU2879	1.6
JU2906	0.96952
JU310	0.7408
JU311	2.0892
JU3125	0.45957
JU3127	1.3678
JU3134	1.7766
JU3135	1.0563
JU3137	1.3154
JU3140	-0.22173
JU323	1.2039
JU346	0.26112
JU360	4.0098
JU367	1.2635
JU393	1.8461
JU394	2.1296
JU397	0.50201
JU406	1.0438
JU440	1.9695
JU561	0.051929
JU642	1.3298
JU751	-0.82678
JU774	1.5023
JU775	2.2799
JU778	0.67129
JU782	1.2261
JU792	0.36376
JU830	-0.41985
JU847	0.71529
KR314	0.60875
LKC34	1.2765
LSJ1	1.3001
MY1	0.45449
MY10	2.4666
MY16	1.0197
MY18	2.6947
MY2212	2.2068
MY23	2.2503
MY2453	0.84467
MY2530	0.85492
MY2535	1.7576
MY2573	1.3098
MY2693	0.85289
MY2741	1.9137
MY679	0.55255
MY920	0.71477
N2	-0.11368
NIC1	0.99507
NIC1107	0.42154
NIC166	1.4422
NIC195	0.70709
NIC199	1.8883
NIC2	1.175
NIC207	0.61663
NIC231	0.8225
NIC236	1.383
NIC242	1.1553
NIC251	0.2336
NIC252	0.9514
NIC255	0.66991
NIC256	0.71021
NIC258	0.15637
NIC259	1.8988
NIC260	-0.55428
NIC261	2.8491
NIC262	1.1769
NIC265	1.3692
NIC266	1.481
NIC267	2.4582
NIC268	1.9051
NIC269	1.0125
NIC271	2.3737
NIC272	1.0314
NIC274	1.0254
NIC275	0.64737
NIC276	2.1704
NIC277	2.0394
NIC3	0.52227
NIC513	1.3011
NIC514	0.74846
NIC522	2.4876
NIC523	1.2634
PB303	-0.10446
PS2025	1.6026
PX179	2.0605
QG2075	1.886
QG536	2.4153
QG556	1.6468
QG557	2.0509
QW947	0.87133
QX1212	0.63286
QX1233	-0.014491
QX1791	1.1012
QX1792	1.0513
QX1793	1.5774
QX1794	0.70414
RC301	0.77304
WN2001	2.2757
WN2002	1.4233
WN2033	0.38524
XZ1513	0.13578
XZ1514	-0.78353
XZ1516	1.0617
