strain	median
AB1	-3.4646
BRC20067	-34.7425
CB4852	-5.1485
CB4854	-14.535
CB4856	-32.2765
CB4932	-11.2151
CX11254	-28.6106
CX11262	-46.0545
CX11264	-24.5961
CX11271	-39.0152
CX11276	-37.3032
CX11285	-9.4271
CX11292	-21.6986
CX11307	-39.6092
CX11314	-6.1952
CX11315	-49.8947
DL200	-24.1769
DL226	-32.5413
DL238	-14.9079
ECA246	-19.0423
ECA248	-30.9752
ECA250	9.8857
ECA251	-8.964
ECA252	-3.2788
ECA259	-98.1675
ECA348	30.8036
ECA349	-13.0468
ECA36	-44.1264
ECA363	-3.1799
ECA372	-33.1255
ECA396	-19.9164
ED3005	19.0283
ED3011	-36.0391
ED3012	-42.2248
ED3017	-44.0057
ED3040	-6.9647
ED3046	14.8821
ED3048	-76.4273
ED3049	-4.8262
ED3052	-23.8088
ED3073	-10.6369
ED3077	-18.1284
EG4347	1.8431
EG4349	0.62074
EG4724	-3.9217
EG4725	-12.0451
EG4946	-23.1031
GXW1	12.4971
JT11398	-8.3032
JU1088	-19.5252
JU1172	-41.4042
JU1200	-11.3457
JU1212	-0.91998
JU1213	-35.6893
JU1242	-23.1147
JU1246	-40.6637
JU1395	14.252
JU1400	-10.8323
JU1409	-48.5231
JU1440	-24.2951
JU1491	-22.021
JU1530	3.6486
JU1543	-34.0448
JU1568	-0.46471
JU1580	-26.6315
JU1581	-59.3852
JU1586	4.2751
JU1652	-22.2258
JU1793	-48.8719
JU1808	-41.9304
JU1896	-28.5243
JU2001	-5.2959
JU2007	-15.5968
JU2131	21.8466
JU2141	-16.3503
JU2234	-54.1702
JU2464	0.45763
JU2466	1.1967
JU2513	-26.7336
JU2519	-21.4845
JU2522	-50.039
JU2526	-54.679
JU2534	-26.8344
JU2565	-18.1249
JU2566	-13.2616
JU2578	-28.3568
JU258	-10.7083
JU2587	-2.6275
JU2593	-7.2485
JU2600	-46.1565
JU2800	-69.8739
JU2862	-35.6961
JU2866	-55.4775
JU2878	-5.1622
JU2879	-62.6589
JU2906	10.2302
JU310	-16.3024
JU311	-18.4656
JU3125	-58.0453
JU3127	-52.1
JU3134	-17.2785
JU3135	-50.4239
JU3137	-41.2404
JU3140	-15.3368
JU323	-5.6932
JU346	3.5281
JU360	-58.8798
JU367	-22.869
JU393	-39.7836
JU394	9.4923
JU397	-39.9986
JU406	-18.3921
JU440	-14.2289
JU561	-11.8191
JU642	-55.4344
JU751	-67.2898
JU774	-47.9557
JU775	-9.1637
JU778	-27.4527
JU782	-2.0092
JU792	-5.6249
JU830	-3.2206
JU847	-39.9895
KR314	7.7318
LKC34	-18.8647
LSJ1	-28.1064
MY1	14.3215
MY10	-46.1993
MY16	-5.1833
MY18	-12.5537
MY2212	-23.92
MY23	-43.5955
MY2453	3.6995
MY2530	-38.0966
MY2535	-66.0228
MY2573	-10.2633
MY2693	-42.888
MY2741	-44.6713
MY679	-25.1729
MY920	-47.7605
N2	10.737
NIC1	-14.1207
NIC1107	-14.741
NIC166	6.4374
NIC195	-29.4108
NIC199	-55.2932
NIC2	-27.3085
NIC207	-11.621
NIC231	-20.6614
NIC236	-21.0312
NIC242	0.80594
NIC251	-18.9685
NIC252	-30.5367
NIC255	-17.8202
NIC256	-5.8486
NIC258	-2.9734
NIC259	-20.4391
NIC260	31.3629
NIC261	-21.8347
NIC262	-17.8113
NIC265	1.7539
NIC266	-11.1832
NIC267	-9.039
NIC268	-65.281
NIC269	-25.6075
NIC271	-13.2982
NIC272	-18.5425
NIC274	-17.5193
NIC275	-22.4083
NIC276	-37.7756
NIC277	-31.8854
NIC3	-8.1976
NIC513	-37.7362
NIC514	-13.631
NIC522	-29.2606
NIC523	-28.3883
PB303	-30.8755
PS2025	-41.6051
PX179	-27.3271
QG2075	-41.9048
QG536	-28.0838
QG556	-2.4748
QG557	-34.9032
QW947	-25.0547
QX1212	-19.2349
QX1233	-14.8823
QX1791	-37.6804
QX1792	-34.193
QX1793	4.2555
QX1794	-23.0117
RC301	-6.4059
WN2001	-53.1723
WN2002	-56.547
WN2033	-32.1913
XZ1513	-0.33058
XZ1514	-14.9458
XZ1516	-48.1702
