strain	median
AB1	45.0634
BRC20067	38.8815
CB4852	32.8583
CB4854	34.3506
CB4856	16.3467
CB4932	52.5895
CX11254	19.5219
CX11262	7.3183
CX11264	16.7042
CX11271	6.9539
CX11276	20.8998
CX11285	13.3667
CX11292	32.1163
CX11307	11.5061
CX11314	27.0314
CX11315	15.2365
DL200	37.9519
DL226	27.4117
DL238	22.0837
ECA246	14.891
ECA248	46.8681
ECA250	16.3772
ECA251	31.7842
ECA252	24.7575
ECA259	11.4078
ECA348	10.9907
ECA349	26.6014
ECA36	12.897
ECA363	9.7356
ECA372	26.4208
ECA396	12.0414
ED3005	57.5111
ED3011	22.5352
ED3012	23.6792
ED3017	25.8629
ED3040	50.3987
ED3046	81.3761
ED3048	23.4375
ED3049	15.2027
ED3052	24.0107
ED3073	29.3964
ED3077	46.6834
EG4347	39.4219
EG4349	53.4853
EG4724	33.8705
EG4725	20.294
EG4946	27.2165
GXW1	73.1388
JT11398	48.0909
JU1088	25.3265
JU1172	10.863
JU1200	20.2249
JU1212	27.3712
JU1213	38.7464
JU1242	30.254
JU1246	35.6405
JU1395	24.9214
JU1400	14.1545
JU1409	9.2852
JU1440	44.0393
JU1491	32.0908
JU1530	22.9499
JU1543	25.9507
JU1568	85.489
JU1580	14.8378
JU1581	23.0445
JU1586	35.056
JU1652	15.5988
JU1793	8.8865
JU1808	35.4185
JU1896	26.7178
JU2001	23.3638
JU2007	45.2675
JU2131	40.2388
JU2141	15.6699
JU2234	17.2166
JU2464	23.9034
JU2466	39.3777
JU2513	22.3656
JU2519	51.9872
JU2522	25.8552
JU2526	55.174
JU2534	22.1366
JU2565	12.5479
JU2566	22.2072
JU2578	39.8923
JU258	21.0494
JU2587	53.7506
JU2593	29.9615
JU2600	15.8776
JU2800	30.5845
JU2862	18.5782
JU2866	9.2071
JU2878	27.0743
JU2879	19.1145
JU2906	8.7429
JU310	31.6525
JU311	19.4124
JU3125	16.7279
JU3127	15.7728
JU3134	28.0294
JU3135	46.2202
JU3137	26.2572
JU3140	26.1966
JU323	34.1048
JU346	45.0685
JU360	22.1523
JU367	36.5552
JU393	61.7968
JU394	57.0954
JU397	13.4076
JU406	32.5472
JU440	14.1439
JU561	39.9193
JU642	20.0697
JU751	45.0738
JU774	23.4564
JU775	33.18
JU778	39.0098
JU782	37.0344
JU792	26.6599
JU830	66.4851
JU847	21.4263
KR314	65.1235
LKC34	48.8163
LSJ1	16.4499
MY1	36.6171
MY10	3.2206
MY16	38.4767
MY18	17.8036
MY2212	20.9125
MY23	29.8196
MY2453	39.6517
MY2530	36.6149
MY2535	13.5417
MY2573	24.3205
MY2693	20.0597
MY2741	29.2764
MY679	13.8739
MY920	4.4733
N2	27.3874
NIC1	48.4234
NIC1107	25.0907
NIC166	29.508
NIC195	28.3674
NIC199	12.9579
NIC2	29.4168
NIC207	13.0927
NIC231	32.8433
NIC236	29.8229
NIC242	43.0437
NIC251	36.794
NIC252	26.0104
NIC255	23.698
NIC256	37.3397
NIC258	17.1604
NIC259	16.7726
NIC260	34.6198
NIC261	28.704
NIC262	6.5241
NIC265	50.0997
NIC266	17.0593
NIC267	41.2783
NIC268	17.3923
NIC269	18.5556
NIC271	38.058
NIC272	35.8313
NIC274	21.5793
NIC275	17.8721
NIC276	36.11
NIC277	26.0672
NIC3	26.5608
NIC513	23.8447
NIC514	10.4346
NIC522	46.9672
NIC523	24.6921
PB303	22.2226
PS2025	12.0097
PX179	16.1168
QG2075	20.2471
QG536	24.0044
QG556	7.3566
QG557	10.3054
QW947	29.9915
QX1212	35.556
QX1233	36.2756
QX1791	9.1083
QX1792	41.1081
QX1793	29.3044
QX1794	24.746
RC301	33.1909
WN2001	32.956
WN2002	36.356
WN2033	35.1422
XZ1513	1.2331
XZ1514	9.0286
XZ1516	18.3823
