strain	median
AB1	0.32383
BRC20067	6.6401
CB4852	6.8036
CB4854	2.8239
CB4856	3.9544
CB4932	2.6656
CX11254	5.1544
CX11262	4.176
CX11264	3.5938
CX11271	0.50317
CX11276	3.2199
CX11285	5.0024
CX11292	2.3468
CX11307	4.3402
CX11314	4.2293
CX11315	3.4004
DL200	6.6704
DL226	7.3005
DL238	4.7584
ECA246	2.8453
ECA248	1.0158
ECA250	8.7837
ECA251	3.0704
ECA252	10.8433
ECA259	4.6548
ECA348	4.6127
ECA349	0.84913
ECA36	7.257
ECA363	2.8374
ECA372	-0.30717
ECA396	5.2413
ED3005	2.5546
ED3011	9.7719
ED3012	3.8812
ED3017	4.7168
ED3040	3.9237
ED3046	1.9308
ED3048	0.28364
ED3049	5.969
ED3052	5.0175
ED3073	0.95116
ED3077	6.6312
EG4347	2.4542
EG4349	1.638
EG4724	3.2768
EG4725	0.47127
EG4946	2.7634
GXW1	7.5881
JT11398	2.9725
JU1088	1.4451
JU1172	4.1436
JU1200	5.4974
JU1212	12.5072
JU1213	5.9418
JU1242	5.5145
JU1246	-1.8811
JU1395	3.0736
JU1400	9.9007
JU1409	0.23324
JU1440	9.1661
JU1491	-0.82359
JU1530	5.1831
JU1543	3.1128
JU1568	-4.1394
JU1580	-0.31958
JU1581	8.4221
JU1586	4.6514
JU1652	6.4593
JU1793	2.3562
JU1808	-2.4368
JU1896	2.2776
JU2001	6.333
JU2007	11.0399
JU2131	2.7308
JU2141	3.6841
JU2234	1.7486
JU2464	-2.3483
JU2466	7.1711
JU2513	3.0885
JU2519	9.293
JU2522	7.9177
JU2526	10.7663
JU2534	7.3537
JU2565	-0.96119
JU2566	11.413
JU2578	-0.8279
JU258	7.8572
JU2587	3.8123
JU2593	-1.4697
JU2600	4.0397
JU2800	6.7845
JU2862	5.9225
JU2866	4.4482
JU2878	6.8987
JU2879	7.6362
JU2906	1.902
JU310	1.2521
JU311	7.9579
JU3125	6.9502
JU3127	3.4501
JU3134	3.056
JU3135	7.7694
JU3137	8.4648
JU3140	5.1872
JU323	7.4911
JU346	8.8885
JU360	9.7778
JU367	8.2538
JU393	8.4522
JU394	4.2147
JU397	5.3856
JU406	2.1695
JU440	9.4058
JU561	6.702
JU642	8.3175
JU751	11.084
JU774	13.5267
JU775	5.4622
JU778	10.0468
JU782	2.3556
JU792	5.8518
JU830	5.0195
JU847	4.4954
KR314	5.8294
LKC34	4.005
LSJ1	4.6095
MY1	1.1034
MY10	5.0982
MY16	4.3425
MY18	3.8944
MY2212	3.2105
MY23	8.5213
MY2453	6.6897
MY2530	1.9826
MY2535	3.0396
MY2573	3.8925
MY2693	9.027
MY2741	3.0626
MY679	4.9059
MY920	-3.0516
N2	2.1859
NIC1	2.6158
NIC1107	4.1307
NIC166	6.869
NIC195	10.7655
NIC199	2.8697
NIC2	2.5249
NIC207	6.8708
NIC231	4.1763
NIC236	3.2427
NIC242	3.7653
NIC251	3.1856
NIC252	2.857
NIC255	12.2756
NIC256	5.5563
NIC258	4.1869
NIC259	0.59626
NIC260	6.9305
NIC261	9.7079
NIC262	1.5158
NIC265	2.3024
NIC266	5.089
NIC267	6.1217
NIC268	0.32923
NIC269	11.7307
NIC271	8.8606
NIC272	3.5117
NIC274	8.9005
NIC275	3.1856
NIC276	5.0016
NIC277	8.8661
NIC3	5.6831
NIC513	6.7052
NIC514	-0.79592
NIC522	3.4375
NIC523	2.9299
PB303	6.6629
PS2025	6.1619
PX179	3.3176
QG2075	3.5723
QG536	5.4497
QG556	3.3966
QG557	7.6028
QW947	5.0924
QX1212	5.6485
QX1233	6.5113
QX1791	2.2596
QX1792	6.4673
QX1793	4.2525
QX1794	5.4916
RC301	8.0065
WN2001	3.8865
WN2002	8.3961
WN2033	5.1285
XZ1513	-0.033157
XZ1514	5.4759
XZ1516	6.9037
