strain	median
AB1	195.1992
BRC20067	172.0499
CB4852	172.5562
CB4854	156.4879
CB4856	180.5156
CB4932	193.9158
CX11254	168.2974
CX11262	147.0488
CX11264	190.0896
CX11271	85.4381
CX11276	181.3298
CX11285	136.4621
CX11292	245.7524
CX11307	92.4607
CX11314	170.5436
CX11315	214.6883
DL200	273.7103
DL226	281.7254
DL238	203.4407
ECA246	140.7755
ECA248	194.6178
ECA250	279.6454
ECA251	214.1689
ECA252	70.3627
ECA259	184.6931
ECA348	233.2104
ECA349	243.6282
ECA36	64.9728
ECA363	62.4507
ECA372	226.4251
ECA396	76.3967
ED3005	211.3865
ED3011	228.1881
ED3012	238.4116
ED3017	142.8285
ED3040	231.3388
ED3046	255.1357
ED3048	180.3971
ED3049	237.7813
ED3052	169.4878
ED3073	222.3549
ED3077	169.6479
EG4347	208.696
EG4349	239.9195
EG4724	174.6435
EG4725	109.5286
EG4946	189.058
GXW1	272.8226
JT11398	221.8403
JU1088	210.9187
JU1172	190.9365
JU1200	255.892
JU1212	165.1207
JU1213	210.3617
JU1242	145.5405
JU1246	268.6689
JU1395	155.253
JU1400	165.5943
JU1409	139.5546
JU1440	301.0866
JU1491	264.3755
JU1530	183.1061
JU1543	268.7442
JU1568	194.1308
JU1580	151.8168
JU1581	180.4743
JU1586	141.9911
JU1652	189.4669
JU1793	152.5523
JU1808	243.0335
JU1896	178.9533
JU2001	99.9515
JU2007	181.7311
JU2131	186.8776
JU2141	132.3593
JU2234	242.3778
JU2464	160.0575
JU2466	239.8916
JU2513	168.8452
JU2519	147.038
JU2522	142.8155
JU2526	201.5658
JU2534	237.1081
JU2565	151.5285
JU2566	199.669
JU2578	215.5879
JU258	160.8587
JU2587	185.1138
JU2593	270.3172
JU2600	123.223
JU2800	177.68
JU2862	211.7522
JU2866	170.0695
JU2878	191.57
JU2879	292.2663
JU2906	271.9306
JU310	150.2472
JU311	225.8528
JU3125	284.8917
JU3127	203.1803
JU3134	239.6053
JU3135	164.5493
JU3137	230.6947
JU3140	173.0003
JU323	202.2111
JU346	173.2156
JU360	143.2304
JU367	115.5548
JU393	165.9934
JU394	208.6662
JU397	150.798
JU406	208.7365
JU440	139.1003
JU561	195.3647
JU642	205.4777
JU751	185.4165
JU774	214.9411
JU775	184.9646
JU778	235.2083
JU782	162.7028
JU792	153.9346
JU830	358.1937
JU847	187.2284
KR314	166.1661
LKC34	224.6409
LSJ1	195.3982
MY1	171.505
MY10	271.9287
MY16	198.5003
MY18	160.5745
MY2212	211.9878
MY23	253.5437
MY2453	241.7834
MY2530	137.3684
MY2535	184.0019
MY2573	194.0103
MY2693	294.9601
MY2741	261.3414
MY679	176.2401
MY920	249.7741
N2	105.3272
NIC1	144.5444
NIC1107	216.4961
NIC166	214.7222
NIC195	84.5117
NIC199	120.6349
NIC2	163.7026
NIC207	183.7801
NIC231	229.5207
NIC236	221.8621
NIC242	193.2236
NIC251	135.5599
NIC252	157.1013
NIC255	95.7073
NIC256	125.0919
NIC258	89.2591
NIC259	71.7766
NIC260	197.5178
NIC261	131.3526
NIC262	143.7591
NIC265	203.5912
NIC266	171.5157
NIC267	216.3642
NIC268	128.8174
NIC269	182.1087
NIC271	219.4389
NIC272	217.7179
NIC274	188.7687
NIC275	200.2549
NIC276	223.7547
NIC277	97.5484
NIC3	172.1458
NIC513	160.4442
NIC514	202.1725
NIC522	155.8392
NIC523	128.0127
PB303	234.4559
PS2025	165.4879
PX179	269.8564
QG2075	120.4072
QG536	178.6536
QG556	198.9653
QG557	106.7904
QW947	225.5506
QX1212	160.1914
QX1233	152.5442
QX1791	136.9952
QX1792	191.558
QX1793	179.3406
QX1794	190.7997
RC301	159.6549
WN2001	204.1842
WN2002	238.8898
WN2033	127.9138
XZ1513	242.0997
XZ1514	128.1714
XZ1516	188.432
