strain	median
AB1	-0.032169
BRC20067	-0.002058
CB4852	-0.065199
CB4854	-0.005875
CB4856	-0.023947
CB4932	-0.013992
CX11254	-0.054465
CX11262	-0.028222
CX11264	-0.038643
CX11271	-0.0072688
CX11276	-0.02345
CX11285	-0.0088589
CX11292	-0.0088935
CX11307	-0.038282
CX11314	-0.025067
CX11315	-0.068695
DL200	-0.063512
DL226	-0.031971
DL238	-0.047153
ECA246	-0.046282
ECA248	-0.013245
ECA250	-0.019843
ECA251	-0.0111
ECA252	-0.059983
ECA259	-0.060187
ECA348	-0.05688
ECA349	-0.055461
ECA36	0.0026059
ECA363	-0.017754
ECA372	-0.070382
ECA396	-0.0094257
ED3005	-0.045227
ED3011	-0.066726
ED3012	-0.057275
ED3017	-0.017786
ED3040	-0.0063533
ED3046	-0.045261
ED3048	-0.013269
ED3049	-0.065466
ED3052	-0.029018
ED3073	-0.039844
ED3077	-0.034318
EG4347	-0.025763
EG4349	-0.023491
EG4724	-0.038238
EG4725	-0.036644
EG4946	-0.015903
GXW1	-0.032366
JT11398	-0.024433
JU1088	-0.04906
JU1172	-0.083424
JU1200	-0.028106
JU1212	-0.0342
JU1213	-0.0066167
JU1242	-0.026385
JU1246	-0.018909
JU1395	-0.014854
JU1400	-0.051543
JU1409	-0.012464
JU1440	0.0079109
JU1491	-0.038294
JU1530	-0.028312
JU1543	-0.026686
JU1568	-0.020126
JU1580	-0.033262
JU1581	-0.022435
JU1586	-0.031383
JU1652	-0.04481
JU1793	-0.02709
JU1808	-0.039465
JU1896	-0.03007
JU2001	-0.033999
JU2007	-0.0102
JU2131	-0.0038017
JU2141	-0.076569
JU2234	-0.053059
JU2464	-0.026055
JU2466	-0.035148
JU2513	-0.0079216
JU2519	-0.038085
JU2522	-0.023502
JU2526	-0.014218
JU2534	-0.062017
JU2565	-0.049901
JU2566	-0.064061
JU2578	-0.020119
JU258	-0.054732
JU2587	-0.012846
JU2593	-0.033869
JU2600	-0.0048402
JU2800	-0.012288
JU2862	-0.024478
JU2866	-0.056082
JU2878	-0.0084868
JU2879	-0.072739
JU2906	-0.048286
JU310	-0.017439
JU311	-0.077246
JU3125	-0.0621
JU3127	-0.017789
JU3134	-0.050513
JU3135	0.0033755
JU3137	-0.030875
JU3140	-0.057919
JU323	-0.01264
JU346	-0.013495
JU360	-0.019258
JU367	-0.050845
JU393	-0.036258
JU394	0.00088809
JU397	-0.039787
JU406	-0.048207
JU440	-0.042574
JU561	-0.0012942
JU642	-0.06139
JU751	-0.039491
JU774	-0.084403
JU775	-0.0225
JU778	0.0067648
JU782	-0.051029
JU792	-0.061271
JU830	-0.037712
JU847	-0.050374
KR314	-0.047404
LKC34	-0.039594
LSJ1	-0.075205
MY1	-0.045121
MY10	-0.049728
MY16	-0.021237
MY18	0.017138
MY2212	-0.00057025
MY23	-0.015273
MY2453	-0.065149
MY2530	-0.015526
MY2535	-0.048276
MY2573	-0.047676
MY2693	-0.035779
MY2741	-0.037731
MY679	-0.033667
MY920	-0.053113
N2	-0.055112
NIC1	-0.011587
NIC1107	-0.065883
NIC166	-0.048884
NIC195	-0.023195
NIC199	-0.048917
NIC2	-0.014279
NIC207	-0.026924
NIC231	-0.038543
NIC236	-0.022999
NIC242	-0.017604
NIC251	0.0093899
NIC252	-0.035147
NIC255	0.0084462
NIC256	-0.017638
NIC258	-0.043579
NIC259	0.00050084
NIC260	-0.060828
NIC261	-0.0051481
NIC262	-0.012248
NIC265	-0.033835
NIC266	-0.060048
NIC267	-0.031966
NIC268	0.0028251
NIC269	-0.072433
NIC271	-0.043048
NIC272	-0.039795
NIC274	-0.062721
NIC275	-0.0033218
NIC276	-0.013814
NIC277	-0.013062
NIC3	-0.049482
NIC513	0.007777
NIC514	-0.0089671
NIC522	-0.015216
NIC523	-0.019975
PB303	-0.059081
PS2025	-0.061525
PX179	-0.023724
QG2075	-0.014563
QG536	-0.020842
QG556	-0.042525
QG557	-0.016032
QW947	-0.084807
QX1212	-0.044482
QX1233	-0.066171
QX1791	-0.0045902
QX1792	-0.047266
QX1793	-0.0084328
QX1794	-0.058282
RC301	-0.017404
WN2001	-0.011135
WN2002	-0.056313
WN2033	-0.003601
XZ1513	-0.080667
XZ1514	-0.00046249
XZ1516	-0.061697
