strain	median
AB1	0.11853
BRC20067	0.076276
CB4852	-0.01753
CB4854	0.023888
CB4856	0.068185
CB4932	0.046312
CX11254	0.011133
CX11262	-0.016173
CX11264	0.10772
CX11271	0.00016706
CX11276	0.015129
CX11285	0.019041
CX11292	0.080289
CX11307	-0.017326
CX11314	0.052836
CX11315	0.077626
DL200	0.097039
DL226	0.1377
DL238	0.044707
ECA246	0.027023
ECA248	0.080252
ECA250	0.063061
ECA251	0.034104
ECA252	0.0054995
ECA259	0.1085
ECA348	0.10708
ECA349	0.1176
ECA36	0.053634
ECA363	0.0098892
ECA372	0.097779
ECA396	-0.11147
ED3005	-0.0048261
ED3011	-0.045091
ED3012	0.087797
ED3017	0.0057235
ED3040	0.068518
ED3046	0.097705
ED3048	0.10456
ED3049	0.067959
ED3052	0.060904
ED3073	0.05798
ED3077	0.11364
EG4347	0.082534
EG4349	0.086508
EG4724	0.094519
EG4725	0.058353
EG4946	-0.0054925
GXW1	0.14039
JT11398	0.056035
JU1088	0.085253
JU1172	0.037145
JU1200	0.066352
JU1212	0.059969
JU1213	0.11705
JU1242	0.09605
JU1246	0.088243
JU1395	0.079736
JU1400	0.014495
JU1409	0.016603
JU1440	0.045022
JU1491	0.071737
JU1530	0.068228
JU1543	0.1644
JU1568	0.042537
JU1580	0.010817
JU1581	0.032906
JU1586	0.0057818
JU1652	0.096992
JU1793	0.071963
JU1808	0.13519
JU1896	0.051162
JU2001	0.025739
JU2007	0.086429
JU2131	0.061753
JU2141	-0.061403
JU2234	-0.019205
JU2464	0.14223
JU2466	0.089185
JU2513	0.047173
JU2519	0.12622
JU2522	0.080974
JU2526	0.1066
JU2534	0.12235
JU2565	0.04803
JU2566	-0.023798
JU2578	0.046371
JU258	0.096302
JU2587	0.085041
JU2593	0.14088
JU2600	-0.0032326
JU2800	0.13858
JU2862	-0.056998
JU2866	-0.039883
JU2878	0.027199
JU2879	0.021598
JU2906	0.036965
JU310	0.094747
JU311	-0.039488
JU3125	0.1152
JU3127	0.068574
JU3134	0.069562
JU3135	0.10389
JU3137	0.06871
JU3140	0.027631
JU323	0.087286
JU346	0.056289
JU360	0.052811
JU367	0.041645
JU393	0.044456
JU394	0.044889
JU397	-0.023889
JU406	0.057605
JU440	-0.089681
JU561	0.1303
JU642	0.021177
JU751	0.056386
JU774	0.12137
JU775	0.086803
JU778	-0.0094788
JU782	0.12424
JU792	-0.021343
JU830	0.03671
JU847	0.02815
KR314	0.046087
LKC34	0.034948
LSJ1	-0.082434
MY1	0.045013
MY10	0.054058
MY16	0.1015
MY18	0.10462
MY2212	0.048975
MY23	0.077582
MY2453	0.012333
MY2530	0.13624
MY2535	0.068964
MY2573	0.018688
MY2693	0.06566
MY2741	0.10992
MY679	0.078035
MY920	0.053016
N2	0.01996
NIC1	0.013104
NIC1107	0.10933
NIC166	-0.025208
NIC195	0.11339
NIC199	-0.046779
NIC2	0.02286
NIC207	0.071803
NIC231	0.017416
NIC236	0.050435
NIC242	0.028161
NIC251	0.056664
NIC252	0.038402
NIC255	0.10195
NIC256	0.021231
NIC258	-0.00065735
NIC259	0.055329
NIC260	0.081429
NIC261	0.022243
NIC262	0.060453
NIC265	0.036135
NIC266	0.083662
NIC267	0.070048
NIC268	0.060118
NIC269	0.083029
NIC271	0.06364
NIC272	0.10978
NIC274	0.062789
NIC275	0.099756
NIC276	0.068201
NIC277	0.066003
NIC3	0.017446
NIC513	0.041411
NIC514	0.11501
NIC522	0.072261
NIC523	0.025381
PB303	0.090007
PS2025	0.065592
PX179	0.11353
QG2075	0.032186
QG536	0.0714
QG556	0.11249
QG557	0.06786
QW947	0.08799
QX1212	0.12512
QX1233	0.089681
QX1791	0.035783
QX1792	0.017777
QX1793	0.11559
QX1794	0.046437
RC301	0.11327
WN2001	0.08119
WN2002	-0.0011266
WN2033	0.031357
XZ1513	0.098205
XZ1514	-0.015918
XZ1516	0.054955
