strain	median
AB1	-0.24659
BRC20067	-0.22995
CB4852	0.026254
CB4854	-0.2257
CB4856	-0.14527
CB4932	-0.276
CX11254	-0.00067246
CX11262	-0.03108
CX11264	-0.16237
CX11271	-0.17942
CX11276	-0.12125
CX11285	-0.14183
CX11292	-0.21454
CX11307	-0.15775
CX11314	-0.19174
CX11315	-0.12803
DL200	-0.23646
DL226	-0.22983
DL238	-0.17455
ECA246	-0.15878
ECA248	-0.26637
ECA250	-0.18481
ECA251	-0.23624
ECA252	-0.048855
ECA259	-0.11195
ECA348	-0.13857
ECA349	-0.20136
ECA36	-0.13011
ECA363	-0.17838
ECA372	-0.17138
ECA396	-0.078035
ED3005	-0.18338
ED3011	-0.10914
ED3012	-0.18564
ED3017	-0.14429
ED3040	-0.20447
ED3046	-0.30472
ED3048	-0.16201
ED3049	-0.00070035
ED3052	-0.14378
ED3073	-0.23627
ED3077	-0.26625
EG4347	-0.21446
EG4349	-0.17593
EG4724	-0.21427
EG4725	-0.19341
EG4946	-0.1425
GXW1	-0.36146
JT11398	-0.24537
JU1088	-0.16679
JU1172	-0.050386
JU1200	-0.20131
JU1212	-0.15021
JU1213	-0.29081
JU1242	-0.26342
JU1246	-0.21034
JU1395	-0.27419
JU1400	-0.04465
JU1409	-0.13605
JU1440	-0.26011
JU1491	-0.17554
JU1530	-0.18864
JU1543	-0.23637
JU1568	-0.2143
JU1580	-0.15062
JU1581	-0.084378
JU1586	-0.20416
JU1652	-0.13287
JU1793	-0.12665
JU1808	-0.25291
JU1896	-0.21765
JU2001	-0.16585
JU2007	-0.21787
JU2131	-0.1787
JU2141	-0.0013496
JU2234	-0.056209
JU2464	-0.26087
JU2466	-0.28282
JU2513	-0.1448
JU2519	-0.26451
JU2522	-0.18442
JU2526	-0.21366
JU2534	-0.20678
JU2565	-0.15265
JU2566	-0.021701
JU2578	-0.28535
JU258	-0.096352
JU2587	-0.2279
JU2593	-0.2829
JU2600	-0.13813
JU2800	-0.23062
JU2862	-0.11499
JU2866	-0.039294
JU2878	-0.18967
JU2879	-0.10346
JU2906	0.0032557
JU310	-0.28352
JU311	-0.06136
JU3125	-0.12069
JU3127	-0.11724
JU3134	-0.20376
JU3135	-0.32294
JU3137	-0.24342
JU3140	-0.06733
JU323	-0.15125
JU346	-0.11236
JU360	-0.078978
JU367	-0.14347
JU393	-0.22707
JU394	-0.22649
JU397	-0.076931
JU406	-0.16361
JU440	-0.0060235
JU561	-0.26295
JU642	-0.15734
JU751	-0.15332
JU774	0.02917
JU775	-0.16774
JU778	-0.16116
JU782	-0.19024
JU792	-0.065456
JU830	-0.17303
JU847	-0.22104
KR314	-0.13611
LKC34	-0.24722
LSJ1	-0.11914
MY1	-0.23674
MY10	-0.056542
MY16	-0.24784
MY18	-0.33068
MY2212	-0.17968
MY23	-0.15572
MY2453	-0.14984
MY2530	-0.27623
MY2535	-0.089105
MY2573	-0.073787
MY2693	-0.14465
MY2741	-0.19187
MY679	-0.12589
MY920	-0.075154
N2	-0.081022
NIC1	-0.27622
NIC1107	-0.036054
NIC166	-0.192
NIC195	-0.1405
NIC199	-0.10332
NIC2	-0.16859
NIC207	-0.080649
NIC231	-0.12992
NIC236	-0.20932
NIC242	-0.15855
NIC251	-0.21035
NIC252	-0.16866
NIC255	-0.18143
NIC256	-0.15876
NIC258	-0.11941
NIC259	-0.14891
NIC260	-0.17297
NIC261	-0.15347
NIC262	-0.040988
NIC265	-0.2427
NIC266	-0.10528
NIC267	-0.19416
NIC268	-0.19289
NIC269	-0.11433
NIC271	-0.1234
NIC272	-0.25447
NIC274	-0.14273
NIC275	-0.18764
NIC276	-0.20069
NIC277	-0.19438
NIC3	-0.13289
NIC513	-0.18088
NIC514	-0.13702
NIC522	-0.18601
NIC523	-0.14551
PB303	-0.1558
PS2025	-0.050821
PX179	-0.13801
QG2075	-0.13941
QG536	-0.18585
QG556	-0.10335
QG557	-0.087917
QW947	-0.0098265
QX1212	-0.19987
QX1233	-0.22601
QX1791	-0.13673
QX1792	-0.21088
QX1793	-0.20446
QX1794	-0.1282
RC301	-0.28011
WN2001	-0.22517
WN2002	-0.15162
WN2033	-0.18672
XZ1513	-0.046215
XZ1514	-0.04813
XZ1516	-0.095102
