strain	median
AB1	-0.31143
BRC20067	-0.16153
CB4852	0.0044076
CB4854	-0.12086
CB4856	-0.17733
CB4932	-0.20765
CX11254	-0.032961
CX11262	-0.24064
CX11264	-0.22187
CX11271	-0.17173
CX11276	-0.027811
CX11285	-0.12523
CX11292	-0.16228
CX11307	0.0099727
CX11314	-0.16002
CX11315	-0.25855
DL200	-0.3098
DL226	-0.36076
DL238	-0.051418
ECA246	0.021241
ECA248	-0.26109
ECA250	-0.20418
ECA251	-0.17209
ECA252	-0.024284
ECA259	-0.27159
ECA348	-0.22652
ECA349	-0.22274
ECA36	-0.18455
ECA363	-0.041575
ECA372	-0.22414
ECA396	0.11443
ED3005	-0.10612
ED3011	-0.13462
ED3012	-0.25089
ED3017	-0.067078
ED3040	-0.14862
ED3046	-0.24465
ED3048	-0.20987
ED3049	0.095725
ED3052	-0.22883
ED3073	-0.14187
ED3077	-0.21771
EG4347	-0.26111
EG4349	-0.22576
EG4724	-0.26062
EG4725	-0.11843
EG4946	-0.035675
GXW1	-0.38252
JT11398	-0.11945
JU1088	-0.16769
JU1172	0.041687
JU1200	-0.12236
JU1212	-0.076473
JU1213	-0.23981
JU1242	-0.29041
JU1246	-0.13939
JU1395	-0.24935
JU1400	-0.015944
JU1409	-0.1059
JU1440	-0.060798
JU1491	-0.30068
JU1530	-0.11302
JU1543	-0.39516
JU1568	-0.14199
JU1580	-0.10387
JU1581	-0.047099
JU1586	-0.05326
JU1652	-0.23055
JU1793	-0.20519
JU1808	-0.36024
JU1896	-0.10697
JU2001	-0.039949
JU2007	-0.15696
JU2131	-0.10262
JU2141	-0.016587
JU2234	0.025362
JU2464	-0.29158
JU2466	-0.21086
JU2513	-0.14033
JU2519	-0.22402
JU2522	-0.16392
JU2526	-0.25401
JU2534	-0.26533
JU2565	-0.042996
JU2566	-0.083847
JU2578	-0.08074
JU258	-0.10804
JU2587	-0.23147
JU2593	-0.30132
JU2600	-0.16802
JU2800	-0.33941
JU2862	-0.088454
JU2866	0.050641
JU2878	-0.12044
JU2879	-0.27691
JU2906	0.016342
JU310	-0.19615
JU311	0.0085852
JU3125	-0.27796
JU3127	-0.090052
JU3134	-0.16391
JU3135	-0.31438
JU3137	-0.12627
JU3140	-0.11428
JU323	-0.23197
JU346	-0.068863
JU360	-0.023487
JU367	-0.15832
JU393	-0.059397
JU394	-0.11794
JU397	-0.0019159
JU406	-0.11481
JU440	0.023735
JU561	-0.32231
JU642	-0.048307
JU751	-0.15287
JU774	0.18204
JU775	-0.12701
JU778	-0.26697
JU782	-0.19766
JU792	-0.05148
JU830	-0.12644
JU847	-0.19997
KR314	-0.026117
LKC34	-0.12163
LSJ1	-0.016629
MY1	-0.2196
MY10	0.092166
MY16	-0.17052
MY18	-0.31142
MY2212	-0.20444
MY23	-0.24555
MY2453	-0.12068
MY2530	-0.30331
MY2535	-0.05638
MY2573	-0.05478
MY2693	-0.16966
MY2741	-0.13197
MY679	-0.10775
MY920	-0.12107
N2	-0.044108
NIC1	-0.046706
NIC1107	0.0010311
NIC166	-0.18331
NIC195	-0.27555
NIC199	-0.088578
NIC2	-0.10591
NIC207	-0.068634
NIC231	-0.040562
NIC236	-0.11413
NIC242	-0.057666
NIC251	-0.13442
NIC252	-0.16549
NIC255	-0.16142
NIC256	-0.028605
NIC258	-0.024829
NIC259	-0.24859
NIC260	-0.15108
NIC261	-0.020589
NIC262	-0.23294
NIC265	-0.098685
NIC266	-0.161
NIC267	-0.16529
NIC268	-0.30332
NIC269	-0.19483
NIC271	-0.12386
NIC272	-0.28781
NIC274	-0.28688
NIC275	-0.23939
NIC276	-0.19125
NIC277	-0.12904
NIC3	-0.16012
NIC513	-0.18325
NIC514	-0.19653
NIC522	-0.22531
NIC523	-0.10122
PB303	-0.27437
PS2025	-0.15965
PX179	-0.25045
QG2075	-0.080349
QG536	-0.10625
QG556	-0.27201
QG557	-0.065901
QW947	0.049167
QX1212	-0.254
QX1233	-0.24512
QX1791	-0.13643
QX1792	-0.079306
QX1793	-0.31403
QX1794	-0.1515
RC301	-0.20006
WN2001	-0.19764
WN2002	-0.092203
WN2033	-0.12486
XZ1513	-0.13754
XZ1514	0.012349
XZ1516	-0.11283
