strain	median
AB1	1354.386
BRC20067	1165.391
CB4852	1069.1171
CB4854	905.2689
CB4856	511.127
CB4932	955.9796
CX11254	396.9849
CX11262	84.8529
CX11264	496.5684
CX11271	352.1322
CX11276	954.3859
CX11285	257.4874
CX11292	1229.5333
CX11307	121.0051
CX11314	937.4011
CX11315	582.8425
DL200	1140.2439
DL226	849.5331
DL238	824.7665
ECA246	402.132
ECA248	1535.8071
ECA250	719.8276
ECA251	1116.8123
ECA252	1283.2588
ECA259	380.2081
ECA348	342.8427
ECA349	956.396
ECA36	67.2793
ECA363	144.8528
ECA372	1143.467
ECA396	104.264
ED3005	1196.9849
ED3011	948.1118
ED3012	901.249
ED3017	889.1171
ED3040	1316.8986
ED3046	1604.0918
ED3048	866.1881
ED3049	620.4161
ED3052	992.9229
ED3073	800.4161
ED3077	1204.6802
EG4347	1291.9596
EG4349	1558.2338
EG4724	816.9849
EG4725	772.0459
EG4946	1043.6753
GXW1	1084.6805
JT11398	1379.2389
JU1088	847.2792
JU1172	425.2693
JU1200	709.1171
JU1212	486.274
JU1213	1239.2386
JU1242	967.1067
JU1246	1431.5435
JU1395	978.8225
JU1400	325.2692
JU1409	687.6953
JU1440	1112.5483
JU1491	1097.4011
JU1530	950.9546
JU1543	992.5482
JU1568	1086.5181
JU1580	498.4062
JU1581	786.6907
JU1586	962.2539
JU1652	291.3352
JU1793	222.6863
JU1808	1384.6802
JU1896	832.5482
JU2001	583.259
JU2007	1116.3962
JU2131	1042.2539
JU2141	626.2742
JU2234	606.0305
JU2464	912.1321
JU2466	866.1019
JU2513	873.9697
JU2519	840.416
JU2522	613.1371
JU2526	1152.9646
JU2534	749.1171
JU2565	681.4211
JU2566	647.6954
JU2578	1313.3809
JU258	688.7005
JU2587	1297.8174
JU2593	1395.3911
JU2600	593.5535
JU2800	1009.1171
JU2862	747.6956
JU2866	494.5583
JU2878	938.4062
JU2879	784.264
JU2906	360.8328
JU310	864.2639
JU311	946.8986
JU3125	441.8379
JU3127	489.7056
JU3134	690.1219
JU3135	1163.6753
JU3137	864.3474
JU3140	1160.8325
JU323	1028.1117
JU346	1074.975
JU360	913.9695
JU367	1204.6804
JU393	1234.3859
JU394	1183.259
JU397	441.8375
JU406	911.1272
JU440	160
JU561	1051.9598
JU642	281.4089
JU751	928.1118
JU774	613.5533
JU775	977.3148
JU778	1040.0356
JU782	1157.8174
JU792	911.5432
JU830	1839.6552
JU847	673.5533
KR314	1042.8424
LKC34	1112.3759
LSJ1	588.7007
MY1	1058.8223
MY10	415.9797
MY16	1160.8328
MY18	235.73
MY2212	425.2689
MY23	1004.0559
MY2453	1302.2539
MY2530	961.8374
MY2535	787.6956
MY2573	693.9697
MY2693	613.5536
MY2741	1199.4114
MY679	506.2742
MY920	224.853
N2	1161.8375
NIC1	1080.8325
NIC1107	654.5583
NIC166	961.2488
NIC195	832.5482
NIC199	622.2542
NIC2	1035.98
NIC207	600.8326
NIC231	1009.5332
NIC236	1030.5381
NIC242	987.1068
NIC251	1065.269
NIC252	1017.9037
NIC255	667.2792
NIC256	1007.1066
NIC258	442.4265
NIC259	998.4062
NIC260	1039.8278
NIC261	924.6804
NIC262	227.6958
NIC265	1142.2538
NIC266	635.9797
NIC267	1288.3199
NIC268	1017.4014
NIC269	280.8325
NIC271	1073.3809
NIC272	1006.6903
NIC274	686.6904
NIC275	854.7668
NIC276	1142.8428
NIC277	884.4723
NIC3	699.8276
NIC513	533.137
NIC514	504.8528
NIC522	1154.4724
NIC523	763.259
PB303	720.4163
PS2025	55.5635
PX179	471.7157
QG2075	693.2591
QG536	1077.4012
QG556	-2.4264
QG557	65.1472
QW947	872.6702
QX1212	1169.5333
QX1233	961.8376
QX1791	514.5585
QX1792	1157.4012
QX1793	1003.8477
QX1794	871.1268
RC301	937.401
WN2001	1194.8022
WN2002	1113.3807
WN2033	885.269
XZ1513	235.1471
XZ1514	147.2793
XZ1516	371.127
