strain	median
AB1	1147.1068
BRC20067	938.1119
CB4852	176.1523
CB4854	520.6245
CB4856	720.1219
CB4932	854.5585
CX11254	877.4012
CX11262	15.6495
CX11264	380.4163
CX11271	243.8477
CX11276	368.2842
CX11285	440.6244
CX11292	764.2642
CX11307	276.5684
CX11314	650.33
CX11315	975.3909
DL200	962.2539
DL226	711.127
DL238	361.5076
ECA246	718.7006
ECA248	1231.5433
ECA250	761.6653
ECA251	780.8326
ECA252	273.137
ECA259	907.1068
ECA348	696.3962
ECA349	1148.5283
ECA36	893.381
ECA363	134.6445
ECA372	1132.7994
ECA396	-27.868
ED3005	669.7056
ED3011	1115.9799
ED3012	1150.5385
ED3017	680.8325
ED3040	445.5635
ED3046	890.1218
ED3048	895.6853
ED3049	373.1371
ED3052	497.9899
ED3073	905.0967
ED3077	1357.8174
EG4347	943.675
EG4349	1072.9646
EG4724	361.249
EG4725	429.2032
EG4946	791.9596
GXW1	667.1069
JT11398	748.1981
JU1088	815.9797
JU1172	717.99
JU1200	832.9644
JU1212	228.2842
JU1213	1202.254
JU1242	762.8428
JU1246	1167.1067
JU1395	766.6906
JU1400	446.6547
JU1409	441.0051
JU1440	352.1318
JU1491	865.6855
JU1530	718.4064
JU1543	892.2542
JU1568	548.5283
JU1580	432.5485
JU1581	803.259
JU1586	510.7104
JU1652	687.4014
JU1793	468.7006
JU1808	1040.0356
JU1896	560.8326
JU2001	-6.8629
JU2007	838.4062
JU2131	409.7058
JU2141	911.5433
JU2234	722.2542
JU2464	491.127
JU2466	295.5635
JU2513	730.1218
JU2519	481.4214
JU2522	495.9797
JU2526	868.7008
JU2534	776.8124
JU2565	281.4214
JU2566	852.5482
JU2578	583.8478
JU258	800.33
JU2587	857.5735
JU2593	930.5381
JU2600	879.4114
JU2800	798.8225
JU2862	1004.6804
JU2866	976.3962
JU2878	580.8325
JU2879	857.5735
JU2906	782.2539
JU310	535.5635
JU311	1127.6955
JU3125	1151.5435
JU3127	638.4065
JU3134	989.1169
JU3135	1082.254
JU3137	804.2639
JU3140	843.259
JU323	1022.2542
JU346	483.2589
JU360	1095.391
JU367	556.9847
JU393	522.8427
JU394	487.4873
JU397	690.7108
JU406	760.8328
JU440	1263.6753
JU561	615.061
JU642	927.1068
JU751	482.8428
JU774	1157.8174
JU775	712.5484
JU778	25.7715
JU782	786.274
JU792	1034.5586
JU830	990.1221
JU847	767.1067
KR314	671.1268
LKC34	898.4064
LSJ1	788.4414
MY1	717.5735
MY10	117.1572
MY16	973.5535
MY18	317.99
MY2212	391.127
MY23	1218.8225
MY2453	1106.6906
MY2530	741.8378
MY2535	672.5483
MY2573	647.2789
MY2693	791.5432
MY2741	647.2791
MY679	436.9847
MY920	306.4467
N2	132.4265
NIC1	611.127
NIC1107	642.4264
NIC166	793.5532
NIC195	1095.3909
NIC199	737.8174
NIC2	737.4011
NIC207	654.5583
NIC231	749.7057
NIC236	961.8379
NIC242	878.8225
NIC251	603.0151
NIC252	965.391
NIC255	264.8528
NIC256	685.7715
NIC258	78.5786
NIC259	-213.3452
NIC260	1066.1018
NIC261	600
NIC262	250.1221
NIC265	464.264
NIC266	437.9899
NIC267	534.0989
NIC268	960.8326
NIC269	1112.5483
NIC271	839.8276
NIC272	604.4722
NIC274	1013.5532
NIC275	822.5484
NIC276	842.0459
NIC277	805.6855
NIC3	472.5485
NIC513	495.9799
NIC514	849.1171
NIC522	859.7844
NIC523	652.5485
PB303	1074.386
PS2025	447.2791
PX179	804.6804
QG2075	158.4925
QG536	895.98
QG556	628.1118
QG557	318.9949
QW947	547.9898
QX1212	1039.8276
QX1233	957.8176
QX1791	66.0662
QX1792	923.259
QX1793	852.5481
QX1794	691.1271
RC301	459.4111
WN2001	720.8325
WN2002	920.8326
WN2033	355.9797
XZ1513	823.259
XZ1514	451.1268
XZ1516	803.259
