strain	median
AB1	964.2641
BRC20067	574.433
CB4852	1014.8707
CB4854	133.7261
CB4856	709.1079
CB4932	558.8224
CX11254	695.9798
CX11262	873.6359
CX11264	736.9849
CX11271	334.8527
CX11276	660.5025
CX11285	563.3452
CX11292	873.9699
CX11307	628.7006
CX11314	429.7271
CX11315	1128.9875
DL200	1585.0713
DL226	1115.3912
DL238	864.1778
ECA246	624.4721
ECA248	1112.9647
ECA250	808.8655
ECA251	424.2639
ECA252	753.9694
ECA259	861.5433
ECA348	909.5331
ECA349	1081.2489
ECA36	382.505
ECA363	361.8629
ECA372	1119.1169
ECA396	327.9899
ED3005	782.254
ED3011	921.0407
ED3012	1100.1652
ED3017	658.995
ED3040	683.2233
ED3046	1234.975
ED3048	480.9188
ED3049	1090.2363
ED3052	505.2693
ED3073	1060.6599
ED3077	1247.107
EG4347	880.8327
EG4349	567.9898
EG4724	871.1271
EG4725	731.8379
EG4946	769.1168
GXW1	1065.0967
JT11398	628.4064
JU1088	772.5486
JU1172	841.4571
JU1200	900.4163
JU1212	683.8477
JU1213	591.2923
JU1242	386.8629
JU1246	956.5183
JU1395	388.2843
JU1400	913.9698
JU1409	457.4014
JU1440	1033.1371
JU1491	925.9799
JU1530	607.2791
JU1543	824.5152
JU1568	768.7007
JU1580	744.2641
JU1581	291.5686
JU1586	353.5533
JU1652	1235.6852
JU1793	794.9622
JU1808	1197.8175
JU1896	568.1117
JU2001	627.4875
JU2007	667.6953
JU2131	800
JU2141	511.6295
JU2234	741.4213
JU2464	561.8375
JU2466	1079.8276
JU2513	-67.8679
JU2519	923.6753
JU2522	469.7058
JU2526	483.2591
JU2534	1223.2591
JU2565	861.8378
JU2566	657.1572
JU2578	773.9696
JU258	918.8226
JU2587	496.9848
JU2593	1356.5685
JU2600	449.2032
JU2800	1099.7487
JU2862	259.4113
JU2866	926.1019
JU2878	370.3302
JU2879	1166.1019
JU2906	1245.2692
JU310	672.3759
JU311	698.8388
JU3125	1187.6954
JU3127	812.1323
JU3134	926.2741
JU3135	743.9087
JU3137	902.6092
JU3140	675.391
JU323	722.5914
JU346	513.1368
JU360	52.3047
JU367	538.1981
JU393	724.0559
JU394	481.0052
JU397	784.6804
JU406	856.9849
JU440	665.6853
JU561	426.4034
JU642	870.5381
JU751	547.071
JU774	954.9749
JU775	728.4061
JU778	295.4415
JU782	1169.5329
JU792	1042.254
JU830	1254.975
JU847	940.6601
KR314	675.3911
LKC34	398.7866
LSJ1	855.3912
MY1	974.3862
MY10	995.9798
MY16	867.1929
MY18	6.4464
MY2212	285.4414
MY23	1281.0408
MY2453	674.9748
MY2530	700.5991
MY2535	826.2742
MY2573	907.6956
MY2693	1073.9695
MY2741	1083.2592
MY679	740.4161
MY920	1001.8376
N2	981.4213
NIC1	685.4773
NIC1107	981.2491
NIC166	794.7843
NIC195	815.9799
NIC199	827.5232
NIC2	749.1168
NIC207	791.1271
NIC231	1036.985
NIC236	1112.3761
NIC242	292.4694
NIC251	533.1371
NIC252	848.8568
NIC255	645.0728
NIC256	447.6343
NIC258	612.1321
NIC259	382.7744
NIC260	1398.4062
NIC261	-380.8582
NIC262	322.4263
NIC265	773.5533
NIC266	1167.1068
NIC267	880.4736
NIC268	495.5205
NIC269	1080.4163
NIC271	671.0405
NIC272	1298.406
NIC274	845.1042
NIC275	838.0078
NIC276	631.7156
NIC277	168.0939
NIC3	699.9998
NIC513	180.9188
NIC514	271.1268
NIC522	671.188
NIC523	519.8276
PB303	987.523
PS2025	857.1573
PX179	917.6094
QG2075	364.0344
QG536	396.7514
QG556	1093.7974
QG557	589.4976
QW947	1117.9037
QX1212	777.9899
QX1233	396.5685
QX1791	324.3325
QX1792	706.8377
QX1793	536.1523
QX1794	988.8731
RC301	654.5584
WN2001	533.7256
WN2002	1030.1218
WN2033	589.2896
XZ1513	1179.8275
XZ1514	831.7513
XZ1516	1111.6041
