strain	median
AB1	-0.086531
BRC20067	-0.069067
CB4852	-0.03518
CB4854	-0.071089
CB4856	-0.054787
CB4932	-0.13792
CX11254	-0.02157
CX11262	-0.038121
CX11264	-0.062824
CX11271	-0.05707
CX11276	-0.040897
CX11285	-0.048894
CX11292	-0.092617
CX11307	-0.011319
CX11314	-0.08043
CX11315	-0.044354
DL200	-0.084287
DL226	-0.085752
DL238	-0.072061
ECA246	-0.070655
ECA248	-0.098552
ECA250	-0.073457
ECA251	-0.10186
ECA252	-0.046483
ECA259	-0.038471
ECA348	-0.016304
ECA349	-0.069446
ECA36	-0.037548
ECA363	-0.05435
ECA372	-0.059042
ECA396	-0.05416
ED3005	-0.10701
ED3011	-0.046106
ED3012	-0.069123
ED3017	-0.057195
ED3040	-0.09012
ED3046	-0.17254
ED3048	-0.07386
ED3049	-0.074686
ED3052	-0.061159
ED3073	-0.072153
ED3077	-0.10249
EG4347	-0.081748
EG4349	-0.092668
EG4724	-0.054035
EG4725	-0.056966
EG4946	-0.067693
GXW1	-0.14805
JT11398	-0.12908
JU1088	-0.075513
JU1172	-0.036264
JU1200	-0.048823
JU1212	-0.055371
JU1213	-0.098116
JU1242	-0.096748
JU1246	-0.059054
JU1395	-0.065901
JU1400	-0.052998
JU1409	-0.036329
JU1440	-0.087837
JU1491	-0.068272
JU1530	-0.080028
JU1543	-0.071477
JU1568	-0.11972
JU1580	-0.050011
JU1581	-0.056766
JU1586	-0.076574
JU1652	-0.0322
JU1793	-0.038506
JU1808	-0.076053
JU1896	-0.063379
JU2001	-0.091481
JU2007	-0.092984
JU2131	-0.083601
JU2141	-0.036179
JU2234	-0.026153
JU2464	-0.1006
JU2466	-0.11638
JU2513	-0.055121
JU2519	-0.10609
JU2522	-0.044626
JU2526	-0.089308
JU2534	-0.065384
JU2565	-0.053633
JU2566	-0.022659
JU2578	-0.11534
JU258	-0.055475
JU2587	-0.10454
JU2593	-0.063072
JU2600	-0.038466
JU2800	-0.078344
JU2862	-0.060627
JU2866	-0.046513
JU2878	-0.085824
JU2879	-0.055023
JU2906	-0.032555
JU310	-0.087803
JU311	-0.047529
JU3125	-0.044935
JU3127	-0.048827
JU3134	-0.079604
JU3135	-0.082382
JU3137	-0.097262
JU3140	-0.055118
JU323	-0.061714
JU346	-0.080681
JU360	-0.044978
JU367	-0.074071
JU393	-0.11791
JU394	-0.098295
JU397	-0.041257
JU406	-0.063395
JU440	-0.012167
JU561	-0.080674
JU642	-0.056093
JU751	-0.04956
JU774	-0.041998
JU775	-0.071033
JU778	-0.09981
JU782	-0.053296
JU792	-0.050623
JU830	-0.10146
JU847	-0.08938
KR314	-0.10426
LKC34	-0.087001
LSJ1	-0.058834
MY1	-0.083431
MY10	-0.060664
MY16	-0.085397
MY18	-0.070505
MY2212	-0.062789
MY23	-0.067641
MY2453	-0.058528
MY2530	-0.072685
MY2535	-0.047888
MY2573	-0.049104
MY2693	-0.049565
MY2741	-0.09677
MY679	-0.045566
MY920	-0.032548
N2	-0.045714
NIC1	-0.12069
NIC1107	-0.063785
NIC166	-0.061927
NIC195	-0.05929
NIC199	-0.038847
NIC2	-0.067807
NIC207	-0.03014
NIC231	-0.074673
NIC236	-0.083599
NIC242	-0.062405
NIC251	-0.068503
NIC252	-0.065501
NIC255	-0.066301
NIC256	-0.075691
NIC258	-0.039033
NIC259	-0.050616
NIC260	-0.056717
NIC261	-0.060598
NIC262	-0.011377
NIC265	-0.089638
NIC266	-0.042855
NIC267	-0.072828
NIC268	-0.060309
NIC269	-0.029394
NIC271	-0.089625
NIC272	-0.070928
NIC274	-0.054954
NIC275	-0.059843
NIC276	-0.086231
NIC277	-0.08486
NIC3	-0.063355
NIC513	-0.075746
NIC514	-0.035845
NIC522	-0.082443
NIC523	-0.044626
PB303	-0.074218
PS2025	-0.025191
PX179	-0.052981
QG2075	-0.055055
QG536	-0.066444
QG556	-0.058121
QG557	-0.040588
QW947	-0.063718
QX1212	-0.049198
QX1233	-0.07987
QX1791	-0.043525
QX1792	-0.076824
QX1793	-0.042939
QX1794	-0.068142
RC301	-0.070246
WN2001	-0.06394
WN2002	-0.069216
WN2033	-0.090648
XZ1513	-0.027973
XZ1514	-0.03032
XZ1516	-0.036118
