strain	median
AB1	0.031594
BRC20067	0.01818
CB4852	0.01066
CB4854	0.017137
CB4856	0.013346
CB4932	0.041334
CX11254	0.0060308
CX11262	0.0049518
CX11264	0.017088
CX11271	0.016113
CX11276	0.015025
CX11285	0.011838
CX11292	0.024389
CX11307	0.0061424
CX11314	0.019446
CX11315	0.011228
DL200	0.030072
DL226	0.018418
DL238	0.023177
ECA246	0.022505
ECA248	0.020072
ECA250	0.016218
ECA251	0.032145
ECA252	0.017547
ECA259	0.009237
ECA348	0.0039337
ECA349	0.020048
ECA36	0.01171
ECA363	0.019
ECA372	0.019421
ECA396	0.01946
ED3005	0.036177
ED3011	0.011535
ED3012	0.016406
ED3017	0.0095397
ED3040	0.021619
ED3046	0.050057
ED3048	0.020062
ED3049	0.011626
ED3052	0.01541
ED3073	0.01914
ED3077	0.030446
EG4347	0.027997
EG4349	0.02093
EG4724	0.016566
EG4725	0.015448
EG4946	0.019179
GXW1	0.050415
JT11398	0.039471
JU1088	0.019697
JU1172	0.0071696
JU1200	0.01542
JU1212	0.019149
JU1213	0.027137
JU1242	0.02052
JU1246	0.01373
JU1395	0.019185
JU1400	0.017196
JU1409	0.01042
JU1440	0.031474
JU1491	0.021384
JU1530	0.015138
JU1543	0.021391
JU1568	0.048835
JU1580	0.01294
JU1581	0.015806
JU1586	0.02362
JU1652	0.010037
JU1793	0.0079826
JU1808	0.024055
JU1896	0.015844
JU2001	0.02842
JU2007	0.02663
JU2131	0.028384
JU2141	0.010786
JU2234	0.0021667
JU2464	0.029263
JU2466	0.035412
JU2513	0.014123
JU2519	0.032598
JU2522	0.017654
JU2526	0.026469
JU2534	0.020631
JU2565	0.013959
JU2566	0.0066113
JU2578	0.029525
JU258	0.013328
JU2587	0.033885
JU2593	0.015032
JU2600	0.0086587
JU2800	0.017762
JU2862	0.017458
JU2866	0.011648
JU2878	0.029568
JU2879	0.012536
JU2906	0.010087
JU310	0.024653
JU311	0.012844
JU3125	0.01082
JU3127	0.010041
JU3134	0.0252
JU3135	0.02549
JU3137	0.025248
JU3140	0.0072798
JU323	0.018081
JU346	0.023396
JU360	0.0068398
JU367	0.023562
JU393	0.030931
JU394	0.034111
JU397	0.0090331
JU406	0.0085689
JU440	0.00034483
JU561	0.024443
JU642	0.018433
JU751	0.015861
JU774	0.0033279
JU775	0.021466
JU778	0.02131
JU782	0.014834
JU792	0.01122
JU830	0.040099
JU847	0.018613
KR314	0.031288
LKC34	0.023629
LSJ1	0.011953
MY1	0.02271
MY10	0.010098
MY16	0.024145
MY18	0.020419
MY2212	0.016021
MY23	0.014492
MY2453	0.015844
MY2530	0.019564
MY2535	0.013742
MY2573	0.0092356
MY2693	0.0093028
MY2741	0.021746
MY679	0.013948
MY920	0.0063945
N2	0.014993
NIC1	0.03538
NIC1107	0.013987
NIC166	0.015429
NIC195	0.01536
NIC199	0.010287
NIC2	0.016358
NIC207	0.0082986
NIC231	0.017738
NIC236	0.020308
NIC242	0.026635
NIC251	0.022748
NIC252	0.023664
NIC255	0.021071
NIC256	0.022147
NIC258	0.010361
NIC259	0.015388
NIC260	0.012704
NIC261	0.01487
NIC262	0.0009712
NIC265	0.025215
NIC266	0.0095518
NIC267	0.019484
NIC268	0.016638
NIC269	0.010718
NIC271	0.025881
NIC272	0.020098
NIC274	0.014693
NIC275	0.017366
NIC276	0.018952
NIC277	0.024592
NIC3	0.028067
NIC513	0.023386
NIC514	0.0098974
NIC522	0.022011
NIC523	0.015459
PB303	0.018612
PS2025	0.0067911
PX179	0.013478
QG2075	0.021597
QG536	0.018537
QG556	0.014262
QG557	0.012751
QW947	0.021452
QX1212	0.01052
QX1233	0.019941
QX1791	0.012376
QX1792	0.016925
QX1793	0.015622
QX1794	0.017009
RC301	0.025987
WN2001	0.015974
WN2002	0.024034
WN2033	0.024738
XZ1513	0.0062956
XZ1514	0.0050342
XZ1516	0.012186
