strain	median
AB1	-0.076647
BRC20067	-0.035495
CB4852	-0.030783
CB4854	-0.049864
CB4856	-0.041432
CB4932	-0.082557
CX11254	-0.053519
CX11262	-0.020892
CX11264	-0.032311
CX11271	-0.04067
CX11276	0.00054538
CX11285	-0.023996
CX11292	-0.059244
CX11307	-0.0020876
CX11314	-0.056272
CX11315	-0.05969
DL200	-0.067507
DL226	-0.079687
DL238	-0.042289
ECA246	0.014587
ECA248	-0.056581
ECA250	-0.067267
ECA251	-0.05292
ECA252	-0.014809
ECA259	-0.052046
ECA348	-0.02701
ECA349	-0.070759
ECA36	0.013994
ECA363	-0.035849
ECA372	-0.043247
ECA396	0.019953
ED3005	-0.050468
ED3011	-0.02906
ED3012	-0.05072
ED3017	-0.036162
ED3040	-0.027178
ED3046	-0.080875
ED3048	-0.057834
ED3049	-0.029307
ED3052	-0.050816
ED3073	-0.045875
ED3077	-0.048677
EG4347	-0.035761
EG4349	-0.038733
EG4724	-0.023554
EG4725	-0.038651
EG4946	-0.065932
GXW1	-0.0885
JT11398	-0.081855
JU1088	-0.056725
JU1172	-0.021154
JU1200	-0.052428
JU1212	-0.033452
JU1213	-0.075344
JU1242	-0.087903
JU1246	-0.047207
JU1395	-0.050573
JU1400	-0.037903
JU1409	-0.035048
JU1440	-0.024077
JU1491	-0.076745
JU1530	-0.052694
JU1543	-0.064662
JU1568	-0.057307
JU1580	-0.032144
JU1581	-0.05981
JU1586	-0.029316
JU1652	-0.041303
JU1793	-0.040523
JU1808	-0.078019
JU1896	-0.041094
JU2001	-0.025316
JU2007	-0.046071
JU2131	-0.05642
JU2141	-0.045757
JU2234	-0.035802
JU2464	-0.078356
JU2466	-0.044726
JU2513	-0.018447
JU2519	-0.043217
JU2522	-0.022233
JU2526	-0.058408
JU2534	-0.061225
JU2565	-0.026016
JU2566	-0.014107
JU2578	-0.06564
JU258	-0.041257
JU2587	-0.052059
JU2593	-0.057728
JU2600	-0.029334
JU2800	-0.065865
JU2862	-0.035257
JU2866	-0.028953
JU2878	-0.05077
JU2879	-0.040721
JU2906	-0.047136
JU310	-0.066916
JU311	-0.031181
JU3125	-0.054569
JU3127	-0.050301
JU3134	-0.068916
JU3135	-0.055008
JU3137	-0.084088
JU3140	-0.066873
JU323	-0.056558
JU346	-0.037793
JU360	-0.028503
JU367	-0.038268
JU393	-0.029301
JU394	-0.04914
JU397	-0.054152
JU406	-0.054
JU440	0.00014073
JU561	-0.065585
JU642	-0.041509
JU751	-0.034629
JU774	-0.021804
JU775	-0.045501
JU778	-0.071196
JU782	-0.013862
JU792	-0.030084
JU830	-0.061837
JU847	-0.056097
KR314	-0.025169
LKC34	-0.054003
LSJ1	-0.0062507
MY1	-0.032873
MY10	-0.018545
MY16	-0.04247
MY18	-0.042938
MY2212	-0.057217
MY23	-0.059394
MY2453	-0.038419
MY2530	-0.049881
MY2535	-0.061594
MY2573	-0.028057
MY2693	-0.062026
MY2741	-0.03517
MY679	-0.020182
MY920	-0.035872
N2	-0.014795
NIC1	-0.054111
NIC1107	-0.062051
NIC166	-0.041792
NIC195	-0.047059
NIC199	-0.029603
NIC2	-0.028969
NIC207	-0.0288
NIC231	-0.00055665
NIC236	-0.064561
NIC242	-0.024669
NIC251	-0.041324
NIC252	-0.067715
NIC255	-0.042225
NIC256	-0.0076118
NIC258	-0.008936
NIC259	-0.030324
NIC260	-0.017709
NIC261	-0.038448
NIC262	-0.025597
NIC265	-0.040693
NIC266	-0.023525
NIC267	-0.047237
NIC268	-0.054449
NIC269	-0.032572
NIC271	-0.051439
NIC272	-0.046057
NIC274	-0.051
NIC275	-0.04646
NIC276	-0.061691
NIC277	-0.059703
NIC3	-0.039144
NIC513	-0.048955
NIC514	-0.060734
NIC522	-0.056503
NIC523	-0.031386
PB303	-0.044951
PS2025	-0.03311
PX179	-0.065634
QG2075	-0.048173
QG536	-0.031412
QG556	-0.061288
QG557	-0.0080516
QW947	-0.036513
QX1212	-0.034121
QX1233	-0.059843
QX1791	-0.039098
QX1792	-0.044018
QX1793	-0.050192
QX1794	-0.057122
RC301	-0.055543
WN2001	0.0010785
WN2002	-0.04232
WN2033	-0.033989
XZ1513	-0.047689
XZ1514	-0.033839
XZ1516	-0.016643
