strain	median
AB1	0.11358
BRC20067	0.098302
CB4852	0.064231
CB4854	0.089855
CB4856	0.075838
CB4932	0.11139
CX11254	0.045832
CX11262	0.067899
CX11264	0.081034
CX11271	0.062354
CX11276	0.018325
CX11285	0.05825
CX11292	0.11112
CX11307	-0.0028265
CX11314	0.089361
CX11315	0.11106
DL200	0.11499
DL226	0.15805
DL238	0.11256
ECA246	0.065495
ECA248	0.10962
ECA250	0.12222
ECA251	0.066898
ECA252	0.027817
ECA259	0.060888
ECA348	-0.00089867
ECA349	0.11322
ECA36	0.032154
ECA363	0.017012
ECA372	0.11074
ECA396	-0.017864
ED3005	0.081035
ED3011	0.099901
ED3012	0.11162
ED3017	0.064552
ED3040	0.04252
ED3046	0.14478
ED3048	0.11662
ED3049	0.13637
ED3052	0.072593
ED3073	0.090892
ED3077	0.10282
EG4347	0.076429
EG4349	0.083523
EG4724	0.07695
EG4725	0.061893
EG4946	0.1257
GXW1	0.14665
JT11398	0.090856
JU1088	0.1156
JU1172	0.10927
JU1200	0.11936
JU1212	0.057629
JU1213	0.076911
JU1242	0.11475
JU1246	0.11916
JU1395	0.066741
JU1400	0.086167
JU1409	0.099799
JU1440	0.058104
JU1491	0.14548
JU1530	0.11742
JU1543	0.088151
JU1568	0.101
JU1580	0.070389
JU1581	0.11411
JU1586	0.08571
JU1652	0.075229
JU1793	0.074843
JU1808	0.13951
JU1896	0.087204
JU2001	0.076075
JU2007	0.080034
JU2131	0.12293
JU2141	0.062139
JU2234	0.13575
JU2464	0.15295
JU2466	0.11506
JU2513	0.077253
JU2519	0.11334
JU2522	0.063995
JU2526	0.10229
JU2534	0.10736
JU2565	0.083341
JU2566	0.05052
JU2578	0.11206
JU258	0.074861
JU2587	0.097843
JU2593	0.10273
JU2600	0.025146
JU2800	0.099153
JU2862	0.05803
JU2866	0.076564
JU2878	0.078635
JU2879	0.048525
JU2906	0.11942
JU310	0.10207
JU311	0.092307
JU3125	0.13435
JU3127	0.1071
JU3134	0.15294
JU3135	0.085781
JU3137	0.14795
JU3140	0.11227
JU323	0.10491
JU346	0.063821
JU360	0.077784
JU367	0.063601
JU393	0.066465
JU394	0.099837
JU397	0.084781
JU406	0.10934
JU440	0.03565
JU561	0.089945
JU642	0.073644
JU751	0.12055
JU774	0.038157
JU775	0.099109
JU778	0.08773
JU782	0.042304
JU792	0.034624
JU830	0.12128
JU847	0.10106
KR314	0.10601
LKC34	0.10327
LSJ1	0.024265
MY1	0.080615
MY10	0.13336
MY16	0.08618
MY18	0.025049
MY2212	0.11636
MY23	0.11751
MY2453	0.075296
MY2530	0.087002
MY2535	0.085321
MY2573	0.085488
MY2693	0.13351
MY2741	0.11284
MY679	0.07039
MY920	0.10308
N2	0.033523
NIC1	0.10628
NIC1107	0.13711
NIC166	0.073847
NIC195	0.042701
NIC199	0.0217
NIC2	0.041703
NIC207	0.050861
NIC231	0.085289
NIC236	0.11811
NIC242	0.069208
NIC251	0.07276
NIC252	0.090719
NIC255	0.072571
NIC256	0.014835
NIC258	0.030794
NIC259	0.025871
NIC260	0.071396
NIC261	0.063542
NIC262	0.061653
NIC265	0.10832
NIC266	0.087714
NIC267	0.10472
NIC268	0.096948
NIC269	0.056927
NIC271	0.11082
NIC272	0.091328
NIC274	0.089682
NIC275	0.11105
NIC276	0.12756
NIC277	0.092622
NIC3	0.050876
NIC513	0.077797
NIC514	0.12861
NIC522	0.086265
NIC523	0.060539
PB303	0.11164
PS2025	0.04874
PX179	0.093028
QG2075	0.076523
QG536	0.08505
QG556	0.13099
QG557	0.020107
QW947	0.11253
QX1212	0.085003
QX1233	0.095606
QX1791	0.053618
QX1792	0.091096
QX1793	0.069619
QX1794	0.10348
RC301	0.099599
WN2001	0.052685
WN2002	0.084002
WN2033	0.043517
XZ1513	0.1187
XZ1514	0.0090095
XZ1516	0.025947
