strain	median
AB1	-0.00078944
BRC20067	-0.00043168
CB4852	-0.00061071
CB4854	-0.00092355
CB4856	-0.00064746
CB4932	-0.00024522
CX11254	-0.00033316
CX11262	-0.00028317
CX11264	-0.00051325
CX11271	-0.00091046
CX11276	-0.00045982
CX11285	-0.00062861
CX11292	-0.00075009
CX11307	-0.00067637
CX11314	-0.00045672
CX11315	-0.0011019
DL200	-0.00013108
DL226	-0.0006404
DL238	-0.00071533
ECA246	-0.00047805
ECA248	-0.00037998
ECA250	-0.00061251
ECA251	-0.00077863
ECA252	-0.00033271
ECA259	-0.00088135
ECA348	-0.00020396
ECA349	-0.00072177
ECA36	-0.00093773
ECA363	-0.00096872
ECA372	-0.00087568
ECA396	-0.0011015
ED3005	-0.00032135
ED3011	-0.00083467
ED3012	-0.00018117
ED3017	-0.0018075
ED3040	-0.00084299
ED3046	-0.00043148
ED3048	-0.00066549
ED3049	-0.00053796
ED3052	-0.000322
ED3073	-8.028e-05
ED3077	-0.0007852
EG4347	-0.00086457
EG4349	-0.0010134
EG4724	-0.00071514
EG4725	-0.00056075
EG4946	-0.00088518
GXW1	-0.0011171
JT11398	-0.00060101
JU1088	9.56e-05
JU1172	-0.0016181
JU1200	-0.00070215
JU1212	-0.00088422
JU1213	-0.00073877
JU1242	-0.00027653
JU1246	-0.00044648
JU1395	-0.00039989
JU1400	-0.00061661
JU1409	-0.00043788
JU1440	-0.00027807
JU1491	-0.00059332
JU1530	-0.00012976
JU1543	-0.00056082
JU1568	-0.00023183
JU1580	-0.00064988
JU1581	-0.0002682
JU1586	-0.00098257
JU1652	1.1164e-05
JU1793	-0.00072963
JU1808	-0.00090578
JU1896	-0.00015534
JU2001	-0.00056685
JU2007	-0.00067014
JU2131	-0.00056881
JU2141	-0.0007737
JU2234	-0.00089481
JU2464	-0.00018165
JU2466	-0.00064929
JU2513	-0.00088103
JU2519	-0.00041963
JU2522	-0.0003712
JU2526	-0.00031327
JU2534	-0.00071926
JU2565	-0.00044294
JU2566	-0.00090923
JU2578	-0.00075931
JU258	-0.00059091
JU2587	-0.0004787
JU2593	-0.0011281
JU2600	-0.0010883
JU2800	-0.0010371
JU2862	-0.0013388
JU2866	-0.00067269
JU2878	-0.00064747
JU2879	-0.0012374
JU2906	-0.00070059
JU310	-0.00053898
JU311	-0.00049863
JU3125	-0.00021444
JU3127	-0.0003302
JU3134	-0.00040659
JU3135	-0.00064666
JU3137	-0.00026985
JU3140	-0.00072271
JU323	-0.00029432
JU346	-0.00017318
JU360	-0.0017249
JU367	-0.00039279
JU393	-0.0003797
JU394	-0.00022606
JU397	-0.00084015
JU406	-0.00072753
JU440	-0.0005852
JU561	-0.00094345
JU642	-0.00082571
JU751	-0.00059255
JU774	-0.00064061
JU775	-0.00030949
JU778	-0.0003528
JU782	-0.00056345
JU792	-0.00062943
JU830	-0.00077419
JU847	-0.00037104
KR314	-0.00018908
LKC34	-0.000474
LSJ1	-5.2177e-05
MY1	-0.00097868
MY10	-0.00066611
MY16	-0.00070073
MY18	-0.0012131
MY2212	-0.00061232
MY23	-0.00077585
MY2453	-0.00045616
MY2530	-0.00060257
MY2535	-0.0007971
MY2573	-0.00064396
MY2693	-0.00081758
MY2741	-0.00067356
MY679	-0.00097738
MY920	-0.00074117
N2	-0.0001011
NIC1	-0.00059102
NIC1107	-0.00030762
NIC166	-0.00031684
NIC195	-0.0010875
NIC199	-0.00037989
NIC2	-0.00077377
NIC207	-0.00080348
NIC231	-0.0011856
NIC236	-0.00076042
NIC242	-0.0003723
NIC251	-0.0011214
NIC252	-0.00063303
NIC255	-0.00048138
NIC256	-0.00050562
NIC258	-0.00018312
NIC259	-0.00034766
NIC260	-0.00041933
NIC261	-0.00059078
NIC262	-0.00053889
NIC265	-0.000535
NIC266	-0.00073968
NIC267	-0.00067011
NIC268	-0.000796
NIC269	-0.00077523
NIC271	-0.00073249
NIC272	-0.00090143
NIC274	-0.00087698
NIC275	-0.00046912
NIC276	-0.00078105
NIC277	-0.0011316
NIC3	-0.0004705
NIC513	-0.00016615
NIC514	-0.00068287
NIC522	-0.00038641
NIC523	-0.00021865
PB303	-0.0010403
PS2025	-0.00066296
PX179	-0.00092243
QG2075	6.4052e-05
QG536	-0.00082585
QG556	-0.00043386
QG557	-0.00043373
QW947	-0.00059288
QX1212	-0.00050634
QX1233	-0.00044513
QX1791	-0.0010204
QX1792	-0.0011161
QX1793	-0.00050175
QX1794	-0.00038713
RC301	-0.00072413
WN2001	-0.00081011
WN2002	-0.001182
WN2033	-6.2329e-05
XZ1513	-0.00082604
XZ1514	-0.0002133
XZ1516	-0.00031295
