strain	median
AB1	-0.0069885
BRC20067	-0.0099136
CB4852	-0.014937
CB4854	-0.0058914
CB4856	-0.0095585
CB4932	-0.0093661
CX11254	-0.010269
CX11262	-0.0007274
CX11264	-0.0016044
CX11271	-0.021709
CX11276	-0.011946
CX11285	0.0025855
CX11292	-0.009713
CX11307	-0.016039
CX11314	-0.010071
CX11315	-0.018431
DL200	-0.0030166
DL226	-0.0037447
DL238	-0.018836
ECA246	-0.0069234
ECA248	-0.0094922
ECA250	-0.0040688
ECA251	-0.0042275
ECA252	-0.0020595
ECA259	-0.0093918
ECA348	-0.0069476
ECA349	-0.0050524
ECA36	-0.011899
ECA363	0.00015259
ECA372	-0.0091967
ECA396	-0.0018452
ED3005	-0.008611
ED3011	-0.0099474
ED3012	-0.0099815
ED3017	-0.00789
ED3040	-0.0045665
ED3046	0.00013608
ED3048	-0.016605
ED3049	-0.0071872
ED3052	-0.0093983
ED3073	-0.011514
ED3077	-0.0098314
EG4347	-0.0033018
EG4349	-0.0050556
EG4724	-0.012909
EG4725	-0.01008
EG4946	-0.0096045
GXW1	-0.0027774
JT11398	-0.010132
JU1088	-0.0084505
JU1172	-0.0080403
JU1200	-0.010814
JU1212	-0.014353
JU1213	-0.0089305
JU1242	-0.0096088
JU1246	-0.0023286
JU1395	-0.0071309
JU1400	-0.0023826
JU1409	-0.014415
JU1440	-0.0072368
JU1491	-0.0087248
JU1530	-0.0051705
JU1543	-0.0088174
JU1568	-0.0087365
JU1580	-0.0078166
JU1581	-0.012868
JU1586	-0.00437
JU1652	-0.013509
JU1793	-0.0025194
JU1808	-0.001967
JU1896	-0.011379
JU2001	-0.00607
JU2007	-0.0066872
JU2131	-0.018094
JU2141	-0.0089655
JU2234	-0.0037601
JU2464	-0.0013681
JU2466	-0.0075051
JU2513	-0.0029655
JU2519	-0.01118
JU2522	-0.01013
JU2526	-0.012212
JU2534	-0.0131
JU2565	-0.0015752
JU2566	-0.0063853
JU2578	-0.0042213
JU258	-0.013741
JU2587	-0.022469
JU2593	-0.0085801
JU2600	-0.0097149
JU2800	-0.0084462
JU2862	-0.0065745
JU2866	-0.0070688
JU2878	-0.012817
JU2879	-0.010103
JU2906	-0.012731
JU310	-0.013206
JU311	-0.01233
JU3125	-0.003473
JU3127	-0.0032364
JU3134	-0.016354
JU3135	-0.0058453
JU3137	-0.0089451
JU3140	-0.0053901
JU323	-0.0085424
JU346	-0.0074596
JU360	-0.013399
JU367	-0.011466
JU393	-0.0063425
JU394	-0.0036388
JU397	-0.0076602
JU406	-0.0071543
JU440	-0.0074949
JU561	-0.012757
JU642	-0.012753
JU751	-0.0046214
JU774	-0.002709
JU775	-0.0079408
JU778	0.0023435
JU782	-0.0030752
JU792	-0.010339
JU830	-0.0055599
JU847	-0.0018769
KR314	-0.010062
LKC34	-0.0097746
LSJ1	-0.0034522
MY1	-0.0060884
MY10	-0.008887
MY16	-0.011917
MY18	-0.0068826
MY2212	-0.010225
MY23	-0.013226
MY2453	-0.0048163
MY2530	-0.0052572
MY2535	-0.0033458
MY2573	-0.016985
MY2693	-0.0091035
MY2741	-0.010428
MY679	0.0015932
MY920	-0.013609
N2	-0.0024278
NIC1	-0.003076
NIC1107	0.00056671
NIC166	-0.00684
NIC195	-0.012388
NIC199	-0.013013
NIC2	-0.0071764
NIC207	-0.01059
NIC231	-0.0013773
NIC236	-0.008448
NIC242	-0.011111
NIC251	-0.0055558
NIC252	0.0079841
NIC255	-0.0078767
NIC256	-0.012243
NIC258	0.0021524
NIC259	5.5581e-05
NIC260	-0.0082207
NIC261	-0.0079026
NIC262	-0.000614
NIC265	-0.0058202
NIC266	-0.011938
NIC267	-0.013347
NIC268	-0.010529
NIC269	-0.0037193
NIC271	-0.014131
NIC272	-0.011197
NIC274	-0.0085106
NIC275	-0.013384
NIC276	-0.010678
NIC277	-0.011769
NIC3	-0.0067478
NIC513	-0.007644
NIC514	-0.010887
NIC522	-0.0045383
NIC523	-0.012449
PB303	-0.013882
PS2025	-0.0091452
PX179	-0.010058
QG2075	-0.0066312
QG536	-0.0029883
QG556	-0.0093615
QG557	-0.014444
QW947	-0.0071741
QX1212	-0.0088008
QX1233	-0.0057922
QX1791	-0.0073071
QX1792	-0.0044897
QX1793	-0.01375
QX1794	-0.013769
RC301	-0.0047394
WN2001	-0.00094213
WN2002	-0.0079018
WN2033	-0.013264
XZ1513	-0.0076437
XZ1514	0.0014263
XZ1516	-0.0037708
