strain	median
AB1	50.4761
BRC20067	23.668
CB4852	25.8884
CB4854	36.6116
CB4856	15.1649
CB4932	29.0294
CX11254	18.3058
CX11262	0.00047302
CX11264	21.4465
CX11271	18.3058
CX11276	30.3307
CX11285	14.5145
CX11292	25.8884
CX11307	15.1653
CX11314	20.5266
CX11315	22.7475
DL200	21.4467
DL226	25.8889
DL238	20.5269
ECA246	10.7234
ECA248	29.0289
ECA250	15.1648
ECA251	10.7226
ECA252	7.5824
ECA259	15.1653
ECA348	7.5822
ECA349	18.3058
ECA36	21.4467
ECA363	7.5827
ECA372	25.238
ECA396	3.1409
ED3005	51.7769
ED3011	18.3063
ED3012	18.3063
ED3017	21.4467
ED3040	29.0291
ED3046	44.1942
ED3048	25.8884
ED3049	7.5822
ED3052	25.888
ED3073	21.4467
ED3077	39.7525
EG4347	36.6116
EG4349	30.3297
EG4724	33.4711
EG4725	16.7353
EG4946	33.4706
GXW1	33.4706
JT11398	35.0411
JU1088	24.5867
JU1172	7.5822
JU1200	29.0289
JU1212	10.7231
JU1213	25.8884
JU1242	29.0289
JU1246	15.1653
JU1395	29.0294
JU1400	3.1404
JU1409	21.4467
JU1440	29.0294
JU1491	15.1653
JU1530	7.5827
JU1543	25.8889
JU1568	47.3352
JU1580	18.3058
JU1581	22.7475
JU1586	25.8884
JU1652	27.4589
JU1793	12.9445
JU1808	70.0822
JU1896	25.888
JU2001	7.5827
JU2007	21.4467
JU2131	29.0289
JU2141	15.1653
JU2234	18.3058
JU2464	29.0289
JU2466	18.3058
JU2513	18.3053
JU2519	33.4706
JU2522	21.4467
JU2526	18.3058
JU2534	18.3058
JU2565	22.7475
JU2566	15.1653
JU2578	39.7525
JU258	16.0849
JU2587	39.752
JU2593	29.0289
JU2600	18.3058
JU2800	29.0289
JU2862	25.8884
JU2866	25.888
JU2878	23.6676
JU2879	21.4467
JU2906	-4.4415
JU310	25.8889
JU311	20.5264
JU3125	17.0054
JU3127	15.1653
JU3134	22.748
JU3135	29.0294
JU3137	18.3058
JU3140	7.5827
JU323	21.4472
JU346	18.3058
JU360	10.7236
JU367	10.7236
JU393	33.4706
JU394	33.4706
JU397	18.3063
JU406	25.8884
JU440	10.7236
JU561	33.4711
JU642	18.3058
JU751	36.6116
JU774	18.3055
JU775	16.7356
JU778	40.4026
JU782	29.0294
JU792	25.888
JU830	44.1942
JU847	18.3058
KR314	44.1942
LKC34	29.0289
LSJ1	18.3058
MY1	18.3063
MY10	4.4422
MY16	36.6116
MY18	15.1649
MY2212	0
MY23	21.4467
MY2453	33.4711
MY2530	32.1703
MY2535	10.7231
MY2573	9.4223
MY2693	15.1649
MY2741	25.8884
MY679	15.1649
MY920	15.1649
N2	15.1648
NIC1	29.0289
NIC1107	-0.00047302
NIC166	21.4462
NIC195	33.4702
NIC199	19.6066
NIC2	30.3302
NIC207	18.3058
NIC231	24.5876
NIC236	30.3292
NIC242	25.8889
NIC251	40.1429
NIC252	51.1262
NIC255	18.3063
NIC256	29.6798
NIC258	10.7226
NIC259	18.3058
NIC260	25.8884
NIC261	7.5827
NIC262	15.1653
NIC265	18.3058
NIC266	15.1653
NIC267	30.3302
NIC268	27.1893
NIC269	13.864
NIC271	18.3058
NIC272	32.1698
NIC274	18.3058
NIC275	21.4467
NIC276	25.888
NIC277	31.2498
NIC3	19.6066
NIC513	18.3063
NIC514	18.3058
NIC522	25.8882
NIC523	18.3058
PB303	25.8884
PS2025	3.1409
PX179	7.5822
QG2075	1.5702
QG536	22.7475
QG556	10.7231
QG557	15.1653
QW947	25.8887
QX1212	25.888
QX1233	25.8884
QX1791	15.1649
QX1792	36.612
QX1793	7.5831
QX1794	15.1651
RC301	25.8884
WN2001	25.888
WN2002	22.748
WN2033	33.4706
XZ1513	18.3063
XZ1514	12.0242
XZ1516	10.7231
