strain	median
AB1	24.5881
BRC20067	15.1649
CB4852	7.5822
CB4854	15.1653
CB4856	6.2819
CB4932	18.3058
CX11254	3.1409
CX11262	-4.4417
CX11264	12.0249
CX11271	15.1653
CX11276	15.1653
CX11285	7.5824
CX11292	12.0239
CX11307	10.7234
CX11314	9.1534
CX11315	15.1651
DL200	4.4417
DL226	15.1649
DL238	15.1649
ECA246	4.442
ECA248	15.1653
ECA250	10.7231
ECA251	4.4413
ECA252	0
ECA259	8.5022
ECA348	0
ECA349	4.4417
ECA36	15.1649
ECA363	4.4413
ECA372	15.1653
ECA396	-3.1409
ED3005	21.4467
ED3011	9.4228
ED3012	15.1649
ED3017	4.4417
ED3040	9.1531
ED3046	15.1653
ED3048	12.0239
ED3049	4.4417
ED3052	15.1653
ED3073	10.7231
ED3077	21.4462
EG4347	18.3058
EG4349	15.1648
EG4724	15.1649
EG4725	13.5946
EG4946	6.2819
GXW1	15.1653
JT11398	12.2939
JU1088	12.0244
JU1172	0
JU1200	18.3058
JU1212	7.5819
JU1213	15.1648
JU1242	15.1653
JU1246	7.5836
JU1395	15.1653
JU1400	-3.1404
JU1409	8.884
JU1440	15.1651
JU1491	8.8835
JU1530	7.5817
JU1543	15.1649
JU1568	30.3297
JU1580	7.5822
JU1581	15.1649
JU1586	10.7236
JU1652	15.1653
JU1793	7.5822
JU1808	33.4706
JU1896	8.8844
JU2001	0
JU2007	6.2819
JU2131	15.1653
JU2141	3.1404
JU2234	10.7226
JU2464	15.1653
JU2466	6.2809
JU2513	7.5831
JU2519	15.1653
JU2522	7.5822
JU2526	15.1644
JU2534	12.0235
JU2565	15.1644
JU2566	10.7226
JU2578	21.4462
JU258	10.7229
JU2587	25.888
JU2593	18.3058
JU2600	7.5822
JU2800	15.1653
JU2862	15.1653
JU2866	15.1649
JU2878	11.3735
JU2879	15.1644
JU2906	-3.1409
JU310	15.1653
JU311	12.2933
JU3125	6.2814
JU3127	7.5827
JU3134	15.1649
JU3135	15.1653
JU3137	12.0239
JU3140	10.7231
JU323	15.1653
JU346	10.7231
JU360	12.0235
JU367	7.5827
JU393	15.1653
JU394	10.7236
JU397	10.7231
JU406	7.5827
JU440	4.4417
JU561	18.3058
JU642	12.0239
JU751	18.3063
JU774	10.7226
JU775	0.00095367
JU778	18.3058
JU782	18.3058
JU792	15.1653
JU830	21.4467
JU847	10.7231
KR314	21.4462
LKC34	12.0249
LSJ1	7.5822
MY1	3.1414
MY10	3.1404
MY16	18.3058
MY18	7.5827
MY2212	0
MY23	12.0249
MY2453	15.1653
MY2530	15.1653
MY2535	4.4413
MY2573	7.5827
MY2693	3.1409
MY2741	10.7236
MY679	3.1409
MY920	7.5822
N2	0.00047302
NIC1	15.1653
NIC1107	0
NIC166	15.1644
NIC195	15.1653
NIC199	12.0244
NIC2	15.1653
NIC207	10.7226
NIC231	15.1653
NIC236	15.1649
NIC242	3.1414
NIC251	22.748
NIC252	22.097
NIC255	15.1649
NIC256	12.9442
NIC258	10.7226
NIC259	12.0239
NIC260	15.1649
NIC261	12.0246
NIC262	7.5822
NIC265	12.0244
NIC266	6.2814
NIC267	9.1534
NIC268	12.0239
NIC269	10.7231
NIC271	3.1409
NIC272	18.3058
NIC274	10.7226
NIC275	15.1653
NIC276	12.0239
NIC277	15.1652
NIC3	15.1649
NIC513	15.1653
NIC514	10.7231
NIC522	12.0246
NIC523	10.7241
PB303	15.1649
PS2025	0
PX179	0
QG2075	2.2206
QG536	15.1653
QG556	0
QG557	0
QW947	13.5944
QX1212	15.1644
QX1233	15.1653
QX1791	8.8837
QX1792	18.3058
QX1793	0.0009613
QX1794	8.8835
RC301	15.1644
WN2001	15.1653
WN2002	15.1649
WN2033	18.3058
XZ1513	13.8636
XZ1514	4.4417
XZ1516	8.883
