strain	median
AB1	-202.6653
BRC20067	-150.888
CB4852	-140.1653
CB4854	-21.4465
CB4856	-114.2765
CB4932	-91.5289
CX11254	-169.1942
CX11262	-77.0147
CX11264	-117.4178
CX11271	-106.6945
CX11276	-92.8302
CX11285	-6.3042
CX11292	-32.1703
CX11307	-111.136
CX11314	-99.1116
CX11315	-265.1653
DL200	-161.6116
DL226	-213.3885
DL238	-127.2211
ECA246	3.1407
ECA248	-154.0289
ECA250	-83.9472
ECA251	-73.2231
ECA252	-29.0289
ECA259	-268.3063
ECA348	-143.3058
ECA349	-170.495
ECA36	-125.9424
ECA363	36.6116
ECA372	-71.6531
ECA396	132.5819
ED3005	-140.1653
ED3011	-160.3544
ED3012	-228.5538
ED3017	-150.888
ED3040	-5.3618
ED3046	-158.4711
ED3048	-178.998
ED3049	51.7764
ED3052	-54.9176
ED3073	-191.9403
ED3077	-312.5002
EG4347	-94.6712
EG4349	-134.9878
EG4724	-158.4711
EG4725	-121.2087
EG4946	-114.2759
GXW1	-132.5827
JT11398	-79.2348
JU1088	-213.3884
JU1172	-121.8592
JU1200	-120.559
JU1212	-29.0294
JU1213	-187.5
JU1242	-125
JU1246	-88.3884
JU1395	-147.747
JU1400	-50.4761
JU1409	-85.247
JU1440	-173.9495
JU1491	-147.7475
JU1530	-100.4119
JU1543	-122.1731
JU1568	-158.4711
JU1580	-117.7318
JU1581	-169.1947
JU1586	-51.7769
JU1652	-222.5413
JU1793	-130.3614
JU1808	-291.0538
JU1896	-77.6651
JU2001	15.1645
JU2007	-121.8586
JU2131	-77.6653
JU2141	-70.0824
JU2234	-120.5583
JU2464	-80.8062
JU2466	-103.5533
JU2513	-103.5538
JU2519	-150.8884
JU2522	-92.8302
JU2526	-128.1405
JU2534	-202.6653
JU2565	-117.4173
JU2566	-124.9999
JU2578	-48.6355
JU258	-205.8057
JU2587	-88.3885
JU2593	-213.3885
JU2600	-198.2231
JU2800	-239.2769
JU2862	-109.8348
JU2866	-184.3598
JU2878	-106.0659
JU2879	-173.6364
JU2906	-99.1115
JU310	-44.1942
JU311	-119.6382
JU3125	-367.4173
JU3127	-162.9132
JU3134	-162.9119
JU3135	-227.2525
JU3137	-114.2764
JU3140	-161.6116
JU323	-147.7477
JU346	-103.5533
JU360	-161.6125
JU367	-22.7475
JU393	-117.4169
JU394	-33.4711
JU397	-158.4706
JU406	-147.747
JU440	-102.2527
JU561	-121.8591
JU642	-95.9711
JU751	-114.2769
JU774	-246.8596
JU775	-140.1657
JU778	-134.1529
JU782	-184.3586
JU792	-169.1942
JU830	-117.4166
JU847	-140.1649
KR314	-161.6116
LKC34	-73.2236
LSJ1	-121.8598
MY1	-114.2769
MY10	13.864
MY16	-161.6096
MY18	-126.9299
MY2212	-70.0827
MY23	-210.8978
MY2453	-158.4711
MY2530	-195.0827
MY2535	-91.5284
MY2573	-99.1116
MY2693	-117.4169
MY2741	-129.4417
MY679	-114.2774
MY920	-58.0583
N2	-29.0289
NIC1	-29.0289
NIC1107	-66.8113
NIC166	-99.1118
NIC195	-260.7236
NIC199	-195.0822
NIC2	-172.3347
NIC207	-106.6942
NIC231	-140.1644
NIC236	-74.0041
NIC242	-91.5281
NIC251	-109.8347
NIC252	-233.9153
NIC255	-18.3053
NIC256	-43.544
NIC258	-15.1653
NIC259	-13.8638
NIC260	-224.1115
NIC261	-47.3347
NIC262	-89.2767
NIC265	-109.8351
NIC266	-155.3297
NIC267	-156.9
NIC268	-220.9711
NIC269	-228.5538
NIC271	-60.5703
NIC272	-210.248
NIC274	-158.4711
NIC275	-129.8328
NIC276	-220.9711
NIC277	-136.3738
NIC3	-88.3884
NIC513	11.1672
NIC514	-146.4464
NIC522	-128.791
NIC523	-143.3054
PB303	-249.9993
PS2025	-184.3596
PX179	-169.1933
QG2075	-6.0124
QG536	-10.7236
QG556	-205.8055
QG557	31.2505
QW947	-147.0973
QX1212	-158.4711
QX1233	-161.6113
QX1791	-47.3351
QX1792	-109.8352
QX1793	-99.1116
QX1794	-132.5831
RC301	-157.1693
WN2001	-7.5826
WN2002	-95.971
WN2033	-135.7238
XZ1513	-291.0533
XZ1514	-169.1945
XZ1516	-121.8583
