strain	median
AB1	0.0010583
BRC20067	0.0058612
CB4852	0.0031507
CB4854	0.0027351
CB4856	0.0055203
CB4932	0.0065084
CX11254	0.0031401
CX11262	0.0023628
CX11264	0.0015425
CX11271	0.0093687
CX11276	0.0048023
CX11285	0.0087033
CX11292	0.0041692
CX11307	0.010039
CX11314	0.0067371
CX11315	0.0081903
DL200	0.0042107
DL226	0.003196
DL238	0.011237
ECA246	0.0059173
ECA248	0.000997
ECA250	0.0040832
ECA251	0.0029528
ECA252	0.0065483
ECA259	0.0067462
ECA348	0.0076388
ECA349	0.0022722
ECA36	0.009626
ECA363	0.0084162
ECA372	0.0045933
ECA396	0.0080419
ED3005	0.0028483
ED3011	0.0061069
ED3012	0.0067893
ED3017	0.0030534
ED3040	0.0020679
ED3046	0.0025752
ED3048	0.0059931
ED3049	0.0035264
ED3052	0.0043342
ED3073	0.0055695
ED3077	0.0083638
EG4347	0.0066286
EG4349	0.0001918
EG4724	0.0012942
EG4725	0.0046906
EG4946	0.006594
GXW1	0.00927
JT11398	0.0043589
JU1088	0.004211
JU1172	0.0051691
JU1200	0.00459
JU1212	0.0093326
JU1213	0.0059369
JU1242	0.0070097
JU1246	0.0011034
JU1395	0.0042733
JU1400	0.003143
JU1409	0.0068952
JU1440	0.003946
JU1491	0.0081728
JU1530	0.0041356
JU1543	0.0010955
JU1568	0.0028165
JU1580	0.0025454
JU1581	0.0080571
JU1586	0.0053642
JU1652	0.0055692
JU1793	0.0030793
JU1808	-0.0035095
JU1896	0.0042336
JU2001	0.0058619
JU2007	0.0038352
JU2131	0.0067483
JU2141	0.004922
JU2234	-0.00074942
JU2464	0.0053184
JU2466	0.0067661
JU2513	0.0028859
JU2519	0.0065459
JU2522	0.0062297
JU2526	0.0083397
JU2534	0.0090823
JU2565	-0.0038149
JU2566	0.0046775
JU2578	0.0020662
JU258	0.0043698
JU2587	0.0082533
JU2593	0.0024534
JU2600	0.0046022
JU2800	0.0099998
JU2862	0.0063139
JU2866	0.003143
JU2878	0.0062414
JU2879	0.0061241
JU2906	0.0068867
JU310	0.0067982
JU311	0.0043597
JU3125	0.0027808
JU3127	0.0074412
JU3134	0.0090671
JU3135	0.0027859
JU3137	0.0034237
JU3140	-0.0010085
JU323	0.0055155
JU346	0.0033891
JU360	0.0030024
JU367	0.0053528
JU393	0.0051367
JU394	0.0042691
JU397	0.001751
JU406	0.0018023
JU440	0.00092559
JU561	0.00051856
JU642	0.0083306
JU751	0.00050914
JU774	0.0021793
JU775	0.0065483
JU778	-0.00033295
JU782	0.00090953
JU792	0.0058169
JU830	0.0028902
JU847	0.0054793
KR314	0.0036104
LKC34	0.0034139
LSJ1	0.0023945
MY1	0.0035231
MY10	0.0032371
MY16	0.0037733
MY18	0.0013547
MY2212	0.0059438
MY23	0.0054576
MY2453	-0.00049805
MY2530	0.0040213
MY2535	0.0030639
MY2573	0.0050122
MY2693	0.0066965
MY2741	0.0063612
MY679	0.0024205
MY920	0.0061748
N2	0.0016415
NIC1	0.0037559
NIC1107	-0.0014137
NIC166	0.0044341
NIC195	0.0099
NIC199	0.0048985
NIC2	0.0030558
NIC207	0.0041675
NIC231	0.0048635
NIC236	0.0045564
NIC242	0.0063469
NIC251	-0.0015017
NIC252	0.0043156
NIC255	0.0047948
NIC256	0.0063216
NIC258	0.0015468
NIC259	0.0043134
NIC260	0.0034927
NIC261	0.0044128
NIC262	0.0023859
NIC265	0.0060865
NIC266	0.0049162
NIC267	0.0057737
NIC268	0.0053179
NIC269	0.0046596
NIC271	0.003932
NIC272	0.0059634
NIC274	0.0038395
NIC275	0.0056218
NIC276	0.0054057
NIC277	0.0063104
NIC3	0.0045523
NIC513	0.0099013
NIC514	0.0046265
NIC522	0.00045738
NIC523	0.0043998
PB303	0.0080051
PS2025	0.0060138
PX179	0.0065396
QG2075	0.0026242
QG536	0.0020985
QG556	0.0086507
QG557	0.010197
QW947	0.0044344
QX1212	0.0019005
QX1233	0.0085493
QX1791	0.005802
QX1792	0.0054522
QX1793	0.0042157
QX1794	0.0056482
RC301	0.0052045
WN2001	0.0045808
WN2002	0.0043306
WN2033	0.0049011
XZ1513	0.010055
XZ1514	0.0079668
XZ1516	0.0050331
