strain	median
AB1	-0.05936
BRC20067	-0.026463
CB4852	-0.021152
CB4854	-0.047569
CB4856	-0.043393
CB4932	-0.053472
CX11254	-0.039775
CX11262	-0.035982
CX11264	-0.018773
CX11271	-0.047019
CX11276	0.0058936
CX11285	-0.015759
CX11292	-0.029706
CX11307	-0.013607
CX11314	-0.046929
CX11315	-0.07652
DL200	-0.051694
DL226	-0.071208
DL238	-0.042768
ECA246	0.023906
ECA248	-0.050136
ECA250	-0.036153
ECA251	-0.041795
ECA252	-0.0096359
ECA259	-0.070504
ECA348	-0.032626
ECA349	-0.064828
ECA36	0.033851
ECA363	-0.0065158
ECA372	-0.039097
ECA396	0.07631
ED3005	-0.049619
ED3011	-0.040693
ED3012	-0.072658
ED3017	-0.048116
ED3040	-0.020794
ED3046	-0.054905
ED3048	-0.037894
ED3049	-0.039907
ED3052	-0.056065
ED3073	-0.054405
ED3077	-0.041424
EG4347	-0.034704
EG4349	-0.031261
EG4724	-0.02866
EG4725	-0.030785
EG4946	-0.050288
GXW1	-0.089917
JT11398	-0.041366
JU1088	-0.081096
JU1172	-0.06002
JU1200	-0.072416
JU1212	-0.041784
JU1213	-0.050842
JU1242	-0.068194
JU1246	-0.045128
JU1395	-0.039155
JU1400	-0.037996
JU1409	-0.064059
JU1440	-0.044257
JU1491	-0.066169
JU1530	-0.050402
JU1543	-0.035557
JU1568	-0.03385
JU1580	-0.031586
JU1581	-0.083938
JU1586	-0.044157
JU1652	-0.050946
JU1793	-0.043253
JU1808	-0.083593
JU1896	-0.035083
JU2001	-0.012246
JU2007	-0.048246
JU2131	-0.045007
JU2141	-0.028679
JU2234	-0.0093234
JU2464	-0.062411
JU2466	-0.03796
JU2513	-0.030681
JU2519	-0.051349
JU2522	-0.030098
JU2526	-0.045763
JU2534	-0.057967
JU2565	-0.041653
JU2566	-0.027036
JU2578	-0.041461
JU258	-0.05525
JU2587	-0.031972
JU2593	-0.048728
JU2600	-0.0072006
JU2800	-0.059269
JU2862	-0.0078939
JU2866	-0.031861
JU2878	-0.031029
JU2879	-0.048281
JU2906	-0.048918
JU310	-0.048872
JU311	-0.06527
JU3125	-0.091038
JU3127	-0.053834
JU3134	-0.061452
JU3135	-0.046946
JU3137	-0.070957
JU3140	-0.051298
JU323	-0.044078
JU346	-0.045234
JU360	-0.025175
JU367	-0.038294
JU393	-0.025001
JU394	-0.035205
JU397	-0.05732
JU406	-0.055221
JU440	0.033973
JU561	-0.029892
JU642	-0.063266
JU751	-0.022752
JU774	-0.056818
JU775	-0.043312
JU778	-0.053638
JU782	-0.032097
JU792	-0.037704
JU830	-0.059315
JU847	-0.04589
KR314	-0.04081
LKC34	-0.03947
LSJ1	-0.0048319
MY1	-0.038672
MY10	-0.03396
MY16	-0.062982
MY18	0.0020476
MY2212	-0.047513
MY23	-0.085991
MY2453	-0.027438
MY2530	-0.040736
MY2535	-0.047363
MY2573	-0.049177
MY2693	-0.064309
MY2741	-0.045069
MY679	-0.035126
MY920	-0.046211
N2	-0.0094571
NIC1	-0.047969
NIC1107	-0.050027
NIC166	-0.04328
NIC195	-0.044603
NIC199	-0.041
NIC2	-0.025749
NIC207	-0.02193
NIC231	-0.014466
NIC236	-0.056783
NIC242	-0.0401
NIC251	-0.024879
NIC252	-0.068776
NIC255	-0.0058435
NIC256	-0.007218
NIC258	-0.0058476
NIC259	-0.015707
NIC260	-0.034742
NIC261	-0.027079
NIC262	-0.035517
NIC265	-0.038746
NIC266	-0.03445
NIC267	-0.059824
NIC268	-0.04943
NIC269	-0.034408
NIC271	-0.052576
NIC272	-0.043377
NIC274	-0.054664
NIC275	-0.042772
NIC276	-0.056137
NIC277	-0.054255
NIC3	-0.031604
NIC513	-0.053718
NIC514	-0.051984
NIC522	-0.043654
NIC523	-0.047058
PB303	-0.08087
PS2025	-0.04201
PX179	-0.047572
QG2075	-0.02847
QG536	-0.038137
QG556	-0.081113
QG557	-0.02228
QW947	-0.035426
QX1212	-0.03954
QX1233	-0.032843
QX1791	-0.030785
QX1792	-0.031708
QX1793	-0.046395
QX1794	-0.06184
RC301	-0.047938
WN2001	-0.024093
WN2002	-0.032294
WN2033	-0.02079
XZ1513	-0.092512
XZ1514	-0.03619
XZ1516	-0.0028476
