strain,d_curvature_std_hips_w_backward_50th_medianDiff_all,d_path_curvature_body_IQR_medianDiff_all,d_path_curvature_body_abs_10th_medianDiff_all,d_path_curvature_body_abs_50th_medianDiff_all,d_path_curvature_body_norm_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_10th_medianDiff_all,d_path_curvature_body_w_backward_90th_medianDiff_all,d_path_curvature_body_w_backward_IQR_medianDiff_all,d_path_curvature_body_w_backward_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_abs_50th_medianDiff_all,d_path_curvature_body_w_backward_abs_90th_medianDiff_all,d_path_curvature_body_w_backward_abs_IQR_medianDiff_all,d_path_curvature_body_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_IQR_medianDiff_all,d_path_curvature_head_abs_10th_medianDiff_all,d_path_curvature_head_abs_50th_medianDiff_all,d_path_curvature_head_abs_IQR_medianDiff_all,d_path_curvature_head_norm_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_10th_medianDiff_all,d_path_curvature_head_w_backward_90th_medianDiff_all,d_path_curvature_head_w_backward_IQR_medianDiff_all,d_path_curvature_head_w_backward_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_abs_50th_medianDiff_all,d_path_curvature_head_w_backward_abs_90th_medianDiff_all,d_path_curvature_head_w_backward_abs_IQR_medianDiff_all,d_path_curvature_head_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_w_paused_10th_medianDiff_all,d_path_curvature_midbody_IQR_medianDiff_all,d_path_curvature_midbody_abs_10th_medianDiff_all,d_path_curvature_midbody_abs_50th_medianDiff_all,d_path_curvature_midbody_norm_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_10th_medianDiff_all,d_path_curvature_midbody_w_backward_90th_medianDiff_all,d_path_curvature_midbody_w_backward_IQR_medianDiff_all,d_path_curvature_midbody_w_backward_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_50th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_90th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,d_path_curvature_midbody_w_paused_IQR_medianDiff_all,d_path_curvature_tail_IQR_medianDiff_all,d_path_curvature_tail_abs_10th_medianDiff_all,d_path_curvature_tail_abs_50th_medianDiff_all,d_path_curvature_tail_norm_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_10th_medianDiff_all,d_path_curvature_tail_w_backward_90th_medianDiff_all,d_path_curvature_tail_w_backward_IQR_medianDiff_all,d_path_curvature_tail_w_backward_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_abs_50th_medianDiff_all,d_path_curvature_tail_w_backward_abs_90th_medianDiff_all,d_path_curvature_tail_w_backward_abs_IQR_medianDiff_all,d_path_curvature_tail_w_forward_abs_10th_medianDiff_all,path_curvature_body_10th_medianDiff_all,path_curvature_body_50th_medianDiff_all,path_curvature_body_abs_50th_medianDiff_all,path_curvature_body_abs_90th_medianDiff_all,path_curvature_body_w_backward_10th_medianDiff_all,path_curvature_body_w_backward_90th_medianDiff_all,path_curvature_body_w_backward_IQR_medianDiff_all,path_curvature_body_w_backward_abs_50th_medianDiff_all,path_curvature_body_w_backward_abs_90th_medianDiff_all,path_curvature_body_w_backward_abs_IQR_medianDiff_all,path_curvature_body_w_paused_50th_medianDiff_all,path_curvature_body_w_paused_abs_50th_medianDiff_all,path_curvature_head_10th_medianDiff_all,path_curvature_head_50th_medianDiff_all,path_curvature_head_abs_90th_medianDiff_all,path_curvature_head_w_backward_10th_medianDiff_all,path_curvature_head_w_backward_90th_medianDiff_all,path_curvature_head_w_backward_IQR_medianDiff_all,path_curvature_head_w_backward_abs_10th_medianDiff_all,path_curvature_head_w_backward_abs_50th_medianDiff_all,path_curvature_head_w_backward_abs_90th_medianDiff_all,path_curvature_head_w_backward_abs_IQR_medianDiff_all,path_curvature_head_w_paused_50th_medianDiff_all,path_curvature_head_w_paused_abs_50th_medianDiff_all,path_curvature_midbody_10th_medianDiff_all,path_curvature_midbody_50th_medianDiff_all,path_curvature_midbody_abs_50th_medianDiff_all,path_curvature_midbody_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_10th_medianDiff_all,path_curvature_midbody_w_backward_90th_medianDiff_all,path_curvature_midbody_w_backward_IQR_medianDiff_all,path_curvature_midbody_w_backward_abs_50th_medianDiff_all,path_curvature_midbody_w_backward_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,path_curvature_midbody_w_paused_50th_medianDiff_all,path_curvature_midbody_w_paused_abs_50th_medianDiff_all,path_curvature_tail_10th_medianDiff_all,path_curvature_tail_50th_medianDiff_all,path_curvature_tail_abs_50th_medianDiff_all,path_curvature_tail_abs_90th_medianDiff_all,path_curvature_tail_w_backward_10th_medianDiff_all,path_curvature_tail_w_backward_90th_medianDiff_all,path_curvature_tail_w_backward_IQR_medianDiff_all,path_curvature_tail_w_backward_abs_50th_medianDiff_all,path_curvature_tail_w_backward_abs_90th_medianDiff_all,path_curvature_tail_w_backward_abs_IQR_medianDiff_all,path_curvature_tail_w_paused_10th_medianDiff_all,path_curvature_tail_w_paused_50th_medianDiff_all,path_curvature_tail_w_paused_abs_50th_medianDiff_all,path_curvature_tail_w_paused_abs_90th_medianDiff_all
AB1,-4.6169e-05,-0.00070509,-0.0001098,-0.00035286,-0.026732,0.096221,-0.15086,-0.0044576,-5.5248e-05,-0.0023,-0.43433,-0.050332,-8.3148e-06,-0.0030405,-0.00092105,-0.0015148,0.00023545,-0.22088,0.014119,-0.0071545,-0.0010169,7.4196e-05,-0.00051481,-0.024538,-0.0033909,-9.0936e-05,0.096879,-0.0018703,-0.00021795,-0.0009333,-0.02916,0.17084,-0.18647,-0.0032505,-6.52e-06,-0.0015475,-0.54703,-0.050202,-0.0038946,-0.00239,-0.00047499,-0.0011954,-0.11315,0.18291,-0.10073,-0.0051847,1.7024e-05,-0.0027537,-0.82747,-0.050736,-3.6943e-05,-9.223372036854776e+18,-0.00029027,0.00020395,9.223372036854776e+18,0.015639,-0.030229,-0.00084965,-0.00016135,-0.075279,-0.005396,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0017035,9.223372036854776e+18,0.00050683,-0.00042818,0.00030742,0.00015435,0.000199,0.00082781,-0.00027702,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00060178,0.00020268,9.223372036854776e+18,0.0061664,-0.019342,-0.0005688,-0.00022508,-0.17153,-0.0053562,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00094806,0.00054531,9.223372036854776e+18,0.012248,-0.010524,0.00087311,0.00045788,-0.13292,-0.0033377,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
BRC20067,-3.8345e-06,-0.00048955,-0.00010831,-0.00024439,-0.026945,0.34831,-0.35399,-0.010551,-0.00017802,-0.0052701,-1.0085,-0.1597,-3.3376e-05,-0.0033892,-0.00092776,-0.0016929,0.0013471,-0.3579,0.013255,-0.022396,-0.0042336,-0.00039154,-0.0021232,-0.060291,-0.0094209,-0.00041384,0.025233,-0.0011825,-0.00022592,-0.00059273,-0.074463,0.39863,-0.50838,-0.010853,-0.00031607,-0.0053879,-1.3731,-0.1771,-0.0010312,-0.001828,-0.00043484,-0.00091362,-0.17458,0.44816,-0.44953,-0.01154,-0.00039643,-0.0056542,-1.6229,-0.20215,-0.00015884,-9.223372036854776e+18,-0.00011856,0.00024915,9.223372036854776e+18,0.077425,-0.021349,-0.0022084,-0.0010615,-0.22254,-0.016607,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00074364,9.223372036854776e+18,0.0059057,-0.0024626,-0.001602,-0.00012278,-0.00081087,-0.0079341,-0.0025952,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00036273,0.00035181,9.223372036854776e+18,0.037345,-0.03369,-0.0022367,-0.0011368,-0.29091,-0.015899,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00057055,0.00063104,9.223372036854776e+18,0.040619,-0.044452,-0.002045,-0.0010137,-0.29643,-0.019494,0,-9.223372036854776e+18,9.223372036854776e+18,0
CB4852,-6.6264e-05,-0.00031844,-2.7308e-05,-0.00015968,0.018262,0.22068,-0.21826,-0.0057826,-0.00013118,-0.0028743,-0.81325,-0.084421,-1.6294e-05,-0.0010574,-0.00013949,-0.00052976,-0.0035084,0.17106,0.045766,-0.042914,-0.00772,-0.00057609,-0.0038607,-0.15648,-0.024011,-1.6296e-05,0.016826,-0.00072911,-4.5645e-05,-0.00036495,0.056567,0.25079,-0.24811,-0.0069616,-0.00022289,-0.0034796,-1.1504,-0.092173,-0.0014775,-0.00075577,-8.729e-05,-0.00037542,0.12756,0.32789,-0.21943,-0.0077715,-0.00028271,-0.0038674,-0.82615,-0.12051,3.5602e-05,-9.223372036854776e+18,-0.00010922,-0.00017532,9.223372036854776e+18,0.044605,-0.00886,-0.0015187,-0.00052047,-0.17742,-0.01182,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0009684,9.223372036854776e+18,0.0075752,-0.0076135,-0.002539,-0.00029465,-0.001351,-0.021651,-0.00445,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00032802,0.00012408,9.223372036854776e+18,0.037023,-0.016563,-0.0012303,-0.00057893,-0.18807,-0.01098,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00052997,-0.00027437,9.223372036854776e+18,0.04215,-0.041594,-0.0044902,-0.0022215,-0.24295,-0.020054,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
CB4854,-5.4863e-05,-0.00061857,-0.00012356,-0.00030997,-0.036742,0.51044,-0.49202,-0.0062861,-0.00010943,-0.0031292,-2.1598,-0.21283,-1.6538e-05,-0.0037134,-0.0011177,-0.0018559,0.0023002,-0.29713,0.032987,-0.030597,-0.0043637,-0.00061276,-0.0021777,-0.19003,-0.01743,-0.00028741,0.0086317,-0.0017612,-0.0003413,-0.00088095,-0.09841,0.70744,-0.65534,-0.0082038,-0.00018871,-0.0040667,-2.5843,-0.27577,-0.0012398,-0.0028983,-0.00066014,-0.0014487,-0.22476,0.67888,-0.78235,-0.013718,-0.00041125,-0.0067538,-2.3676,-0.32005,-0.00010837,-9.223372036854776e+18,-0.00024906,0.00018655,9.223372036854776e+18,0.019019,-0.028495,-0.0012822,-0.00063781,-0.27405,-0.0083267,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011628,9.223372036854776e+18,0.0031299,-0.0057848,-0.0010472,-0.00016506,-0.00046987,-0.01564,-0.0026648,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00045791,0.00038546,9.223372036854776e+18,0.022068,-0.031184,-0.0013027,-0.00068308,-0.34264,-0.0095316,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00085425,0.00056722,9.223372036854776e+18,0.039629,-0.040814,-0.0020107,-0.0010039,-0.43951,-0.021055,0,-9.223372036854776e+18,9.223372036854776e+18,0
CB4856,-5.1425e-05,-0.0002448,-0.00011703,-0.00012225,-0.028281,0.54019,-0.47752,-0.0055851,-0.00013468,-0.002723,-2.0516,-0.15952,-2.2605e-05,-0.001956,-0.00152,-0.00097811,0.001829,-0.54802,0.019835,-0.023829,-0.0047669,-0.00061275,-0.0023944,-0.10385,-0.0094019,-0.00041865,0.016099,-0.00093894,-0.00047342,-0.00046968,-0.14457,0.52281,-0.54177,-0.0061451,-0.00036781,-0.0030036,-2.4555,-0.1593,-0.00046931,-0.0016924,-0.00083953,-0.00084464,-0.27596,0.70091,-0.60533,-0.0087372,-0.00061266,-0.0043567,-2.1269,-0.20391,-0.00020237,-1.213,-9.7409e-05,0.0001172,3.8276,0.022701,-0.023426,-0.00093821,-0.00043443,-0.34081,-0.0097343,-9.223372036854776e+18,9.223372036854776e+18,-0.14334,-0.00054327,0.53608,0.0037526,-0.0034866,-0.00084381,-0.00011063,-0.0004224,-0.012023,-0.0021608,-9.223372036854776e+18,9.223372036854776e+18,-1.4301,-0.00029571,0.00028835,4.0191,0.019697,-0.018171,-0.00083002,-0.00039729,-0.31995,-0.0089091,-9.223372036854776e+18,9.223372036854776e+18,-0.93977,-0.0004445,0.00028021,2.7731,0.023728,-0.027723,-0.0014578,-0.00072157,-0.41031,-0.010604,0,-9.223372036854776e+18,9.223372036854776e+18,0
CB4932,-2.6252e-05,-0.00060363,-9.7561e-05,-0.000302,-0.030451,0.28058,-0.26765,-0.0040764,-0.00014724,-0.0020485,-1.608,-0.079651,-1.6015e-05,-0.0041055,-0.00095272,-0.0020525,0.00098584,-0.33393,0.040899,-0.036276,-0.0060496,-0.00044249,-0.0030441,-0.12246,-0.023428,-0.0003204,0.023446,-0.0015725,-0.00022643,-0.00078567,-0.063774,0.33423,-0.30485,-0.0041827,-0.00018458,-0.002093,-1.9436,-0.094785,-0.00046726,-0.0033298,-0.00046972,-0.001663,-0.10606,0.38062,-0.4606,-0.0068884,-0.00033663,-0.0033442,-1.549,-0.13736,-0.00011476,-9.223372036854776e+18,-0.00032267,0.00051056,9.223372036854776e+18,0.015473,-0.013337,-0.0015431,-0.00072055,-0.23633,-0.0071165,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0015672,9.223372036854776e+18,0.0086244,-0.0086956,-0.0014378,-0.0001638,-0.00070266,-0.024329,-0.0050938,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00067205,0.00090041,9.223372036854776e+18,0.031599,-0.019767,-0.0013305,-0.00065182,-0.25156,-0.0091015,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011446,0.0011817,9.223372036854776e+18,0.020003,-0.029623,-0.0020916,-0.00105,-0.33344,-0.011472,0,-9.223372036854776e+18,9.223372036854776e+18,0
CX11254,-8.0758e-05,-0.00011112,-0.00011749,-5.5423e-05,-0.02095,0.14383,-0.086855,-0.0033274,-0.00011048,-0.0015602,-0.26007,-0.045648,-7.093e-06,-0.00079077,-0.00085647,-0.00039284,-0.00024821,-0.085257,0.013417,-0.010095,-0.0019304,-0.00025884,-0.00098114,-0.051703,-0.0071432,-6.2095e-05,0.045911,-0.00087311,-0.00031957,-0.00043695,-0.062937,0.12678,-0.083934,-0.0061648,-0.00025217,-0.0030694,-0.98735,-0.037742,-0.0031574,-0.00042416,-0.00056514,-0.00021512,-0.075844,0.26098,-0.19922,-0.009439,-0.00022383,-0.0047087,-0.89557,-0.097445,-8.7644e-05,-0.023574,-2.6563e-05,-7.8672e-05,0.32586,0.0194,-0.0064598,-0.00060989,-0.000263,-0.16773,-0.0052846,-9.223372036854776e+18,9.223372036854776e+18,-0.014223,-0.0003104,0.055247,0.0037411,-0.0038558,-0.00062339,-0.00017965,-0.000337,-0.010274,-0.0025571,-9.223372036854776e+18,9.223372036854776e+18,-0.024536,-0.00016234,9.9255e-05,0.36693,0.011878,-0.012305,-0.00095648,-0.00042503,-0.20866,-0.0089189,-9.223372036854776e+18,9.223372036854776e+18,-0.0317,-0.00031595,0.0002416,0.35597,0.021444,-0.017068,-0.0019817,-0.00097446,-0.24521,-0.0095322,0,-9.223372036854776e+18,9.223372036854776e+18,0
CX11262,7.633e-05,-0.00022688,-4.0869e-05,-0.00011338,-0.025441,0.054963,-0.075475,-0.0025495,-0.00014494,-0.0011347,-0.23642,-0.023079,-2.1392e-05,-0.0017065,-0.00046172,-0.00085538,0.00024807,-0.25556,0.0060279,-0.0030593,-0.0051873,-0.00061794,-0.0023056,-0.02424,-0.0010035,-0.00044876,0.0050701,-0.00086344,-0.00019762,-0.00043194,-0.076686,0.090545,-0.014268,-0.0078573,-0.00055814,-0.0039765,-0.23702,-0.028987,-0.00088424,-0.0016146,-0.00027225,-0.00080829,-0.1283,0.093526,-0.17125,-0.010191,-0.00041154,-0.0052695,-0.64609,-0.033535,-0.00021055,-0.0018961,-8.7185e-05,5.7945e-05,0.010701,0.0032583,-0.026536,-0.0008888,-0.00040412,-0.063892,-0.0048481,-4.611686018427388e+18,4.611686018427388e+18,-0.0024039,-0.00028982,0.0089307,-0.0023722,-0.0011763,-7.4394e-06,-7.0507e-05,-2.6859e-06,0.0026737,4.386e-05,-4.611686018427388e+18,4.611686018427388e+18,-0.0022233,0.00014887,0.00014541,0.009455,0.010605,-0.0011629,-0.0014429,-0.00072808,-0.046696,-0.0050646,-4.611686018427388e+18,4.611686018427388e+18,-0.0024457,-0.00013843,0.00010879,0.013245,0.019707,-0.012396,-0.000499,-0.00031639,-0.11835,-0.005212,-4.611686018427388e+18,-4.611686018427388e+18,4.611686018427388e+18,4.611686018427388e+18
CX11264,-6.6029e-06,-0.0003415,-0.00012865,-0.00017131,-0.013658,0.052832,-0.036057,-0.0023121,-0.00010052,-0.0011529,-0.5869,-0.014697,-1.9166e-05,-0.0028911,-0.00095925,-0.0014462,0.00075915,-0.11904,0.0076712,-0.01558,-0.0032386,-0.00044444,-0.0016667,-0.029586,-0.0059556,-0.00051511,0.041247,-0.0010296,-0.00030415,-0.00051693,-0.054965,0.044476,-0.067965,-0.003945,-0.00017096,-0.0020137,-0.60338,-0.015465,-0.0017954,-0.0021609,-0.00044752,-0.0010815,-0.052812,0.087734,-0.077298,-0.0064808,-0.00031838,-0.0033682,-0.51968,-0.038002,-0.00017103,-9.223372036854776e+18,-0.0001206,0.00010424,9.223372036854776e+18,-1.814e-05,0.0023003,-0.0019476,-0.00061832,-0.03618,-0.0039436,-9.223372036854776e+18,9.223372036854776e+18,-4.0283,-0.00066672,9.6472,0.0011788,-0.0010893,-0.00021275,-5.825e-05,-0.00018044,-0.008103,-0.0019729,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00019518,0.00014632,9.223372036854776e+18,0.0024732,-0.0023077,-0.0012292,-0.00060086,-0.053526,-0.0034497,-9.223372036854776e+18,9.223372036854776e+18,-61.9245,-0.00046145,0.00032385,133.0068,0.0067337,0.0024069,-0.00062765,-0.00035768,-0.050765,-0.0028577,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
CX11271,-9.2855e-05,-0.00032342,-9.9472e-05,-0.00016229,-0.042228,0.59042,-0.45147,-0.0062534,-0.00012636,-0.003061,-2.6511,-0.15041,-2.2935e-05,-0.0023592,-0.00098355,-0.0011772,0.0014675,-0.38346,0.041586,-0.048195,-0.0072379,-0.00041531,-0.0035367,-0.21901,-0.025535,-9.5185e-05,0.0078243,-0.001334,-0.00032117,-0.00066859,-0.15508,0.58224,-0.48845,-0.0085881,-0.00021485,-0.0042928,-3.2941,-0.16681,-0.00094153,-0.0019478,-0.00053795,-0.00097459,-0.23071,0.56284,-0.63667,-0.012562,-0.00034038,-0.0062009,-3.4051,-0.18492,-0.00013091,-0.23023,-0.00012033,0.000139,1.1282,0.027239,-0.040679,-0.00048511,-0.00022563,-0.37441,-0.0077715,-9.223372036854776e+18,9.223372036854776e+18,-0.078307,-0.00039546,0.33999,0.0074976,-0.0083731,-0.0020809,-0.00017056,-0.001048,-0.02033,-0.0050679,-9.223372036854776e+18,9.223372036854776e+18,-0.31847,-0.0002012,0.00012501,1.3548,0.016612,-0.044064,-0.00088821,-0.0004376,-0.37882,-0.0080185,-9.223372036854776e+18,9.223372036854776e+18,-0.29335,-0.00027101,0.00028052,1.0639,0.053339,-0.054655,-0.0010572,-0.00053144,-0.47987,-0.018338,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
