strain	median
AB1	-0.00070509
BRC20067	-0.00048955
CB4852	-0.00031844
CB4854	-0.00061857
CB4856	-0.0002448
CB4932	-0.00060363
CX11254	-0.00011112
CX11262	-0.00022688
CX11264	-0.0003415
CX11271	-0.00032342
CX11276	-0.00039094
CX11285	-0.00023021
CX11292	-0.00038709
CX11307	-0.0002276
CX11314	-0.00034594
CX11315	-0.00026699
DL200	-0.00037708
DL226	-0.00035635
DL238	-0.00050349
ECA246	-0.0003379
ECA248	-0.001037
ECA250	-0.0003224
ECA251	-0.0006228
ECA252	-0.00092049
ECA259	-0.00028703
ECA348	-0.00040709
ECA349	-0.00040116
ECA36	-0.00012026
ECA363	-0.00024034
ECA372	-0.00046684
ECA396	-0.00030176
ED3005	-0.0010218
ED3011	-0.00028478
ED3012	-0.00031903
ED3017	-0.00032374
ED3040	-0.00072353
ED3046	-0.00076523
ED3048	-0.00048322
ED3049	-0.00010284
ED3052	-0.00047244
ED3073	-0.00041618
ED3077	-0.00054449
EG4347	-0.00051699
EG4349	-0.00069579
EG4724	-0.0006156
EG4725	-0.0004655
EG4946	-0.00048398
GXW1	-0.00067158
JT11398	-0.00062933
JU1088	-0.00054398
JU1172	-0.00020299
JU1200	-0.00036613
JU1212	-0.0001774
JU1213	-0.00045767
JU1242	-0.00053219
JU1246	-0.00060055
JU1395	-0.0006385
JU1400	-0.00029491
JU1409	-0.0004435
JU1440	-0.00045484
JU1491	-0.00044461
JU1530	-0.00031809
JU1543	-0.00056517
JU1568	-0.00062195
JU1580	-0.00024829
JU1581	-0.00028405
JU1586	-0.00032025
JU1652	-0.00033278
JU1793	-0.00033164
JU1808	-0.00075967
JU1896	-0.0003252
JU2001	-0.00032698
JU2007	-0.00053427
JU2131	-0.00049192
JU2141	-0.00027703
JU2234	-0.00026594
JU2464	-0.00083158
JU2466	-0.00039961
JU2513	-0.00058183
JU2519	-0.00066661
JU2522	-0.00020147
JU2526	-0.00034105
JU2534	-0.00038498
JU2565	-0.00042745
JU2566	-0.00014384
JU2578	-0.00083785
JU258	-0.00020434
JU2587	-0.00047271
JU2593	-0.00038754
JU2600	-0.00052462
JU2800	-0.00039896
JU2862	-0.00031723
JU2866	-0.00016206
JU2878	-0.0004679
JU2879	-0.00014914
JU2906	-2.559e-05
JU310	-0.00054396
JU311	-0.00059533
JU3125	-0.00038637
JU3127	-0.00035734
JU3134	-0.00023918
JU3135	-0.00050505
JU3137	-0.00020419
JU3140	-0.00055037
JU323	-0.00052213
JU346	-0.00021199
JU360	-0.0003877
JU367	-0.00012692
JU393	-0.00063316
JU394	-0.00063889
JU397	-0.00024863
JU406	-0.00051793
JU440	-2.8213e-05
JU561	-0.00064865
JU642	-0.00026384
JU751	-0.00062459
JU774	-0.00015153
JU775	-0.00063098
JU778	-0.0005332
JU782	-0.00066895
JU792	-0.00033766
JU830	-0.00091929
JU847	-0.00015942
KR314	-0.00028475
LKC34	-0.00056807
LSJ1	-0.00018265
MY1	-0.00055441
MY10	9.1339e-05
MY16	-0.00054107
MY18	-0.00017957
MY2212	-0.00033099
MY23	-0.00027431
MY2453	-0.00081776
MY2530	-0.0005605
MY2535	-0.00033909
MY2573	-0.00028284
MY2693	-0.00017073
MY2741	-0.00045841
MY679	-0.00036297
MY920	-0.00013193
N2	-0.0010793
NIC1	-0.00064525
NIC1107	-9.0694e-05
NIC166	-0.00055561
NIC195	-0.00040985
NIC199	-0.00036538
NIC2	-0.00053175
NIC207	-0.00019356
NIC231	-0.00059357
NIC236	-0.00047915
NIC242	-0.00052897
NIC251	-0.00056275
NIC252	-0.00051793
NIC255	-0.00025115
NIC256	-0.00041476
NIC258	-8.8172e-05
NIC259	-0.00043345
NIC260	-0.0003811
NIC261	-0.00035652
NIC262	-0.00018803
NIC265	-0.000622
NIC266	-0.00034828
NIC267	-0.00070677
NIC268	-0.00032595
NIC269	-0.00015837
NIC271	-0.00050457
NIC272	-0.0005117
NIC274	-0.00037895
NIC275	-0.00039532
NIC276	-0.00051795
NIC277	-0.00042677
NIC3	-0.00040042
NIC513	-0.00020121
NIC514	-0.00030611
NIC522	-0.00067306
NIC523	-0.00047737
PB303	-0.00038313
PS2025	-0.0001042
PX179	-0.00025624
QG2075	-0.00032728
QG536	-0.00056597
QG556	-0.0001685
QG557	-3.5462e-05
QW947	-0.00038608
QX1212	-0.00037057
QX1233	-0.00030218
QX1791	-0.00021053
QX1792	-0.00037844
QX1793	-0.00037453
QX1794	-0.00046309
RC301	-0.00048576
WN2001	-0.00043823
WN2002	-0.00037153
WN2033	-0.00030013
XZ1513	2.5901e-05
XZ1514	-0.00029579
XZ1516	-0.00019157
