strain	median
AB1	-0.0001098
BRC20067	-0.00010831
CB4852	-2.7308e-05
CB4854	-0.00012356
CB4856	-0.00011703
CB4932	-9.7561e-05
CX11254	-0.00011749
CX11262	-4.0869e-05
CX11264	-0.00012865
CX11271	-9.9472e-05
CX11276	-0.00010185
CX11285	-9.7967e-05
CX11292	-8.0901e-05
CX11307	-8.0473e-05
CX11314	-0.00010564
CX11315	-0.000121
DL200	-0.0001305
DL226	-0.00011042
DL238	-8.2144e-05
ECA246	-9.3355e-05
ECA248	-0.00011516
ECA250	-0.00011458
ECA251	-0.00010975
ECA252	-0.00014742
ECA259	-0.00010944
ECA348	-0.00010996
ECA349	-0.00010944
ECA36	-8.3652e-05
ECA363	-0.00010601
ECA372	-9.9901e-05
ECA396	-0.00010689
ED3005	-9.0281e-05
ED3011	-0.00010967
ED3012	-0.0001244
ED3017	-8.0094e-05
ED3040	-0.00011876
ED3046	-5.2665e-05
ED3048	-9.7806e-05
ED3049	-1.1824e-16
ED3052	-0.00013751
ED3073	-8.5326e-05
ED3077	-0.00012722
EG4347	-0.00010465
EG4349	-9.4555e-05
EG4724	-7.2269e-05
EG4725	-0.00010852
EG4946	-0.0001062
GXW1	-0.00013336
JT11398	-8.6408e-05
JU1088	-0.00012551
JU1172	-6.9247e-05
JU1200	-9.4141e-05
JU1212	-5.8774e-05
JU1213	-0.00011958
JU1242	-0.00012068
JU1246	-0.00011638
JU1395	-9.9882e-05
JU1400	-8.2739e-05
JU1409	-8.4533e-05
JU1440	-0.00011081
JU1491	-0.00011245
JU1530	-9.7054e-05
JU1543	-0.00014973
JU1568	0
JU1580	-8.3864e-05
JU1581	-0.00010688
JU1586	-8.478e-05
JU1652	-0.00014019
JU1793	-9.5821e-05
JU1808	-0.00014229
JU1896	-9.7091e-05
JU2001	-5.5272e-05
JU2007	-0.00010298
JU2131	-7.784e-05
JU2141	-0.00010937
JU2234	-0.0001302
JU2464	-0.00011681
JU2466	-0.00010685
JU2513	-0.00011281
JU2519	-0.000109
JU2522	-8.9453e-05
JU2526	-0.0001145
JU2534	-0.00012394
JU2565	-9.8676e-05
JU2566	-0.00012022
JU2578	-8.6739e-05
JU258	-0.00011545
JU2587	-2.411e-05
JU2593	-9.2128e-05
JU2600	-0.00012653
JU2800	-9.9207e-05
JU2862	-0.0001251
JU2866	-0.00010681
JU2878	-0.0001094
JU2879	-9.6831e-05
JU2906	-2.7131e-05
JU310	-8.24e-05
JU311	-7.8294e-05
JU3125	-0.00012913
JU3127	-8.6153e-05
JU3134	-7.7453e-05
JU3135	-0.00012921
JU3137	-6.6423e-05
JU3140	-0.00010972
JU323	-0.00012325
JU346	-5.5741e-05
JU360	-0.00013352
JU367	-6.6035e-05
JU393	-4.7474e-05
JU394	-4.3997e-05
JU397	-0.00013743
JU406	-9.4325e-05
JU440	-5.3177e-05
JU561	-0.00012122
JU642	-0.00010454
JU751	-0.00013722
JU774	-7.334e-05
JU775	-0.00011502
JU778	-0.00010986
JU782	-0.00010801
JU792	-0.00013292
JU830	-3.1466e-05
JU847	-0.00011856
KR314	-7.1634e-05
LKC34	-0.00010902
LSJ1	-8.763e-05
MY1	-0.00011321
MY10	-1.985e-05
MY16	-0.00012706
MY18	-0.00012427
MY2212	-0.00011829
MY23	-0.00015886
MY2453	-0.00012971
MY2530	-0.00011072
MY2535	-5.5957e-05
MY2573	-0.00011132
MY2693	-0.00011797
MY2741	-6.8915e-05
MY679	-9.6728e-05
MY920	-5.5423e-05
N2	-0.00011358
NIC1	-8.5015e-05
NIC1107	0
NIC166	-0.00011855
NIC195	-0.00013648
NIC199	-0.00012249
NIC2	-7.8706e-05
NIC207	-0.00010939
NIC231	-4.732e-05
NIC236	-9.1062e-05
NIC242	-0.00011133
NIC251	-8.6785e-05
NIC252	-6.6137e-05
NIC255	-9.186e-05
NIC256	-8.9695e-05
NIC258	-7.0691e-05
NIC259	-0.00012529
NIC260	-6.4669e-05
NIC261	-6.3197e-05
NIC262	-7.6641e-05
NIC265	-7.3596e-05
NIC266	-8.9186e-05
NIC267	-0.0001069
NIC268	-0.00012934
NIC269	-7.067e-05
NIC271	-8.5611e-05
NIC272	-0.00012211
NIC274	-0.00011619
NIC275	-9.8833e-05
NIC276	-0.00011224
NIC277	-0.00012475
NIC3	-0.00011109
NIC513	-0.0001083
NIC514	-0.00013572
NIC522	-0.00010571
NIC523	-0.00012008
PB303	-0.00011873
PS2025	-6.3896e-05
PX179	-0.00013003
QG2075	-1.3386e-05
QG536	-0.00012692
QG556	-9.0254e-05
QG557	-5.8041e-05
QW947	-4.0048e-05
QX1212	-8.672e-05
QX1233	-0.00011844
QX1791	-7.4425e-05
QX1792	-0.0001034
QX1793	-0.00012206
QX1794	-0.00011891
RC301	-0.00010647
WN2001	-0.00010334
WN2002	-0.00011599
WN2033	-5.1637e-05
XZ1513	-0.00011455
XZ1514	-0.00013005
XZ1516	-9.0911e-05
