strain	median
AB1	0.096221
BRC20067	0.34831
CB4852	0.22068
CB4854	0.51044
CB4856	0.54019
CB4932	0.28058
CX11254	0.14383
CX11262	0.054963
CX11264	0.052832
CX11271	0.59042
CX11276	0.084905
CX11285	0.28162
CX11292	0.85408
CX11307	0.33317
CX11314	0.21734
CX11315	0.19172
DL200	0.15143
DL226	0.27174
DL238	0.17007
ECA246	0.095039
ECA248	0.79977
ECA250	0.40174
ECA251	0.57772
ECA252	0.059876
ECA259	0.29358
ECA348	-0.016432
ECA349	0.22312
ECA36	0.84639
ECA363	0.17536
ECA372	0.22993
ECA396	0.26961
ED3005	0.20911
ED3011	0.5024
ED3012	0.36095
ED3017	0.39103
ED3040	0.68217
ED3046	0.14401
ED3048	0.63149
ED3049	0.32618
ED3052	0.60222
ED3073	0.074626
ED3077	0.46558
EG4347	0.32951
EG4349	0.18413
EG4724	0.29983
EG4725	0.16937
EG4946	0.53163
GXW1	0.6254
JT11398	0.28357
JU1088	0.29257
JU1172	0.5286
JU1200	0.31247
JU1212	0.49581
JU1213	0.62129
JU1242	0.60945
JU1246	1.5719
JU1395	0.67699
JU1400	0.08287
JU1409	0.45869
JU1440	0.24165
JU1491	0.18581
JU1530	0.1358
JU1543	0.067677
JU1568	0.032444
JU1580	0.24402
JU1581	0.42735
JU1586	0.42418
JU1652	0.14396
JU1793	0.15239
JU1808	0.16576
JU1896	0.5617
JU2001	0.24702
JU2007	0.22051
JU2131	0.29071
JU2141	0.036865
JU2234	0.049319
JU2464	0.2669
JU2466	0.13914
JU2513	0.61148
JU2519	0.26226
JU2522	0.24401
JU2526	0.52673
JU2534	0.088807
JU2565	0.13995
JU2566	0.16203
JU2578	1.0712
JU258	0.32769
JU2587	0.33143
JU2593	0.39085
JU2600	0.028597
JU2800	0.77082
JU2862	0.66922
JU2866	0.088686
JU2878	1.5803
JU2879	0.20014
JU2906	0.096628
JU310	0.35628
JU311	0.11252
JU3125	0.24973
JU3127	0.31906
JU3134	0.52322
JU3135	0.5329
JU3137	0.26735
JU3140	0.16449
JU323	0.26477
JU346	0.19281
JU360	0.29289
JU367	0.17615
JU393	0.18905
JU394	0.77075
JU397	0.1226
JU406	0.32227
JU440	0.37823
JU561	0.4222
JU642	0.33037
JU751	-0.0033858
JU774	0.5187
JU775	0.20605
JU778	0.51628
JU782	0.16812
JU792	0.089127
JU830	0.079927
JU847	0.19885
KR314	0.055974
LKC34	0.57467
LSJ1	0.066708
MY1	0.35367
MY10	0.32017
MY16	0.25849
MY18	0.70681
MY2212	0.57161
MY23	0.52124
MY2453	0.049828
MY2530	0.60266
MY2535	0.20624
MY2573	0.26193
MY2693	0.29156
MY2741	0.48719
MY679	0.44445
MY920	0.4974
N2	0.012885
NIC1	0.49187
NIC1107	0.30624
NIC166	0.41758
NIC195	0.97588
NIC199	0.41106
NIC2	0.56684
NIC207	0.39609
NIC231	0.96999
NIC236	0.54158
NIC242	0.22516
NIC251	0.27285
NIC252	0.12735
NIC255	0.19825
NIC256	0.3741
NIC258	0.20287
NIC259	0.45715
NIC260	0.27652
NIC261	0.47996
NIC262	0.33665
NIC265	0.46443
NIC266	0.23849
NIC267	1.0109
NIC268	0.7723
NIC269	0.13945
NIC271	0.21638
NIC272	0.58919
NIC274	0.17531
NIC275	0.21466
NIC276	0.84476
NIC277	0.73264
NIC3	0.1617
NIC513	0.78908
NIC514	0.55112
NIC522	0.37046
NIC523	0.29289
PB303	0.18737
PS2025	0.4404
PX179	0.42463
QG2075	0.28517
QG536	0.84868
QG556	0.26263
QG557	0.41583
QW947	0.79756
QX1212	0.12234
QX1233	0.26609
QX1791	0.24032
QX1792	0.49651
QX1793	0.16349
QX1794	0.38369
RC301	0.62265
WN2001	0.355
WN2002	0.2654
WN2033	0.43709
XZ1513	0.22171
XZ1514	0.00050116
XZ1516	0.0097072
