strain	median
AB1	-0.0023
BRC20067	-0.0052701
CB4852	-0.0028743
CB4854	-0.0031292
CB4856	-0.002723
CB4932	-0.0020485
CX11254	-0.0015602
CX11262	-0.0011347
CX11264	-0.0011529
CX11271	-0.003061
CX11276	-0.00070396
CX11285	-0.0018735
CX11292	-0.0030812
CX11307	-0.0032771
CX11314	-0.0020329
CX11315	-0.00237
DL200	-0.0017223
DL226	-0.0015838
DL238	-0.0029387
ECA246	-0.0013715
ECA248	-0.0055754
ECA250	-0.0010414
ECA251	-0.0033276
ECA252	-0.00080876
ECA259	-0.0039615
ECA348	-0.00047873
ECA349	-0.0022669
ECA36	-0.0063442
ECA363	-0.001842
ECA372	-0.0039515
ECA396	-0.0031352
ED3005	-0.001859
ED3011	-0.0045173
ED3012	-0.0018819
ED3017	-0.0028054
ED3040	-0.0041369
ED3046	-0.0012583
ED3048	-0.0042677
ED3049	-0.0021897
ED3052	-0.0035402
ED3073	-0.0015869
ED3077	-0.0039824
EG4347	-0.0014816
EG4349	-0.0018473
EG4724	-0.0026073
EG4725	-0.0017033
EG4946	-0.002929
GXW1	-0.0029525
JT11398	-0.0020092
JU1088	-0.0022228
JU1172	-0.0034017
JU1200	-0.0020691
JU1212	-0.0035879
JU1213	-0.0025377
JU1242	-0.003172
JU1246	-0.002773
JU1395	-0.0041675
JU1400	-0.0016639
JU1409	-0.0026815
JU1440	-0.0025406
JU1491	-0.0020097
JU1530	-0.0017224
JU1543	-0.0021184
JU1568	-5.3963e-05
JU1580	-0.0017166
JU1581	-0.0041451
JU1586	-0.0024337
JU1652	-0.0024255
JU1793	-0.0031951
JU1808	-0.0031786
JU1896	-0.0031659
JU2001	-0.002422
JU2007	-0.0034573
JU2131	-0.0014265
JU2141	-0.0018368
JU2234	-0.0011418
JU2464	-0.0027573
JU2466	-0.0019818
JU2513	-0.003758
JU2519	-0.0019354
JU2522	-0.0012105
JU2526	-0.0021565
JU2534	-0.0016884
JU2565	-0.0017166
JU2566	-0.0014348
JU2578	-0.0072647
JU258	-0.003103
JU2587	-0.0025825
JU2593	-0.0027884
JU2600	-0.00077704
JU2800	-0.0039706
JU2862	-0.0034355
JU2866	-0.0029421
JU2878	-0.013235
JU2879	-0.0019915
JU2906	0.00032824
JU310	-0.0011471
JU311	-0.0020274
JU3125	-0.003019
JU3127	-0.0025106
JU3134	-0.0032082
JU3135	-0.0030649
JU3137	-0.0016919
JU3140	-0.0021163
JU323	-0.0016192
JU346	-0.002122
JU360	-0.0029605
JU367	-0.0027197
JU393	-0.0034348
JU394	-0.0027338
JU397	-0.0015549
JU406	-0.0025878
JU440	-0.0023372
JU561	-0.0022087
JU642	-0.0020775
JU751	-0.0012538
JU774	-0.0048195
JU775	-0.0016628
JU778	-0.0026075
JU782	-0.0016607
JU792	-0.0031148
JU830	-0.00083838
JU847	-0.0023917
KR314	-0.0021645
LKC34	-0.0031194
LSJ1	-0.0011543
MY1	-0.0016691
MY10	-0.0021592
MY16	-0.00098103
MY18	-0.002911
MY2212	-0.002678
MY23	-0.0023429
MY2453	-0.0025393
MY2530	-0.003642
MY2535	-0.0022555
MY2573	-0.00125
MY2693	-0.0022595
MY2741	-0.0030563
MY679	-0.0024379
MY920	-0.0030904
N2	-0.00025183
NIC1	-0.0026827
NIC1107	-0.0029236
NIC166	-0.0023185
NIC195	-0.0043145
NIC199	-0.0031936
NIC2	-0.0034415
NIC207	-0.0031708
NIC231	-0.0035885
NIC236	-0.0032648
NIC242	-0.0022879
NIC251	-0.0024601
NIC252	-0.0013175
NIC255	-0.0012285
NIC256	-0.0019176
NIC258	-0.0013774
NIC259	-0.001961
NIC260	-0.0023436
NIC261	-0.0035543
NIC262	-0.0025774
NIC265	-0.0020556
NIC266	-0.0021479
NIC267	-0.0023345
NIC268	-0.0019834
NIC269	-0.00074222
NIC271	-0.0034934
NIC272	-0.0018493
NIC274	-0.0015347
NIC275	-0.0022005
NIC276	-0.0029685
NIC277	-0.004985
NIC3	-0.0025217
NIC513	-0.0054153
NIC514	-0.0028296
NIC522	-0.0025558
NIC523	-0.0021099
PB303	-0.0033957
PS2025	-0.0033928
PX179	-0.0034538
QG2075	-0.0019429
QG536	-0.0048081
QG556	-0.0020375
QG557	-0.0029754
QW947	-0.0051466
QX1212	-0.0017484
QX1233	-0.00070057
QX1791	-0.0019228
QX1792	-0.0024948
QX1793	-0.002015
QX1794	-0.0029625
RC301	-0.0027445
WN2001	-0.00048434
WN2002	-0.0019806
WN2033	-0.0018954
XZ1513	-0.0028455
XZ1514	-0.00056739
XZ1516	-0.00051534
