strain	median
AB1	-8.3148e-06
BRC20067	-3.3376e-05
CB4852	-1.6294e-05
CB4854	-1.6538e-05
CB4856	-2.2605e-05
CB4932	-1.6015e-05
CX11254	-7.093e-06
CX11262	-2.1392e-05
CX11264	-1.9166e-05
CX11271	-2.2935e-05
CX11276	-3.3241e-05
CX11285	-3.6736e-05
CX11292	-1.5896e-05
CX11307	-9.0521e-06
CX11314	-2.125e-05
CX11315	-3.4202e-06
DL200	-2.6663e-05
DL226	-1.6578e-05
DL238	-2.6993e-05
ECA246	-1.9085e-05
ECA248	-3.7006e-05
ECA250	-1.0648e-05
ECA251	-3.4594e-05
ECA252	-3.1443e-05
ECA259	-2.1087e-05
ECA348	-1.2716e-05
ECA349	-1.843e-06
ECA36	-2.651e-05
ECA363	-2.8549e-05
ECA372	-5.1962e-06
ECA396	-5.0608e-05
ED3005	-2.9415e-05
ED3011	-1.6486e-05
ED3012	-2.6752e-05
ED3017	-2.7413e-06
ED3040	-2.8947e-05
ED3046	-8.6259e-06
ED3048	-3.3477e-05
ED3049	-1.8495e-05
ED3052	-4.001e-05
ED3073	-1.415e-05
ED3077	-2.4327e-05
EG4347	-2.0885e-05
EG4349	-1.3855e-05
EG4724	-1.6432e-05
EG4725	-2.0526e-05
EG4946	-1.957e-05
GXW1	-2.4113e-05
JT11398	-1.8269e-05
JU1088	-3.2273e-05
JU1172	-1.5183e-05
JU1200	-8.2527e-06
JU1212	-2.3843e-05
JU1213	-3.3088e-05
JU1242	-2.9026e-05
JU1246	-2.1233e-05
JU1395	-1.349e-05
JU1400	-2.5758e-05
JU1409	-3.9179e-05
JU1440	-1.8254e-05
JU1491	-8.4145e-06
JU1530	-1.2594e-05
JU1543	-2.086e-06
JU1568	5.3326e-06
JU1580	-1.4031e-05
JU1581	-2.6123e-05
JU1586	-1.6166e-05
JU1652	-1.9932e-05
JU1793	-2.6805e-05
JU1808	-3.1216e-05
JU1896	-1.1356e-05
JU2001	-2.6738e-05
JU2007	-3.031e-05
JU2131	-1.222e-05
JU2141	-1.2372e-05
JU2234	-2.0412e-05
JU2464	-9.5342e-06
JU2466	-1.277e-05
JU2513	-4.0032e-05
JU2519	-1.8969e-05
JU2522	-3.7416e-06
JU2526	-1.1841e-05
JU2534	-2.546e-05
JU2565	-2.5707e-05
JU2566	-2.2935e-05
JU2578	-2.6362e-05
JU258	-2.8446e-05
JU2587	6.3567e-06
JU2593	4.2254e-06
JU2600	-3.6426e-05
JU2800	-2.511e-05
JU2862	-2.3529e-05
JU2866	-6.7687e-06
JU2878	-2.7886e-05
JU2879	-1.8138e-05
JU2906	-1.8428e-06
JU310	3.0556e-06
JU311	-3.2451e-05
JU3125	-1.853e-05
JU3127	-1.0284e-05
JU3134	9.5089e-06
JU3135	-1.526e-05
JU3137	-8.9992e-06
JU3140	-1.4106e-05
JU323	-2.9112e-05
JU346	-3.4599e-06
JU360	-3.383e-05
JU367	1.8877e-06
JU393	-2.5438e-05
JU394	-1.3941e-05
JU397	-2.5332e-05
JU406	-1.6718e-05
JU440	-1.5235e-05
JU561	-2.6263e-05
JU642	-2.2802e-05
JU751	-2.1317e-05
JU774	-3.9821e-05
JU775	-2.8579e-05
JU778	-2.7952e-05
JU782	-2.8667e-05
JU792	-1.144e-05
JU830	-2.8199e-05
JU847	-1.3056e-05
KR314	1.1503e-05
LKC34	-2.2006e-05
LSJ1	-1.3175e-05
MY1	-1.991e-05
MY10	-8.612e-06
MY16	-2.8791e-05
MY18	-1.3832e-05
MY2212	-2.4514e-05
MY23	-3.9495e-05
MY2453	-3.1467e-05
MY2530	-1.778e-05
MY2535	-2.5619e-05
MY2573	-1.074e-05
MY2693	-1.4186e-05
MY2741	-2.1913e-05
MY679	-3.9725e-05
MY920	-1.8364e-05
N2	-1.8148e-05
NIC1	-3.7046e-05
NIC1107	-2.8182e-05
NIC166	-2.9889e-05
NIC195	-3.8919e-05
NIC199	-4.3185e-05
NIC2	-2.4096e-05
NIC207	-1.6727e-05
NIC231	-3.9731e-05
NIC236	4.2944e-06
NIC242	-2.4206e-05
NIC251	-2.447e-05
NIC252	-6.335e-06
NIC255	-2.7167e-05
NIC256	-3.1592e-05
NIC258	-2.0789e-05
NIC259	-1.9638e-05
NIC260	4.1473e-05
NIC261	-2.8784e-05
NIC262	-6.5758e-06
NIC265	-2.3251e-05
NIC266	-2.5267e-05
NIC267	-3.0606e-05
NIC268	-1.9222e-05
NIC269	-2.7857e-05
NIC271	-3.2996e-05
NIC272	-1.4633e-05
NIC274	-7.452e-06
NIC275	-1.9406e-05
NIC276	-1.7785e-05
NIC277	-2.2053e-05
NIC3	-3.0249e-05
NIC513	-1.5767e-05
NIC514	-2.4133e-05
NIC522	-2.7119e-05
NIC523	-2.0638e-05
PB303	-1.5612e-05
PS2025	-1.5876e-05
PX179	-1.878e-05
QG2075	-1.7296e-05
QG536	-4.5694e-05
QG556	2.5542e-06
QG557	-1.9079e-05
QW947	-3.6445e-05
QX1212	-1.6993e-05
QX1233	-9.7174e-06
QX1791	-3.0268e-05
QX1792	-9.4808e-06
QX1793	-1.0679e-05
QX1794	-1.4249e-05
RC301	-2.9274e-05
WN2001	-2.3877e-05
WN2002	-4.1619e-06
WN2033	-1.1224e-05
XZ1513	-1.5664e-05
XZ1514	-3.3583e-05
XZ1516	-1.6327e-05
