strain	median
AB1	-0.0030405
BRC20067	-0.0033892
CB4852	-0.0010574
CB4854	-0.0037134
CB4856	-0.001956
CB4932	-0.0041055
CX11254	-0.00079077
CX11262	-0.0017065
CX11264	-0.0028911
CX11271	-0.0023592
CX11276	-0.0031863
CX11285	-0.00263
CX11292	-0.002644
CX11307	-0.0012684
CX11314	-0.0006009
CX11315	-0.0018327
DL200	-0.0040075
DL226	-0.0040214
DL238	-0.0028951
ECA246	-0.0018102
ECA248	-0.0068002
ECA250	-0.0035264
ECA251	-0.004668
ECA252	-0.004083
ECA259	-0.0024366
ECA348	-0.0010845
ECA349	-0.0021066
ECA36	-0.0021985
ECA363	-0.0016403
ECA372	-0.0019531
ECA396	-0.0037095
ED3005	-0.0067264
ED3011	-0.0020986
ED3012	-0.0025294
ED3017	-0.0032625
ED3040	-0.0050124
ED3046	-0.0037767
ED3048	-0.0025365
ED3049	-6.2621e-05
ED3052	-0.0026263
ED3073	-0.00201
ED3077	-0.0059195
EG4347	-0.003694
EG4349	-0.0043395
EG4724	-0.0023156
EG4725	-0.0037367
EG4946	-0.0037949
GXW1	-0.0061344
JT11398	-0.0029439
JU1088	-0.0027351
JU1172	-0.0028412
JU1200	-0.0014643
JU1212	-0.0011575
JU1213	-0.0035844
JU1242	-0.0025482
JU1246	-0.0040701
JU1395	-0.0027383
JU1400	-0.0033946
JU1409	-0.001948
JU1440	-0.003676
JU1491	-0.0031084
JU1530	-0.0024883
JU1543	-0.0055516
JU1568	-0.0047035
JU1580	-0.0011739
JU1581	-0.0033421
JU1586	-0.00308
JU1652	-0.0013791
JU1793	-0.002803
JU1808	-0.0057315
JU1896	-0.0019986
JU2001	-0.0029548
JU2007	-0.0039313
JU2131	-0.0026594
JU2141	-0.001862
JU2234	-0.0015798
JU2464	-0.0045058
JU2466	-0.0030405
JU2513	-0.002522
JU2519	-0.004274
JU2522	-0.0024519
JU2526	-0.0026188
JU2534	-0.0035053
JU2565	-0.0019179
JU2566	-0.0020725
JU2578	-0.0050615
JU258	-0.0020748
JU2587	-0.0055932
JU2593	-0.0027502
JU2600	-0.0027769
JU2800	-0.0033806
JU2862	-0.0018116
JU2866	-0.0011328
JU2878	-0.0021943
JU2879	-0.0019945
JU2906	-0.00031848
JU310	-0.0028107
JU311	-0.0028846
JU3125	-0.002894
JU3127	0.00028118
JU3134	-0.0022321
JU3135	-0.0047065
JU3137	-0.0030939
JU3140	-0.0035988
JU323	-0.0026313
JU346	-0.0023153
JU360	-0.0025911
JU367	-0.0033942
JU393	-0.0049194
JU394	-0.003334
JU397	-0.0028629
JU406	-0.0029494
JU440	-0.0017034
JU561	-0.0039914
JU642	-0.0021174
JU751	-0.0044969
JU774	-0.003232
JU775	-0.0044755
JU778	-0.0056416
JU782	-0.0058484
JU792	-0.0024996
JU830	-0.0074639
JU847	-0.0018654
KR314	-0.005299
LKC34	-0.003499
LSJ1	-0.0014426
MY1	-0.0038422
MY10	-0.00027516
MY16	-0.0037769
MY18	-0.00037683
MY2212	-0.0014809
MY23	-0.0024268
MY2453	-0.0039338
MY2530	-0.0032226
MY2535	-0.0016449
MY2573	-0.0014344
MY2693	-0.002779
MY2741	-0.0022386
MY679	-0.0020681
MY920	-0.00051779
N2	-0.0052744
NIC1	-0.0061201
NIC1107	-0.0014655
NIC166	-0.0025548
NIC195	-0.0022533
NIC199	-0.0018337
NIC2	-0.0030821
NIC207	-0.0017259
NIC231	-0.0032195
NIC236	-0.0036151
NIC242	-0.0027355
NIC251	-0.0054752
NIC252	-0.0028435
NIC255	-0.0018385
NIC256	-0.0042468
NIC258	-0.00043162
NIC259	-0.0038477
NIC260	-0.0027811
NIC261	-0.0024654
NIC262	-0.0020167
NIC265	-0.0052652
NIC266	-0.001003
NIC267	-0.0046098
NIC268	-0.0029316
NIC269	-0.0019446
NIC271	-0.0035815
NIC272	-0.0058235
NIC274	-0.0024002
NIC275	-0.001599
NIC276	-0.0030964
NIC277	-0.0042753
NIC3	-0.0033413
NIC513	-0.0021747
NIC514	-0.0014501
NIC522	-0.004608
NIC523	-0.0029382
PB303	-0.0023229
PS2025	-0.0010239
PX179	-0.00088959
QG2075	-0.0034273
QG536	-0.0039179
QG556	-0.00055981
QG557	3.3912e-05
QW947	-0.0023522
QX1212	-0.0012402
QX1233	-0.0017471
QX1791	-0.0022626
QX1792	-0.004186
QX1793	-0.0019154
QX1794	-0.0010169
RC301	-0.0029615
WN2001	-0.0043301
WN2002	-0.0041342
WN2033	-0.0021868
XZ1513	0.0013163
XZ1514	0.00098945
XZ1516	-0.0013178
