strain	median
AB1	-0.00092105
BRC20067	-0.00092776
CB4852	-0.00013949
CB4854	-0.0011177
CB4856	-0.00152
CB4932	-0.00095272
CX11254	-0.00085647
CX11262	-0.00046172
CX11264	-0.00095925
CX11271	-0.00098355
CX11276	-0.00094495
CX11285	-0.0013549
CX11292	-0.001016
CX11307	-0.00079977
CX11314	-0.0010291
CX11315	-0.0013136
DL200	-0.0013528
DL226	-0.0013755
DL238	-0.00067404
ECA246	-0.00086907
ECA248	-0.0011143
ECA250	-0.0013385
ECA251	-0.00094717
ECA252	-0.00071715
ECA259	-0.0014113
ECA348	-0.00093778
ECA349	-0.00091505
ECA36	-0.0015681
ECA363	-0.0020212
ECA372	-0.00080929
ECA396	-0.0019828
ED3005	-0.00040525
ED3011	-0.0012222
ED3012	-0.0012617
ED3017	-0.00057695
ED3040	-0.0010006
ED3046	-0.00040517
ED3048	-0.00095184
ED3049	-1.4165e-16
ED3052	-0.0014507
ED3073	-0.00069014
ED3077	-0.0014793
EG4347	-0.00096529
EG4349	-0.00083382
EG4724	-0.00065026
EG4725	-0.0010256
EG4946	-0.00097214
GXW1	-0.0013918
JT11398	-0.00063906
JU1088	-0.00087844
JU1172	-0.00097557
JU1200	-0.0009117
JU1212	-0.00058914
JU1213	-0.0011939
JU1242	-0.0010999
JU1246	-0.0012984
JU1395	-0.0008725
JU1400	-0.00072351
JU1409	-0.00076344
JU1440	-0.0011493
JU1491	-0.00095352
JU1530	-0.0010477
JU1543	-0.0017193
JU1568	0
JU1580	-0.00082079
JU1581	-0.001336
JU1586	-0.00059024
JU1652	-0.0014536
JU1793	-0.0015872
JU1808	-0.001509
JU1896	-0.00095272
JU2001	-0.00048649
JU2007	-0.0011758
JU2131	-0.00061737
JU2141	-0.00092224
JU2234	-0.001203
JU2464	-0.00086379
JU2466	-0.00099993
JU2513	-0.0012019
JU2519	-0.00088916
JU2522	-0.00077107
JU2526	-0.0014578
JU2534	-0.0014249
JU2565	-0.00083198
JU2566	-0.0014058
JU2578	-0.00086177
JU258	-0.0014689
JU2587	-0.00023949
JU2593	-0.00088458
JU2600	-0.0010132
JU2800	-0.0011642
JU2862	-0.001348
JU2866	-0.0012571
JU2878	-0.0012351
JU2879	-0.0014913
JU2906	-0.00023647
JU310	-0.00059349
JU311	-0.00062125
JU3125	-0.0015764
JU3127	-0.00089098
JU3134	-0.0007077
JU3135	-0.0014297
JU3137	-0.00058045
JU3140	-0.0010432
JU323	-0.0010254
JU346	-0.00049541
JU360	-0.0016378
JU367	-0.00060421
JU393	-0.00043752
JU394	-0.00034506
JU397	-0.0016739
JU406	-0.0008941
JU440	-0.0010258
JU561	-0.0010645
JU642	-0.0012598
JU751	-0.0011359
JU774	-0.00082095
JU775	-0.00099427
JU778	-0.00088609
JU782	-0.0010049
JU792	-0.001165
JU830	-0.00021561
JU847	-0.001255
KR314	-0.00051058
LKC34	-0.001044
LSJ1	-0.0010168
MY1	-0.00091222
MY10	-0.00011092
MY16	-0.00096361
MY18	-0.001382
MY2212	-0.0011177
MY23	-0.0015667
MY2453	-0.00098117
MY2530	-0.0011299
MY2535	-0.00037951
MY2573	-0.0011087
MY2693	-0.0012919
MY2741	-0.00047437
MY679	-0.0010675
MY920	-0.0007371
N2	-0.0007637
NIC1	-0.00062804
NIC1107	0
NIC166	-0.0011528
NIC195	-0.0015382
NIC199	-0.0012433
NIC2	-0.00077055
NIC207	-0.0010285
NIC231	-0.0004628
NIC236	-0.00095654
NIC242	-0.0008702
NIC251	-0.00080052
NIC252	-0.00062731
NIC255	-0.00082421
NIC256	-0.00077742
NIC258	-0.00049694
NIC259	-0.0014263
NIC260	-0.00067999
NIC261	-0.00056409
NIC262	-0.00091944
NIC265	-0.00077244
NIC266	-0.00075425
NIC267	-0.0010386
NIC268	-0.0017384
NIC269	-0.0011034
NIC271	-0.00067132
NIC272	-0.0011765
NIC274	-0.0011422
NIC275	-0.00087997
NIC276	-0.0008718
NIC277	-0.0013806
NIC3	-0.00080617
NIC513	-0.0015381
NIC514	-0.0014893
NIC522	-0.00087194
NIC523	-0.00086125
PB303	-0.00096127
PS2025	-0.0010044
PX179	-0.0014949
QG2075	-0.000108
QG536	-0.0012784
QG556	-0.0012158
QG557	-0.0010374
QW947	-0.00028127
QX1212	-0.00071733
QX1233	-0.0012762
QX1791	-0.00085014
QX1792	-0.0012622
QX1793	-0.0011836
QX1794	-0.0010994
RC301	-0.001153
WN2001	-0.0010235
WN2002	-0.0011148
WN2033	-0.00034143
XZ1513	-0.001032
XZ1514	-0.00090887
XZ1516	-0.00094563
