strain	median
AB1	-0.22088
BRC20067	-0.3579
CB4852	0.17106
CB4854	-0.29713
CB4856	-0.54802
CB4932	-0.33393
CX11254	-0.085257
CX11262	-0.25556
CX11264	-0.11904
CX11271	-0.38346
CX11276	-0.38042
CX11285	-0.50743
CX11292	-0.37691
CX11307	-0.25109
CX11314	-0.3604
CX11315	-0.31411
DL200	-0.68224
DL226	-0.45942
DL238	-0.25361
ECA246	-0.26003
ECA248	-0.4132
ECA250	-0.56565
ECA251	-0.25051
ECA252	-0.3038
ECA259	-0.46835
ECA348	-0.098481
ECA349	-0.18236
ECA36	-0.89434
ECA363	-1.1093
ECA372	-0.16191
ECA396	-1.1868
ED3005	0.050775
ED3011	-0.48711
ED3012	-0.52351
ED3017	-0.35996
ED3040	-0.25655
ED3046	0.21605
ED3048	-0.54928
ED3049	-0.1208
ED3052	-0.67695
ED3073	-0.12828
ED3077	-0.83409
EG4347	-0.4856
EG4349	-0.18384
EG4724	-0.26311
EG4725	-0.43273
EG4946	-0.22696
GXW1	-0.65268
JT11398	-0.13405
JU1088	-0.26143
JU1172	-0.48721
JU1200	-0.22513
JU1212	-0.30845
JU1213	-0.58455
JU1242	-0.54622
JU1246	-0.61148
JU1395	-0.35936
JU1400	-0.09763
JU1409	-0.35215
JU1440	-0.68858
JU1491	-0.24305
JU1530	-0.14006
JU1543	-0.61103
JU1568	0.024691
JU1580	-0.18343
JU1581	-0.39323
JU1586	-0.41124
JU1652	-0.58857
JU1793	-0.81774
JU1808	-0.6782
JU1896	-0.39491
JU2001	-0.44925
JU2007	-0.33886
JU2131	-0.0047237
JU2141	-0.053621
JU2234	-0.19655
JU2464	-0.25179
JU2466	-0.49631
JU2513	-0.41335
JU2519	-0.38817
JU2522	0.031773
JU2526	-0.53242
JU2534	-0.5123
JU2565	-0.13341
JU2566	-0.25192
JU2578	-0.32856
JU258	-0.65858
JU2587	-0.0081998
JU2593	-0.16428
JU2600	-0.24645
JU2800	-0.51202
JU2862	-0.70775
JU2866	-0.22453
JU2878	-0.52993
JU2879	-0.65576
JU2906	-0.32552
JU310	-0.5918
JU311	-0.34195
JU3125	-0.43842
JU3127	-0.20205
JU3134	0.012226
JU3135	-0.47354
JU3137	-0.11481
JU3140	-0.24237
JU323	-0.34912
JU346	-0.19996
JU360	-0.47485
JU367	-0.24386
JU393	-0.60552
JU394	-0.32474
JU397	-0.52274
JU406	-0.40532
JU440	-0.45268
JU561	-0.49051
JU642	-0.52991
JU751	-0.76402
JU774	-0.49034
JU775	-0.24827
JU778	-0.45719
JU782	-0.52025
JU792	-0.1632
JU830	-0.3986
JU847	-0.53205
KR314	-0.36235
LKC34	-0.49211
LSJ1	-0.30086
MY1	-0.26467
MY10	-0.38201
MY16	-0.59577
MY18	-0.447
MY2212	-0.27169
MY23	-0.54577
MY2453	-0.13545
MY2530	-0.37952
MY2535	-0.34463
MY2573	-0.14675
MY2693	-0.2683
MY2741	-0.32675
MY679	-0.16093
MY920	-0.15268
N2	-0.37491
NIC1	-0.56346
NIC1107	-0.53871
NIC166	-0.36152
NIC195	-0.72318
NIC199	-0.46154
NIC2	-0.25029
NIC207	-0.25958
NIC231	-0.23168
NIC236	-0.17501
NIC242	-0.27642
NIC251	-0.67761
NIC252	-0.082705
NIC255	-0.26638
NIC256	-0.33408
NIC258	-0.52364
NIC259	-0.62479
NIC260	-0.044206
NIC261	-0.45539
NIC262	-0.2903
NIC265	-0.23218
NIC266	-0.35132
NIC267	-0.57714
NIC268	-0.70489
NIC269	-0.59417
NIC271	-0.44068
NIC272	-0.41296
NIC274	-0.24421
NIC275	-0.196
NIC276	-0.039388
NIC277	-0.60782
NIC3	-0.38554
NIC513	-0.57275
NIC514	-0.51346
NIC522	-0.26968
NIC523	-0.37492
PB303	-0.095686
PS2025	-0.37182
PX179	-0.28051
QG2075	-0.39547
QG536	-0.64661
QG556	-0.20907
QG557	-0.43585
QW947	-0.42116
QX1212	-0.070883
QX1233	-0.44889
QX1791	-0.49024
QX1792	-0.1048
QX1793	-0.26221
QX1794	-0.4622
RC301	-0.43538
WN2001	-0.26239
WN2002	-0.45363
WN2033	-0.27584
XZ1513	-0.28972
XZ1514	-0.3204
XZ1516	-0.19597
