strain	median
AB1	-0.0071545
BRC20067	-0.022396
CB4852	-0.042914
CB4854	-0.030597
CB4856	-0.023829
CB4932	-0.036276
CX11254	-0.010095
CX11262	-0.0030593
CX11264	-0.01558
CX11271	-0.048195
CX11276	-0.011912
CX11285	-0.022762
CX11292	-0.021442
CX11307	-0.024143
CX11314	-0.021132
CX11315	-0.015385
DL200	-0.0068959
DL226	-0.011369
DL238	-0.0196
ECA246	-0.015904
ECA248	-0.069145
ECA250	-0.022558
ECA251	-0.030762
ECA252	-0.010777
ECA259	-0.030552
ECA348	0.0017892
ECA349	-0.01125
ECA36	-0.050834
ECA363	0.0010077
ECA372	-0.027281
ECA396	-0.013218
ED3005	-0.03076
ED3011	-0.030827
ED3012	-0.025933
ED3017	-0.038103
ED3040	-0.02529
ED3046	-0.0077431
ED3048	-0.02831
ED3049	-0.020389
ED3052	-0.037261
ED3073	-0.022259
ED3077	-0.033038
EG4347	-0.018514
EG4349	-0.0043614
EG4724	-0.0023456
EG4725	-0.0079232
EG4946	-0.044373
GXW1	-0.02263
JT11398	-0.02726
JU1088	-0.023743
JU1172	-0.027816
JU1200	-0.012512
JU1212	-0.027175
JU1213	-0.02175
JU1242	-0.018567
JU1246	-0.053784
JU1395	-0.022365
JU1400	-0.009796
JU1409	-0.033711
JU1440	-0.023601
JU1491	-0.025795
JU1530	-0.029381
JU1543	-0.0042818
JU1568	0.0022523
JU1580	-0.024546
JU1581	-0.021091
JU1586	-0.041979
JU1652	-0.016277
JU1793	-0.021385
JU1808	-0.018437
JU1896	-0.02984
JU2001	-0.02182
JU2007	-0.044622
JU2131	-0.044171
JU2141	-0.028995
JU2234	-0.011102
JU2464	-0.042943
JU2466	-0.027977
JU2513	-0.030484
JU2519	-0.014757
JU2522	-0.021082
JU2526	-0.025944
JU2534	-0.013324
JU2565	-0.0075737
JU2566	-0.014136
JU2578	-0.02673
JU258	-0.019319
JU2587	-0.016036
JU2593	-0.038237
JU2600	-0.0033424
JU2800	-0.023404
JU2862	-0.011318
JU2866	-0.012195
JU2878	-0.032387
JU2879	-0.0079937
JU2906	-0.0078857
JU310	-0.0032749
JU311	-0.02003
JU3125	-0.028806
JU3127	-0.027974
JU3134	-0.049521
JU3135	-0.018063
JU3137	-0.018981
JU3140	-0.018999
JU323	-0.013261
JU346	-0.026007
JU360	-0.019674
JU367	-0.043791
JU393	-0.018803
JU394	-0.048607
JU397	-0.015436
JU406	-0.029451
JU440	-0.03228
JU561	-0.013364
JU642	-0.011369
JU751	-0.0083255
JU774	-0.030165
JU775	-0.022291
JU778	-0.018681
JU782	-0.027425
JU792	-0.025072
JU830	-0.0040859
JU847	-0.016393
KR314	-0.02131
LKC34	-0.032353
LSJ1	-0.013822
MY1	-0.02834
MY10	-0.014302
MY16	-0.016557
MY18	-0.02523
MY2212	-0.035677
MY23	-0.024685
MY2453	-0.018122
MY2530	-0.036304
MY2535	-0.039064
MY2573	-0.01208
MY2693	-0.02816
MY2741	-0.022219
MY679	-0.021247
MY920	-0.020817
N2	-0.0042896
NIC1	-0.0080455
NIC1107	-0.011179
NIC166	-0.033041
NIC195	-0.029829
NIC199	-0.034188
NIC2	-0.016818
NIC207	-0.031142
NIC231	-0.038907
NIC236	-0.039851
NIC242	-0.029262
NIC251	-0.012575
NIC252	-0.018607
NIC255	-0.012612
NIC256	-0.019691
NIC258	-0.0076371
NIC259	-0.020105
NIC260	-0.050811
NIC261	-0.038121
NIC262	-0.0085532
NIC265	-0.046443
NIC266	-0.033646
NIC267	-0.016696
NIC268	-0.026596
NIC269	-0.017831
NIC271	-0.057292
NIC272	-0.0507
NIC274	-0.010071
NIC275	-0.022962
NIC276	-0.059964
NIC277	-0.039936
NIC3	-0.019538
NIC513	-0.041957
NIC514	-0.027312
NIC522	-0.024356
NIC523	-0.017415
PB303	-0.014474
PS2025	-0.025617
PX179	-0.027103
QG2075	-0.015469
QG536	-0.018754
QG556	-0.011623
QG557	-0.02641
QW947	-0.033153
QX1212	-0.004576
QX1233	-0.01051
QX1791	-0.01357
QX1792	-0.019959
QX1793	-0.037182
QX1794	-0.027823
RC301	-0.0055315
WN2001	-0.012776
WN2002	-0.020329
WN2033	-0.026748
XZ1513	-0.03014
XZ1514	-0.0012143
XZ1516	0.0023153
