strain	median
AB1	7.4196e-05
BRC20067	-0.00039154
CB4852	-0.00057609
CB4854	-0.00061276
CB4856	-0.00061275
CB4932	-0.00044249
CX11254	-0.00025884
CX11262	-0.00061794
CX11264	-0.00044444
CX11271	-0.00041531
CX11276	-0.00022372
CX11285	-0.00048232
CX11292	-0.00051047
CX11307	-0.00069856
CX11314	-0.0004382
CX11315	-0.00065091
DL200	-0.00037863
DL226	-0.00067234
DL238	-0.00029496
ECA246	-1.4527e-05
ECA248	-0.0009923
ECA250	-0.00080699
ECA251	-0.00033535
ECA252	-0.00032505
ECA259	-0.00044008
ECA348	-0.00036951
ECA349	-0.00035897
ECA36	-0.0010813
ECA363	-0.00099097
ECA372	-0.00048217
ECA396	-0.00072415
ED3005	-0.00053935
ED3011	-0.0007598
ED3012	-0.00064312
ED3017	-0.00044281
ED3040	-0.00063454
ED3046	-0.00036201
ED3048	-0.00064483
ED3049	-6.2831e-05
ED3052	-0.00058372
ED3073	-0.0001137
ED3077	-0.00070884
EG4347	-0.00020127
EG4349	-0.0004659
EG4724	-0.00061571
EG4725	-0.00028681
EG4946	-0.00041173
GXW1	-0.00072605
JT11398	-0.00021794
JU1088	-0.00034971
JU1172	-0.00051409
JU1200	-0.0004073
JU1212	-0.0005627
JU1213	-0.00059984
JU1242	-0.00057337
JU1246	-0.00060856
JU1395	-0.00060972
JU1400	-0.00042904
JU1409	-0.00070128
JU1440	-0.00019702
JU1491	-0.0006569
JU1530	-0.00035183
JU1543	-0.0007447
JU1568	0.00037044
JU1580	-0.0004476
JU1581	-0.00024942
JU1586	-0.00063178
JU1652	-0.00077965
JU1793	-0.00033438
JU1808	-0.00066143
JU1896	-0.00059955
JU2001	-0.00038698
JU2007	-0.00065101
JU2131	-0.00017302
JU2141	-0.00023201
JU2234	-0.00055904
JU2464	-0.00052227
JU2466	-0.00063489
JU2513	-0.00050894
JU2519	-0.00021903
JU2522	0.00016245
JU2526	-0.00044292
JU2534	-0.00060891
JU2565	-0.00052151
JU2566	-0.00058171
JU2578	-0.00081962
JU258	-0.00046605
JU2587	-0.00063406
JU2593	-0.00048272
JU2600	-0.00034859
JU2800	-0.00057033
JU2862	-0.00057865
JU2866	-0.00024977
JU2878	-0.00065047
JU2879	-0.00062536
JU2906	-0.00017316
JU310	-0.0003193
JU311	-4.5416e-05
JU3125	-0.00078815
JU3127	-0.00061222
JU3134	-0.00014516
JU3135	-0.00038139
JU3137	-0.00027974
JU3140	-0.00056575
JU323	-0.00039255
JU346	-0.00022892
JU360	-0.00076159
JU367	-0.00050755
JU393	-0.00061714
JU394	-0.00063877
JU397	-0.0002927
JU406	-0.00069389
JU440	-0.00050441
JU561	-0.00059867
JU642	-0.00043289
JU751	-0.00086695
JU774	-0.00084514
JU775	-0.0003911
JU778	-0.00035034
JU782	-0.00059717
JU792	-0.0006629
JU830	-0.00038985
JU847	-0.00071949
KR314	-0.0003808
LKC34	-0.00065474
LSJ1	-0.00034335
MY1	-0.00045718
MY10	-0.00053754
MY16	-0.00049909
MY18	-0.0003538
MY2212	-0.00066636
MY23	-0.00055016
MY2453	-0.00040287
MY2530	-0.00065161
MY2535	-0.00062977
MY2573	-6.9748e-05
MY2693	-0.00053866
MY2741	-0.00071277
MY679	-0.00040958
MY920	-0.00039177
N2	-0.00017546
NIC1	-0.00035545
NIC1107	-0.00061685
NIC166	-0.00032662
NIC195	-0.00078944
NIC199	-0.00035356
NIC2	-0.00031958
NIC207	-0.00064482
NIC231	-0.00062526
NIC236	-0.00069356
NIC242	8.821e-06
NIC251	-0.00054719
NIC252	-0.00048493
NIC255	-0.00024695
NIC256	-0.00010848
NIC258	-0.00040246
NIC259	-0.00044658
NIC260	-0.00078633
NIC261	-0.0006027
NIC262	-0.00057385
NIC265	-0.00047968
NIC266	-0.00073741
NIC267	-0.00082636
NIC268	-0.00080658
NIC269	-0.00095761
NIC271	-0.00061256
NIC272	-0.00042768
NIC274	-6.697e-05
NIC275	-0.00031256
NIC276	-0.00067113
NIC277	-0.00081361
NIC3	-0.00030136
NIC513	-0.00075156
NIC514	-0.0007036
NIC522	-0.00062515
NIC523	-0.00075855
PB303	-0.00030762
PS2025	-0.00056911
PX179	-0.0005015
QG2075	-9.0619e-05
QG536	-0.00084654
QG556	-0.00037163
QG557	-0.00079035
QW947	-0.00058576
QX1212	-0.00052057
QX1233	-0.00065346
QX1791	-0.00030169
QX1792	-0.0003695
QX1793	-0.00031474
QX1794	-0.00063268
RC301	-0.00034537
WN2001	-0.0001544
WN2002	-0.00053431
WN2033	-0.00044106
XZ1513	-0.00046624
XZ1514	-0.00061908
XZ1516	-1.0839e-06
