strain	median
AB1	0.096879
BRC20067	0.025233
CB4852	0.016826
CB4854	0.0086317
CB4856	0.016099
CB4932	0.023446
CX11254	0.045911
CX11262	0.0050701
CX11264	0.041247
CX11271	0.0078243
CX11276	0.003499
CX11285	0.0029436
CX11292	0.00016567
CX11307	0.018439
CX11314	0.0097309
CX11315	0.060935
DL200	0.086643
DL226	0.12368
DL238	0.055732
ECA246	0.0051142
ECA248	0.021921
ECA250	0.012484
ECA251	0.022043
ECA252	0.051912
ECA259	0.059538
ECA348	0.10419
ECA349	0.066808
ECA36	0.0098835
ECA363	-0.00011572
ECA372	0.0077493
ECA396	-0.019218
ED3005	0.013651
ED3011	0.046246
ED3012	0.039806
ED3017	0.002585
ED3040	3.0373e-05
ED3046	0.039008
ED3048	0.039403
ED3049	-0.0077742
ED3052	0.01137
ED3073	0.36507
ED3077	0.14135
EG4347	0.032763
EG4349	0.082357
EG4724	0.047386
EG4725	0.035441
EG4946	0.013397
GXW1	0.083777
JT11398	0.0024261
JU1088	0.081942
JU1172	0.0013638
JU1200	0.018329
JU1212	-0.0013833
JU1213	0.036051
JU1242	0.066434
JU1246	0.0085497
JU1395	0.034955
JU1400	0.013362
JU1409	0.00038856
JU1440	0.081952
JU1491	0.043422
JU1530	0.015913
JU1543	0.019351
JU1568	0.010164
JU1580	0.042549
JU1581	0.017827
JU1586	0.00052125
JU1652	0.067974
JU1793	0.03997
JU1808	0.16584
JU1896	0.013133
JU2001	-0.014986
JU2007	0.063514
JU2131	0.0074542
JU2141	0.025934
JU2234	0.012122
JU2464	0.062266
JU2466	0.049253
JU2513	0.0026664
JU2519	0.28714
JU2522	0.019556
JU2526	0.13121
JU2534	0.084639
JU2565	-0.00019936
JU2566	0.027057
JU2578	-3.3498e-06
JU258	0.033431
JU2587	0.016678
JU2593	0.044956
JU2600	0.031525
JU2800	0.073912
JU2862	0.0028565
JU2866	0.015061
JU2878	0.007038
JU2879	0.016729
JU2906	-0.00060672
JU310	0.011068
JU311	0.14304
JU3125	0.16195
JU3127	0.0017242
JU3134	0.021833
JU3135	0.14549
JU3137	0.000332
JU3140	0.075933
JU323	0.055787
JU346	0.033747
JU360	0.0056649
JU367	0.00068103
JU393	0.025025
JU394	0.0013135
JU397	0.0054225
JU406	0.026426
JU440	0.0045047
JU561	0.04791
JU642	0.023429
JU751	0.072943
JU774	0.010835
JU775	0.10424
JU778	0.025047
JU782	0.19989
JU792	0.058226
JU830	0.0013047
JU847	0.072299
KR314	0.013717
LKC34	0.028999
LSJ1	0.029945
MY1	0.033844
MY10	-0.00098497
MY16	0.048834
MY18	0.011188
MY2212	0.0089082
MY23	0.09284
MY2453	0.035559
MY2530	0.041132
MY2535	0.00032757
MY2573	0.07788
MY2693	0.022875
MY2741	0.0001779
MY679	0.020943
MY920	0.008799
N2	0.062461
NIC1	0.001317
NIC1107	0.0069208
NIC166	0.022857
NIC195	0.064949
NIC199	0.013849
NIC2	0.0075983
NIC207	0.015011
NIC231	0.067935
NIC236	0.010141
NIC242	0.013218
NIC251	0.010492
NIC252	0.033901
NIC255	0.011034
NIC256	0.0049021
NIC258	0.019593
NIC259	0.0049218
NIC260	0.52191
NIC261	0.0002064
NIC262	0.099148
NIC265	0.0044674
NIC266	0.048537
NIC267	0.053641
NIC268	0.063869
NIC269	0.070205
NIC271	0.034593
NIC272	0.1277
NIC274	0.074508
NIC275	0.019604
NIC276	0.046089
NIC277	0.020614
NIC3	0.064107
NIC513	0.017034
NIC514	0.018846
NIC522	0.049472
NIC523	0.0076457
PB303	0.086893
PS2025	0.090925
PX179	0.072966
QG2075	0.0035085
QG536	4.0604e-05
QG556	0.065094
QG557	0.042683
QW947	0.00052831
QX1212	0.0633
QX1233	0.029029
QX1791	0.0076261
QX1792	0.017689
QX1793	0.042942
QX1794	0.10506
RC301	0.047108
WN2001	0.0007161
WN2002	0.013742
WN2033	0.013419
XZ1513	0.066558
XZ1514	0.01322
XZ1516	0.011345
