strain	median
AB1	-0.0018703
BRC20067	-0.0011825
CB4852	-0.00072911
CB4854	-0.0017612
CB4856	-0.00093894
CB4932	-0.0015725
CX11254	-0.00087311
CX11262	-0.00086344
CX11264	-0.0010296
CX11271	-0.001334
CX11276	-0.00066552
CX11285	-0.0022994
CX11292	-0.0014405
CX11307	-0.00022053
CX11314	-0.00077625
CX11315	-0.00054919
DL200	-0.0017366
DL226	-0.0015281
DL238	-0.0017192
ECA246	-0.00074856
ECA248	-0.0027766
ECA250	-0.0018264
ECA251	-0.002849
ECA252	-0.0017212
ECA259	-0.0012601
ECA348	-0.00095405
ECA349	-0.00096211
ECA36	-0.0015914
ECA363	-0.0016708
ECA372	-0.00142
ECA396	-0.0010389
ED3005	-0.0020714
ED3011	-0.00077403
ED3012	-0.00085786
ED3017	-0.0015064
ED3040	-0.0016406
ED3046	-0.0015379
ED3048	-0.0017611
ED3049	-0.00038257
ED3052	-0.0011611
ED3073	-0.0013021
ED3077	-0.0027091
EG4347	-0.0013626
EG4349	-0.0011983
EG4724	-0.0016677
EG4725	-0.0011681
EG4946	-0.0012021
GXW1	-0.0026233
JT11398	-0.0014833
JU1088	-0.00093389
JU1172	-0.00044632
JU1200	-0.00040161
JU1212	-0.00060912
JU1213	-0.001051
JU1242	-0.0010663
JU1246	-0.0011929
JU1395	-0.0010559
JU1400	-0.00075364
JU1409	-0.00022939
JU1440	-0.0018455
JU1491	-0.00079757
JU1530	-0.0007403
JU1543	-0.0024374
JU1568	-0.0017509
JU1580	-0.0014057
JU1581	-0.00148
JU1586	-0.00093505
JU1652	-0.00040307
JU1793	-0.00069952
JU1808	-0.0026767
JU1896	-0.00053486
JU2001	-0.0016333
JU2007	-0.0017297
JU2131	-0.00073241
JU2141	-0.00067721
JU2234	-0.00067223
JU2464	-0.0021132
JU2466	-0.0012185
JU2513	-0.0012417
JU2519	-0.0016804
JU2522	-0.00057445
JU2526	-0.0011517
JU2534	-0.0011507
JU2565	-0.0013211
JU2566	-0.00024941
JU2578	-0.0019943
JU258	-0.00058602
JU2587	-0.0010154
JU2593	-0.00014837
JU2600	-0.00083065
JU2800	-0.0014616
JU2862	-0.0011833
JU2866	0.00024422
JU2878	-0.00097752
JU2879	-5.7244e-05
JU2906	-0.00029264
JU310	-0.0012399
JU311	-0.00066836
JU3125	-0.00074129
JU3127	-0.001439
JU3134	-0.0010981
JU3135	-0.0024549
JU3137	-0.00084483
JU3140	-0.0017681
JU323	-0.0010783
JU346	-0.00039927
JU360	-0.00024639
JU367	-0.00040474
JU393	-0.0013221
JU394	-0.001455
JU397	-0.0013003
JU406	-0.0016263
JU440	-0.0011239
JU561	-0.0013565
JU642	-0.00028739
JU751	-0.0011628
JU774	-0.00019785
JU775	-0.0012976
JU778	-0.0021647
JU782	-0.0026214
JU792	-0.00033332
JU830	-0.0031392
JU847	-1.5377e-05
KR314	-0.00066668
LKC34	-0.0016737
LSJ1	-0.00016814
MY1	-0.00079121
MY10	0.00043485
MY16	-0.0012968
MY18	-0.0010273
MY2212	-0.0010218
MY23	-0.0010173
MY2453	-0.00058248
MY2530	-0.0017341
MY2535	-0.00052248
MY2573	-0.00031812
MY2693	-0.0014849
MY2741	-0.00077542
MY679	-0.00085496
MY920	-0.00030188
N2	-0.0014377
NIC1	-0.0014515
NIC1107	0.0002493
NIC166	-0.0010355
NIC195	-0.00019179
NIC199	0.00019197
NIC2	-0.0012432
NIC207	-0.00022894
NIC231	-0.001616
NIC236	-0.00076831
NIC242	-0.0014293
NIC251	-0.0028405
NIC252	-0.003003
NIC255	-0.00075299
NIC256	-0.0014505
NIC258	-0.00037468
NIC259	-0.0016169
NIC260	-0.0010107
NIC261	-0.0012958
NIC262	-0.00068441
NIC265	-0.0019404
NIC266	-0.00075988
NIC267	-0.001762
NIC268	-0.0017263
NIC269	-0.0010368
NIC271	-0.00073168
NIC272	-0.0027491
NIC274	-0.0014039
NIC275	-0.00076125
NIC276	-0.0023362
NIC277	-0.0017562
NIC3	-0.0013933
NIC513	-0.0013424
NIC514	-0.00076206
NIC522	-0.0016051
NIC523	-0.0014776
PB303	-0.00054757
PS2025	-0.00093626
PX179	-0.00039352
QG2075	-0.00090249
QG536	-0.0020108
QG556	-0.00035835
QG557	0.00074806
QW947	-0.00069218
QX1212	-0.00096861
QX1233	-0.00085844
QX1791	-0.00076697
QX1792	-0.00042087
QX1793	-0.00067837
QX1794	-0.0018921
RC301	-0.0014113
WN2001	-0.0010901
WN2002	-0.00068211
WN2033	-0.0007773
XZ1513	0.00089771
XZ1514	-0.003707
XZ1516	-0.0013494
