strain	median
AB1	-0.18647
BRC20067	-0.50838
CB4852	-0.24811
CB4854	-0.65534
CB4856	-0.54177
CB4932	-0.30485
CX11254	-0.083934
CX11262	-0.014268
CX11264	-0.067965
CX11271	-0.48845
CX11276	-0.12984
CX11285	-0.32574
CX11292	-0.68177
CX11307	-0.33224
CX11314	-0.26788
CX11315	-0.20671
DL200	-0.11376
DL226	-0.41636
DL238	-0.2866
ECA246	-0.07889
ECA248	-0.73229
ECA250	-0.48335
ECA251	-0.42698
ECA252	-0.064705
ECA259	-0.37824
ECA348	-0.0045263
ECA349	-0.29483
ECA36	-1.2477
ECA363	-0.34236
ECA372	-0.39944
ECA396	-0.45777
ED3005	-0.20212
ED3011	-0.39165
ED3012	-0.53542
ED3017	-0.47485
ED3040	-0.85053
ED3046	-0.069956
ED3048	-0.94713
ED3049	-0.32425
ED3052	-0.58477
ED3073	-0.13638
ED3077	-0.46073
EG4347	-0.34904
EG4349	-0.1715
EG4724	-0.37878
EG4725	-0.20808
EG4946	-0.38965
GXW1	-0.76488
JT11398	-0.30837
JU1088	-0.31089
JU1172	-0.60959
JU1200	-0.39183
JU1212	-0.45349
JU1213	-0.95213
JU1242	-0.64775
JU1246	-1.5943
JU1395	-0.68303
JU1400	-0.23348
JU1409	-0.42994
JU1440	-0.14397
JU1491	-0.2947
JU1530	-0.16271
JU1543	-0.068421
JU1568	0.0072708
JU1580	-0.30766
JU1581	-0.86314
JU1586	-0.59243
JU1652	-0.23375
JU1793	-0.096207
JU1808	-0.24378
JU1896	-0.7197
JU2001	-0.26416
JU2007	-0.34369
JU2131	-0.38044
JU2141	-0.079167
JU2234	0.00089444
JU2464	-0.25172
JU2466	-0.27098
JU2513	-0.90214
JU2519	-0.47639
JU2522	-0.29869
JU2526	-0.6056
JU2534	-0.17646
JU2565	-0.1817
JU2566	-0.23144
JU2578	-1.6934
JU258	-0.42204
JU2587	-0.46884
JU2593	-0.35953
JU2600	-0.093666
JU2800	-0.70154
JU2862	-0.58478
JU2866	-0.1576
JU2878	-2.262
JU2879	-0.19145
JU2906	-0.11128
JU310	-0.21093
JU311	-0.14814
JU3125	-0.40052
JU3127	-0.47266
JU3134	-0.44907
JU3135	-0.49125
JU3137	-0.43546
JU3140	-0.16247
JU323	-0.26233
JU346	-0.12562
JU360	-0.42297
JU367	-0.21912
JU393	-0.22245
JU394	-0.74743
JU397	-0.15983
JU406	-0.34122
JU440	-0.32085
JU561	-0.51413
JU642	-0.27294
JU751	0.0060002
JU774	-0.90525
JU775	-0.19146
JU778	-0.59611
JU782	-0.24539
JU792	-0.13566
JU830	-0.15393
JU847	-0.16043
KR314	-0.062466
LKC34	-0.59508
LSJ1	-0.22977
MY1	-0.35292
MY10	-0.15814
MY16	-0.17001
MY18	-1.0045
MY2212	-0.63587
MY23	-0.50498
MY2453	-0.064183
MY2530	-0.59568
MY2535	-0.38401
MY2573	-0.31261
MY2693	-0.3304
MY2741	-0.44493
MY679	-0.56243
MY920	-0.54384
N2	-0.008996
NIC1	-0.35815
NIC1107	-0.21084
NIC166	-0.43433
NIC195	-0.99584
NIC199	-0.55291
NIC2	-0.59051
NIC207	-0.61387
NIC231	-1.0404
NIC236	-0.60879
NIC242	-0.31242
NIC251	-0.60209
NIC252	-0.1757
NIC255	-0.30226
NIC256	-0.49924
NIC258	-0.23367
NIC259	-0.70855
NIC260	-0.20498
NIC261	-0.60625
NIC262	-0.17261
NIC265	-0.41504
NIC266	-0.27848
NIC267	-1.4555
NIC268	-0.94052
NIC269	-0.1991
NIC271	-0.31678
NIC272	-0.65428
NIC274	-0.2585
NIC275	-0.23134
NIC276	-0.99832
NIC277	-0.91962
NIC3	-0.12401
NIC513	-0.84161
NIC514	-0.66417
NIC522	-0.22709
NIC523	-0.38541
PB303	-0.24912
PS2025	-0.38706
PX179	-0.62711
QG2075	-0.35902
QG536	-0.96632
QG556	-0.38731
QG557	-0.5822
QW947	-0.84021
QX1212	-0.084103
QX1233	-0.64354
QX1791	-0.27714
QX1792	-0.57873
QX1793	-0.30175
QX1794	-0.39288
RC301	-0.57651
WN2001	-0.25385
WN2002	-0.34639
WN2033	-0.38083
XZ1513	-0.18389
XZ1514	-0.0021392
XZ1516	-0.0052344
