strain	median
AB1	-0.0032505
BRC20067	-0.010853
CB4852	-0.0069616
CB4854	-0.0082038
CB4856	-0.0061451
CB4932	-0.0041827
CX11254	-0.0061648
CX11262	-0.0078573
CX11264	-0.003945
CX11271	-0.0085881
CX11276	-0.0015111
CX11285	-0.0071343
CX11292	-0.0073005
CX11307	-0.0075419
CX11314	-0.0062212
CX11315	-0.0040206
DL200	-0.0053003
DL226	-0.0066971
DL238	-0.0048521
ECA246	-0.0033273
ECA248	-0.013237
ECA250	-0.0054457
ECA251	-0.006754
ECA252	-0.0030059
ECA259	-0.006846
ECA348	-0.00032081
ECA349	-0.0052271
ECA36	-0.014306
ECA363	-0.0068661
ECA372	-0.005744
ECA396	-0.0096298
ED3005	-0.0042603
ED3011	-0.0096595
ED3012	-0.0068284
ED3017	-0.011821
ED3040	-0.0078653
ED3046	-0.0013664
ED3048	-0.0089061
ED3049	-0.0053816
ED3052	-0.007115
ED3073	-0.0032122
ED3077	-0.0091724
EG4347	-0.0045844
EG4349	-0.0032202
EG4724	-0.0050412
EG4725	-0.003576
EG4946	-0.0065325
GXW1	-0.0062849
JT11398	-0.0046114
JU1088	-0.0037765
JU1172	-0.0077108
JU1200	-0.0055155
JU1212	-0.0084629
JU1213	-0.0067687
JU1242	-0.0080809
JU1246	-0.0066498
JU1395	-0.0074097
JU1400	-0.0036283
JU1409	-0.007788
JU1440	-0.0050806
JU1491	-0.0042833
JU1530	-0.0039674
JU1543	-0.00489
JU1568	3.8059e-05
JU1580	-0.0064347
JU1581	-0.010689
JU1586	-0.0050388
JU1652	-0.0068323
JU1793	-0.0067972
JU1808	-0.0065024
JU1896	-0.0062033
JU2001	-0.0051838
JU2007	-0.0070298
JU2131	-0.0013049
JU2141	-0.0036122
JU2234	-0.0067619
JU2464	-0.0056074
JU2466	-0.0048401
JU2513	-0.008871
JU2519	-0.0071023
JU2522	-0.0029852
JU2526	-0.0077751
JU2534	-0.0064857
JU2565	-0.0037485
JU2566	-0.0041456
JU2578	-0.018284
JU258	-0.0058305
JU2587	-0.0050915
JU2593	-0.0045153
JU2600	-0.0017269
JU2800	-0.0088694
JU2862	-0.010382
JU2866	-0.004929
JU2878	-0.029113
JU2879	-0.0069021
JU2906	-0.002016
JU310	-0.0019858
JU311	-0.0050919
JU3125	-0.006768
JU3127	-0.0060943
JU3134	-0.0058587
JU3135	-0.0073672
JU3137	-0.0043211
JU3140	-0.0052525
JU323	-0.0038122
JU346	-0.004006
JU360	-0.007008
JU367	-0.0063298
JU393	-0.011061
JU394	-0.0085569
JU397	-0.0044436
JU406	-0.0067118
JU440	-0.006372
JU561	-0.0068821
JU642	-0.0076644
JU751	-0.0052627
JU774	-0.01315
JU775	-0.0029284
JU778	-0.0067483
JU782	-0.0042154
JU792	-0.004965
JU830	-0.0035923
JU847	-0.006267
KR314	-0.0040235
LKC34	-0.0089696
LSJ1	-0.0028177
MY1	-0.0038414
MY10	-0.0049882
MY16	-0.0037209
MY18	-0.0080417
MY2212	-0.0072369
MY23	-0.0075761
MY2453	-0.0024703
MY2530	-0.0083644
MY2535	-0.0054134
MY2573	-0.003276
MY2693	-0.0071652
MY2741	-0.0080973
MY679	-0.0023952
MY920	-0.0078664
N2	-0.00054704
NIC1	-0.0053361
NIC1107	-0.0061657
NIC166	-0.0055546
NIC195	-0.013599
NIC199	-0.0065209
NIC2	-0.0073232
NIC207	-0.0091265
NIC231	-0.011783
NIC236	-0.0085838
NIC242	-0.0057073
NIC251	-0.0072533
NIC252	-0.0053474
NIC255	-0.0031378
NIC256	-0.0056863
NIC258	-0.0033607
NIC259	-0.008446
NIC260	-0.0061891
NIC261	-0.01045
NIC262	-0.0071459
NIC265	-0.0063632
NIC266	-0.0046328
NIC267	-0.0082519
NIC268	-0.0082309
NIC269	-0.005947
NIC271	-0.0078094
NIC272	-0.0052558
NIC274	-0.0033971
NIC275	-0.0050775
NIC276	-0.0087972
NIC277	-0.012428
NIC3	-0.0056066
NIC513	-0.01317
NIC514	-0.0053725
NIC522	-0.0059722
NIC523	-0.0045708
PB303	-0.0064269
PS2025	-0.007662
PX179	-0.0062146
QG2075	-0.0047206
QG536	-0.011426
QG556	-0.0034133
QG557	-0.0066697
QW947	-0.011643
QX1212	-0.0028601
QX1233	-0.0025068
QX1791	-0.0074123
QX1792	-0.0060858
QX1793	-0.0026646
QX1794	-0.0069569
RC301	-0.0062253
WN2001	-0.0027236
WN2002	-0.0041518
WN2033	-0.0052582
XZ1513	-0.0035198
XZ1514	-0.0019802
XZ1516	-0.0029908
