strain	median
AB1	-6.52e-06
BRC20067	-0.00031607
CB4852	-0.00022289
CB4854	-0.00018871
CB4856	-0.00036781
CB4932	-0.00018458
CX11254	-0.00025217
CX11262	-0.00055814
CX11264	-0.00017096
CX11271	-0.00021485
CX11276	-0.00015644
CX11285	-0.00034967
CX11292	-0.00025919
CX11307	-0.00039318
CX11314	-0.00020686
CX11315	-0.00016062
DL200	-0.0001843
DL226	-0.00036058
DL238	-0.00016709
ECA246	-1.7586e-05
ECA248	-0.00035564
ECA250	-0.00050918
ECA251	-0.00023716
ECA252	-0.00014432
ECA259	-0.00023195
ECA348	-7.1097e-05
ECA349	-0.00025771
ECA36	-0.00071929
ECA363	-0.00061042
ECA372	-0.00023714
ECA396	-0.00074221
ED3005	-0.00012544
ED3011	-0.00048637
ED3012	-0.00038009
ED3017	-0.00026095
ED3040	-0.00027261
ED3046	-8.5166e-05
ED3048	-0.00026047
ED3049	-4.4562e-05
ED3052	-0.00020636
ED3073	6.7145e-06
ED3077	-0.00034286
EG4347	-3.4555e-05
EG4349	-9.7628e-05
EG4724	-0.00030048
EG4725	-0.00011979
EG4946	-0.00015011
GXW1	-0.00027533
JT11398	-0.00011505
JU1088	-6.402e-05
JU1172	-0.00022649
JU1200	-0.00021757
JU1212	-0.00026291
JU1213	-0.00027106
JU1242	-0.00027964
JU1246	-0.00022876
JU1395	-0.00021437
JU1400	-0.00013176
JU1409	-0.00020742
JU1440	-0.00011225
JU1491	-0.00012839
JU1530	-0.00010243
JU1543	-0.00059552
JU1568	0.00016899
JU1580	-0.00016035
JU1581	-0.00028329
JU1586	-0.00021423
JU1652	-0.00033772
JU1793	-0.00024865
JU1808	-0.00033295
JU1896	-0.00020508
JU2001	-0.00010218
JU2007	-0.0003503
JU2131	-0.00010339
JU2141	-0.00016911
JU2234	-0.00052021
JU2464	-0.00023199
JU2466	-0.00020266
JU2513	-0.00026731
JU2519	-6.284e-05
JU2522	9.8937e-05
JU2526	-0.00014068
JU2534	-0.00029438
JU2565	-0.0001508
JU2566	-0.00029483
JU2578	-0.00048645
JU258	-0.00023137
JU2587	-0.00018004
JU2593	-0.00010636
JU2600	-0.00010761
JU2800	-0.00040118
JU2862	-0.00037151
JU2866	-0.00026353
JU2878	-0.00038223
JU2879	-0.00040479
JU2906	-0.00037523
JU310	-9.7312e-05
JU311	-3.5549e-05
JU3125	-0.00029177
JU3127	-0.00026146
JU3134	3.0637e-05
JU3135	-0.00023978
JU3137	-0.000204
JU3140	-0.00028604
JU323	-4.8484e-05
JU346	-0.00011063
JU360	-0.000454
JU367	-0.0002315
JU393	-0.00032756
JU394	-0.00025117
JU397	-0.00035054
JU406	-0.00019807
JU440	-0.00030833
JU561	-0.00033785
JU642	-0.00032638
JU751	-0.00052181
JU774	-0.00045704
JU775	-8.9041e-05
JU778	-0.00030563
JU782	-0.00019224
JU792	-0.00021128
JU830	-0.00015484
JU847	-0.00034564
KR314	-0.00010283
LKC34	-0.00024851
LSJ1	-0.00013713
MY1	-0.00019701
MY10	-0.00010854
MY16	-0.00026561
MY18	-0.00025634
MY2212	-0.00028274
MY23	-0.00041411
MY2453	-0.00018863
MY2530	-0.00032053
MY2535	-0.00034836
MY2573	-6.2998e-05
MY2693	-0.00025296
MY2741	-0.0003627
MY679	-2.0254e-05
MY920	-9.6653e-05
N2	-4.6546e-05
NIC1	-0.00018691
NIC1107	-0.00024028
NIC166	-0.00015238
NIC195	-0.00036027
NIC199	-0.00029515
NIC2	-0.00016655
NIC207	-0.00027595
NIC231	-0.00049439
NIC236	-0.00030097
NIC242	-8.8152e-05
NIC251	-0.00029707
NIC252	-0.00030009
NIC255	-0.00016094
NIC256	-1.6108e-05
NIC258	-0.00017036
NIC259	-0.00034562
NIC260	-0.00018621
NIC261	-0.0002761
NIC262	-0.00031453
NIC265	-3.407e-05
NIC266	-0.00014329
NIC267	-0.00041464
NIC268	-0.00046161
NIC269	-0.00047505
NIC271	-0.00013268
NIC272	-0.00012759
NIC274	-0.00012171
NIC275	-0.0001459
NIC276	-0.00025165
NIC277	-0.00040463
NIC3	-0.00022726
NIC513	-0.00048397
NIC514	-0.00038693
NIC522	-0.00019587
NIC523	-0.00021475
PB303	-0.00021958
PS2025	-0.00023752
PX179	-0.00026355
QG2075	-3.9745e-05
QG536	-0.00036279
QG556	-7.8086e-05
QG557	-0.00041066
QW947	-0.0003127
QX1212	-0.00024586
QX1233	0.00011576
QX1791	-0.00016414
QX1792	-0.00018646
QX1793	-0.00010195
QX1794	-0.00027227
RC301	-0.00020336
WN2001	-0.00017421
WN2002	-0.00031125
WN2033	-0.00012615
XZ1513	-0.0003019
XZ1514	-0.00035395
XZ1516	-0.00014551
