strain	median
AB1	-0.050202
BRC20067	-0.1771
CB4852	-0.092173
CB4854	-0.27577
CB4856	-0.1593
CB4932	-0.094785
CX11254	-0.037742
CX11262	-0.028987
CX11264	-0.015465
CX11271	-0.16681
CX11276	-0.061834
CX11285	-0.10071
CX11292	-0.26659
CX11307	-0.12342
CX11314	-0.097147
CX11315	-0.05912
DL200	-0.077737
DL226	-0.13734
DL238	-0.088862
ECA246	-0.035524
ECA248	-0.26795
ECA250	-0.17263
ECA251	-0.16396
ECA252	-0.014074
ECA259	-0.092935
ECA348	0.011992
ECA349	-0.10278
ECA36	-0.44684
ECA363	-0.071283
ECA372	-0.13577
ECA396	-0.087359
ED3005	-0.080701
ED3011	-0.19638
ED3012	-0.17845
ED3017	-0.12118
ED3040	-0.29721
ED3046	-0.031072
ED3048	-0.28793
ED3049	-0.13354
ED3052	-0.24953
ED3073	-0.060042
ED3077	-0.19606
EG4347	-0.12095
EG4349	-0.047669
EG4724	-0.10423
EG4725	-0.072498
EG4946	-0.13595
GXW1	-0.20259
JT11398	-0.098648
JU1088	-0.10282
JU1172	-0.26881
JU1200	-0.10601
JU1212	-0.16136
JU1213	-0.32569
JU1242	-0.23599
JU1246	-0.56505
JU1395	-0.21886
JU1400	-0.039654
JU1409	-0.16562
JU1440	-0.072446
JU1491	-0.06661
JU1530	-0.048868
JU1543	-0.042805
JU1568	0.0016486
JU1580	-0.11983
JU1581	-0.25775
JU1586	-0.13588
JU1652	-0.064408
JU1793	-0.037791
JU1808	-0.077647
JU1896	-0.16634
JU2001	-0.057882
JU2007	-0.11964
JU2131	-0.076456
JU2141	-0.054134
JU2234	-0.019071
JU2464	-0.086452
JU2466	-0.05209
JU2513	-0.28076
JU2519	-0.11933
JU2522	-0.095093
JU2526	-0.18535
JU2534	-0.038115
JU2565	-0.036086
JU2566	-0.054249
JU2578	-0.67188
JU258	-0.11972
JU2587	-0.13921
JU2593	-0.12958
JU2600	-0.022199
JU2800	-0.24424
JU2862	-0.24051
JU2866	-0.063629
JU2878	-1.3175
JU2879	-0.045322
JU2906	-0.020014
JU310	-0.086189
JU311	-0.045612
JU3125	-0.079268
JU3127	-0.14079
JU3134	-0.16433
JU3135	-0.17932
JU3137	-0.090091
JU3140	-0.04374
JU323	-0.089919
JU346	-0.071928
JU360	-0.10918
JU367	-0.08133
JU393	-0.11873
JU394	-0.30509
JU397	-0.071843
JU406	-0.10215
JU440	-0.15672
JU561	-0.13996
JU642	-0.08846
JU751	-0.0042859
JU774	-0.23826
JU775	-0.074234
JU778	-0.1903
JU782	-0.056826
JU792	-0.066649
JU830	-0.021336
JU847	-0.065777
KR314	-0.044713
LKC34	-0.23421
LSJ1	-0.026193
MY1	-0.098847
MY10	-0.067723
MY16	-0.04233
MY18	-0.30488
MY2212	-0.25346
MY23	-0.14908
MY2453	-0.023317
MY2530	-0.25004
MY2535	-0.092449
MY2573	-0.10143
MY2693	-0.10829
MY2741	-0.15721
MY679	-0.15127
MY920	-0.19416
N2	-0.0046963
NIC1	-0.10167
NIC1107	-0.082636
NIC166	-0.12881
NIC195	-0.32278
NIC199	-0.14381
NIC2	-0.18587
NIC207	-0.17366
NIC231	-0.24998
NIC236	-0.21969
NIC242	-0.098532
NIC251	-0.12324
NIC252	-0.041323
NIC255	-0.070866
NIC256	-0.13515
NIC258	-0.059
NIC259	-0.2408
NIC260	-0.074743
NIC261	-0.2375
NIC262	-0.060592
NIC265	-0.1796
NIC266	-0.079115
NIC267	-0.48964
NIC268	-0.26692
NIC269	-0.077283
NIC271	-0.21255
NIC272	-0.21087
NIC274	-0.07008
NIC275	-0.074773
NIC276	-0.37337
NIC277	-0.2933
NIC3	-0.044108
NIC513	-0.34799
NIC514	-0.19446
NIC522	-0.0878
NIC523	-0.11469
PB303	-0.10763
PS2025	-0.18285
PX179	-0.12763
QG2075	-0.087201
QG536	-0.29332
QG556	-0.11362
QG557	-0.16137
QW947	-0.37614
QX1212	-0.032473
QX1233	-0.12076
QX1791	-0.074532
QX1792	-0.18382
QX1793	-0.060012
QX1794	-0.11044
RC301	-0.19618
WN2001	-0.076282
WN2002	-0.087499
WN2033	-0.10356
XZ1513	-0.056038
XZ1514	-0.00076755
XZ1516	-0.0072395
