strain	median
AB1	-0.10073
BRC20067	-0.44953
CB4852	-0.21943
CB4854	-0.78235
CB4856	-0.60533
CB4932	-0.4606
CX11254	-0.19922
CX11262	-0.17125
CX11264	-0.077298
CX11271	-0.63667
CX11276	-0.31792
CX11285	-0.42644
CX11292	-0.97089
CX11307	-0.35657
CX11314	-0.43996
CX11315	-0.21723
DL200	-0.27926
DL226	-0.49213
DL238	-0.39129
ECA246	-0.11315
ECA248	-0.90555
ECA250	-0.78949
ECA251	-0.81272
ECA252	-0.019234
ECA259	-0.36392
ECA348	0.054526
ECA349	-0.29703
ECA36	-1.2617
ECA363	-0.25185
ECA372	-0.57572
ECA396	-0.27642
ED3005	-0.26179
ED3011	-0.54208
ED3012	-0.44344
ED3017	-0.52227
ED3040	-0.76998
ED3046	-0.24223
ED3048	-0.79126
ED3049	-0.48212
ED3052	-0.66353
ED3073	-0.20437
ED3077	-0.44072
EG4347	-0.35554
EG4349	-0.26714
EG4724	-0.54429
EG4725	-0.23755
EG4946	-0.54321
GXW1	-0.72519
JT11398	-0.37389
JU1088	-0.42049
JU1172	-0.7138
JU1200	-0.40612
JU1212	-0.56523
JU1213	-0.81982
JU1242	-0.62669
JU1246	-1.1217
JU1395	-0.7323
JU1400	-0.073218
JU1409	-0.515
JU1440	-0.39613
JU1491	-0.26641
JU1530	-0.2137
JU1543	-0.41213
JU1568	-0.064046
JU1580	-0.31695
JU1581	-0.78244
JU1586	-0.47652
JU1652	-0.20777
JU1793	-0.27876
JU1808	-0.24378
JU1896	-0.46667
JU2001	-0.22616
JU2007	-0.53588
JU2131	-0.27669
JU2141	-0.25883
JU2234	-0.11563
JU2464	-0.24953
JU2466	-0.2969
JU2513	-0.92345
JU2519	-0.26148
JU2522	-0.3085
JU2526	-0.57242
JU2534	-0.32511
JU2565	-0.078563
JU2566	-0.19695
JU2578	-1.0265
JU258	-0.4169
JU2587	-0.40261
JU2593	-0.4636
JU2600	-0.1252
JU2800	-0.99701
JU2862	-0.89134
JU2866	-0.17093
JU2878	-2.2205
JU2879	-0.55531
JU2906	-0.16036
JU310	-0.21245
JU311	-0.2412
JU3125	-0.46563
JU3127	-0.44289
JU3134	-0.56972
JU3135	-0.67827
JU3137	-0.54487
JU3140	-0.18837
JU323	-0.35252
JU346	-0.22391
JU360	-0.41386
JU367	-0.30627
JU393	-0.31892
JU394	-0.77146
JU397	-0.24517
JU406	-0.36622
JU440	-0.73342
JU561	-0.36847
JU642	-0.3457
JU751	-0.07084
JU774	-0.43304
JU775	-0.38873
JU778	-0.83116
JU782	-0.23741
JU792	-0.2891
JU830	-0.15578
JU847	-0.29064
KR314	-0.087107
LKC34	-0.67687
LSJ1	-0.082374
MY1	-0.40687
MY10	-0.32399
MY16	-0.37308
MY18	-0.97796
MY2212	-0.75478
MY23	-0.46769
MY2453	-0.081506
MY2530	-0.85338
MY2535	-0.45347
MY2573	-0.49458
MY2693	-0.54201
MY2741	-0.67501
MY679	-0.3844
MY920	-0.66295
N2	-0.025313
NIC1	-0.55213
NIC1107	-0.355
NIC166	-0.44652
NIC195	-0.84843
NIC199	-0.57338
NIC2	-0.61477
NIC207	-0.48398
NIC231	-0.41601
NIC236	-0.74112
NIC242	-0.52897
NIC251	-0.44506
NIC252	-0.18885
NIC255	-0.38857
NIC256	-0.46438
NIC258	-0.10867
NIC259	-0.7462
NIC260	-0.25612
NIC261	-0.74946
NIC262	-0.37275
NIC265	-0.63654
NIC266	-0.41154
NIC267	-1.1882
NIC268	-0.62887
NIC269	-0.21603
NIC271	-0.87535
NIC272	-0.74709
NIC274	-0.3518
NIC275	-0.39529
NIC276	-0.66274
NIC277	-0.89381
NIC3	-0.28731
NIC513	-1.0164
NIC514	-0.59377
NIC522	-0.38818
NIC523	-0.49935
PB303	-0.25979
PS2025	-0.54197
PX179	-0.65262
QG2075	-0.2632
QG536	-0.78193
QG556	-0.38427
QG557	-0.56915
QW947	-0.95031
QX1212	-0.11106
QX1233	-0.33608
QX1791	-0.24595
QX1792	-0.60223
QX1793	-0.29312
QX1794	-0.50008
RC301	-0.68796
WN2001	-0.37097
WN2002	-0.3442
WN2033	-0.43536
XZ1513	-0.15349
XZ1514	0.001343
XZ1516	-0.062944
