strain	median
AB1	-0.0051847
BRC20067	-0.01154
CB4852	-0.0077715
CB4854	-0.013718
CB4856	-0.0087372
CB4932	-0.0068884
CX11254	-0.009439
CX11262	-0.010191
CX11264	-0.0064808
CX11271	-0.012562
CX11276	-0.0036117
CX11285	-0.0085292
CX11292	-0.008464
CX11307	-0.01167
CX11314	-0.0082971
CX11315	-0.0068129
DL200	-0.0069456
DL226	-0.012061
DL238	-0.0055693
ECA246	-0.0048586
ECA248	-0.015548
ECA250	-0.0076616
ECA251	-0.0098272
ECA252	-0.0038414
ECA259	-0.010331
ECA348	0.00034371
ECA349	-0.0089556
ECA36	-0.015699
ECA363	-0.0095244
ECA372	-0.010375
ECA396	-0.014904
ED3005	-0.0050637
ED3011	-0.014462
ED3012	-0.0094589
ED3017	-0.019465
ED3040	-0.011214
ED3046	-0.0030845
ED3048	-0.009065
ED3049	-0.006235
ED3052	-0.014353
ED3073	-0.0077876
ED3077	-0.012142
EG4347	-0.0071175
EG4349	-0.0060932
EG4724	-0.0059871
EG4725	-0.0044554
EG4946	-0.008992
GXW1	-0.012712
JT11398	-0.0057941
JU1088	-0.0044806
JU1172	-0.011036
JU1200	-0.0090509
JU1212	-0.012832
JU1213	-0.0099244
JU1242	-0.0097786
JU1246	-0.0094365
JU1395	-0.011494
JU1400	-0.0063535
JU1409	-0.012974
JU1440	-0.0064273
JU1491	-0.0083145
JU1530	-0.0056636
JU1543	-0.011068
JU1568	0.0021934
JU1580	-0.0095574
JU1581	-0.014987
JU1586	-0.012253
JU1652	-0.0089414
JU1793	-0.0065046
JU1808	-0.0092682
JU1896	-0.0083052
JU2001	-0.0078508
JU2007	-0.011627
JU2131	-0.0032783
JU2141	-0.0068339
JU2234	-0.007391
JU2464	-0.010097
JU2466	-0.0063566
JU2513	-0.011044
JU2519	-0.0063
JU2522	-0.0042305
JU2526	-0.012959
JU2534	-0.010742
JU2565	-0.0061304
JU2566	-0.011472
JU2578	-0.01875
JU258	-0.0081165
JU2587	-0.0064954
JU2593	-0.0072039
JU2600	-0.011108
JU2800	-0.012229
JU2862	-0.012387
JU2866	-0.012061
JU2878	-0.037452
JU2879	-0.011303
JU2906	-0.0013109
JU310	-0.004013
JU311	-0.006314
JU3125	-0.011281
JU3127	-0.0083789
JU3134	-0.0066041
JU3135	-0.008557
JU3137	-0.0083866
JU3140	-0.0090988
JU323	-0.0044076
JU346	-0.0057965
JU360	-0.014074
JU367	-0.010254
JU393	-0.011808
JU394	-0.0097595
JU397	-0.0087465
JU406	-0.012833
JU440	-0.01209
JU561	-0.0093524
JU642	-0.012167
JU751	-0.010759
JU774	-0.020725
JU775	-0.0053583
JU778	-0.0088944
JU782	-0.0051886
JU792	-0.014647
JU830	-0.0085838
JU847	-0.010507
KR314	-0.010736
LKC34	-0.015635
LSJ1	-0.0063097
MY1	-0.0075983
MY10	-0.0085141
MY16	-0.0081817
MY18	-0.012537
MY2212	-0.011178
MY23	-0.010772
MY2453	-0.0052531
MY2530	-0.011513
MY2535	-0.0088929
MY2573	-0.0049729
MY2693	-0.009705
MY2741	-0.012036
MY679	-0.0025452
MY920	-0.0089048
N2	-0.0012767
NIC1	-0.0088701
NIC1107	-0.010846
NIC166	-0.0072375
NIC195	-0.018007
NIC199	-0.0077911
NIC2	-0.011342
NIC207	-0.015898
NIC231	-0.016024
NIC236	-0.012482
NIC242	-0.0073215
NIC251	-0.0089673
NIC252	-0.0074359
NIC255	-0.0089395
NIC256	-0.0084489
NIC258	-0.0061758
NIC259	-0.012196
NIC260	-0.0081935
NIC261	-0.016298
NIC262	-0.010351
NIC265	-0.010775
NIC266	-0.0065088
NIC267	-0.011496
NIC268	-0.012818
NIC269	-0.0093449
NIC271	-0.012868
NIC272	-0.0089835
NIC274	-0.0034914
NIC275	-0.0069343
NIC276	-0.015637
NIC277	-0.020147
NIC3	-0.0057271
NIC513	-0.019464
NIC514	-0.010473
NIC522	-0.0088774
NIC523	-0.0057227
PB303	-0.0088288
PS2025	-0.010867
PX179	-0.011901
QG2075	-0.0055891
QG536	-0.015225
QG556	-0.0043098
QG557	-0.012908
QW947	-0.018432
QX1212	-0.0013101
QX1233	-0.0041722
QX1791	-0.009323
QX1792	-0.0070302
QX1793	-0.0029048
QX1794	-0.0081982
RC301	-0.0091307
WN2001	-0.0059835
WN2002	-0.0097436
WN2033	-0.0063192
XZ1513	-0.0036063
XZ1514	-0.0010058
XZ1516	-0.0043961
