strain	median
AB1	-0.82747
BRC20067	-1.6229
CB4852	-0.82615
CB4854	-2.3676
CB4856	-2.1269
CB4932	-1.549
CX11254	-0.89557
CX11262	-0.64609
CX11264	-0.51968
CX11271	-3.4051
CX11276	-1.4303
CX11285	-1.3517
CX11292	-2.9423
CX11307	-1.1836
CX11314	-1.7162
CX11315	-0.99075
DL200	-1.1144
DL226	-1.3232
DL238	-1.0603
ECA246	-0.78979
ECA248	-2.6161
ECA250	-2.4398
ECA251	-2.2039
ECA252	-0.24922
ECA259	-1.3775
ECA348	0.87694
ECA349	-1.3088
ECA36	-4.5833
ECA363	-1.105
ECA372	-2.0491
ECA396	-1.7607
ED3005	-1.0852
ED3011	-1.7125
ED3012	-1.9013
ED3017	-1.503
ED3040	-2.3687
ED3046	-0.88836
ED3048	-2.3672
ED3049	-1.6672
ED3052	-2.1075
ED3073	-0.26269
ED3077	-1.1063
EG4347	-1.5519
EG4349	-0.13145
EG4724	-1.9942
EG4725	-0.79257
EG4946	-1.5562
GXW1	-2.6959
JT11398	-1.0935
JU1088	-1.7094
JU1172	-2.8493
JU1200	-1.7186
JU1212	-2.1704
JU1213	-2.2729
JU1242	-2.5768
JU1246	-2.5266
JU1395	-2.0382
JU1400	-0.51311
JU1409	-2.6311
JU1440	-1.4436
JU1491	-0.70848
JU1530	-1.2614
JU1543	-0.93744
JU1568	0.2772
JU1580	-1.3738
JU1581	-2.1751
JU1586	-2.1903
JU1652	-1.3002
JU1793	-1.2635
JU1808	-1.4823
JU1896	-1.4608
JU2001	-1.2899
JU2007	-1.2805
JU2131	-1.1311
JU2141	-0.044486
JU2234	-0.28754
JU2464	-1.0983
JU2466	-1.1202
JU2513	-2.2978
JU2519	-0.93769
JU2522	-1.2104
JU2526	-1.6878
JU2534	-0.92397
JU2565	-0.56476
JU2566	-1.5822
JU2578	-3.0286
JU258	-1.6452
JU2587	-1.3725
JU2593	-1.4378
JU2600	-0.12686
JU2800	-2.7453
JU2862	-2.9551
JU2866	-0.99196
JU2878	-5.1776
JU2879	-1.4322
JU2906	-1.3051
JU310	-1.949
JU311	-0.62945
JU3125	-0.70342
JU3127	-1.9531
JU3134	-2.5601
JU3135	-0.9757
JU3137	-1.3209
JU3140	-0.49931
JU323	-1.5053
JU346	-1.1948
JU360	-2.6308
JU367	-0.87413
JU393	-0.91648
JU394	-2.4058
JU397	-1.1669
JU406	-1.4309
JU440	-1.7881
JU561	-1.0346
JU642	-1.945
JU751	-0.46655
JU774	-1.959
JU775	-0.92589
JU778	-2.4907
JU782	-0.71667
JU792	-0.19426
JU830	-0.96883
JU847	-1.0893
KR314	0.24382
LKC34	-2.0913
LSJ1	0.081988
MY1	-1.8162
MY10	-1.5217
MY16	-0.9972
MY18	-2.2271
MY2212	-2.4585
MY23	-2.1166
MY2453	-0.056729
MY2530	-2.6529
MY2535	-2.0465
MY2573	-1.4825
MY2693	-1.6447
MY2741	-1.4849
MY679	-1.9627
MY920	-2.3029
N2	-0.1909
NIC1	-1.815
NIC1107	-0.0048103
NIC166	-1.3189
NIC195	-1.7579
NIC199	-2.2213
NIC2	-1.5874
NIC207	-2.3073
NIC231	-1.4031
NIC236	-2.6418
NIC242	-1.6945
NIC251	-1.5364
NIC252	-1.9638
NIC255	-1.256
NIC256	-1.5554
NIC258	-1.1361
NIC259	-2.0304
NIC260	-0.48973
NIC261	-2.4993
NIC262	-1.1695
NIC265	-1.7967
NIC266	-1.4923
NIC267	-0.44659
NIC268	-2.5405
NIC269	-0.81112
NIC271	-1.8805
NIC272	-2.3435
NIC274	-1.2888
NIC275	-1.4533
NIC276	-1.7103
NIC277	-2.6006
NIC3	-1.4581
NIC513	-2.7156
NIC514	-1.5293
NIC522	-1.2977
NIC523	-1.2915
PB303	-1.0241
PS2025	-0.95374
PX179	-2.1781
QG2075	-1.9792
QG536	-2.1247
QG556	-1.59
QG557	-2.265
QW947	-1.7959
QX1212	-0.11459
QX1233	-2.0235
QX1791	-1.3547
QX1792	-1.3152
QX1793	-1.2846
QX1794	-1.4022
RC301	-2.6429
WN2001	-1.9459
WN2002	-1.008
WN2033	-1.6146
XZ1513	-1.6304
XZ1514	0.0021013
XZ1516	-0.33654
