strain	median
AB1	-0.050736
BRC20067	-0.20215
CB4852	-0.12051
CB4854	-0.32005
CB4856	-0.20391
CB4932	-0.13736
CX11254	-0.097445
CX11262	-0.033535
CX11264	-0.038002
CX11271	-0.18492
CX11276	-0.089471
CX11285	-0.14085
CX11292	-0.32775
CX11307	-0.1696
CX11314	-0.1474
CX11315	-0.09909
DL200	-0.089421
DL226	-0.2194
DL238	-0.13363
ECA246	-0.048802
ECA248	-0.35049
ECA250	-0.21882
ECA251	-0.25823
ECA252	-0.013829
ECA259	-0.18163
ECA348	0.00055476
ECA349	-0.14148
ECA36	-0.49401
ECA363	-0.064054
ECA372	-0.18336
ECA396	-0.117
ED3005	-0.094208
ED3011	-0.25608
ED3012	-0.17841
ED3017	-0.24468
ED3040	-0.32678
ED3046	-0.05708
ED3048	-0.29599
ED3049	-0.15886
ED3052	-0.26227
ED3073	-0.11523
ED3077	-0.25224
EG4347	-0.13837
EG4349	-0.08086
EG4724	-0.15871
EG4725	-0.074374
EG4946	-0.17868
GXW1	-0.27343
JT11398	-0.16803
JU1088	-0.13812
JU1172	-0.31843
JU1200	-0.18515
JU1212	-0.22024
JU1213	-0.28594
JU1242	-0.27439
JU1246	-0.57102
JU1395	-0.27327
JU1400	-0.066852
JU1409	-0.22803
JU1440	-0.1139
JU1491	-0.11274
JU1530	-0.088408
JU1543	-0.085011
JU1568	-0.017554
JU1580	-0.14575
JU1581	-0.36327
JU1586	-0.20874
JU1652	-0.077188
JU1793	-0.11964
JU1808	-0.1335
JU1896	-0.18475
JU2001	-0.099973
JU2007	-0.22543
JU2131	-0.078424
JU2141	-0.073164
JU2234	-0.034348
JU2464	-0.1165
JU2466	-0.083273
JU2513	-0.39159
JU2519	-0.082827
JU2522	-0.11506
JU2526	-0.18672
JU2534	-0.12702
JU2565	-0.07054
JU2566	-0.079235
JU2578	-0.53023
JU258	-0.16699
JU2587	-0.1726
JU2593	-0.16663
JU2600	-0.060786
JU2800	-0.32315
JU2862	-0.28373
JU2866	-0.10237
JU2878	-1.0973
JU2879	-0.10288
JU2906	-0.050354
JU310	-0.089351
JU311	-0.084243
JU3125	-0.15131
JU3127	-0.17332
JU3134	-0.17408
JU3135	-0.21718
JU3137	-0.18633
JU3140	-0.067937
JU323	-0.10235
JU346	-0.093203
JU360	-0.18179
JU367	-0.1132
JU393	-0.16197
JU394	-0.2992
JU397	-0.074911
JU406	-0.12248
JU440	-0.2462
JU561	-0.17562
JU642	-0.12465
JU751	-0.026623
JU774	-0.25804
JU775	-0.12053
JU778	-0.29008
JU782	-0.081254
JU792	-0.091336
JU830	-0.048107
JU847	-0.10513
KR314	-0.064302
LKC34	-0.2748
LSJ1	-0.058285
MY1	-0.14087
MY10	-0.13083
MY16	-0.07112
MY18	-0.34166
MY2212	-0.34983
MY23	-0.18121
MY2453	-0.044999
MY2530	-0.43499
MY2535	-0.17045
MY2573	-0.1392
MY2693	-0.21629
MY2741	-0.20546
MY679	-0.11418
MY920	-0.28596
N2	-0.009887
NIC1	-0.16716
NIC1107	-0.053734
NIC166	-0.16735
NIC195	-0.42296
NIC199	-0.17445
NIC2	-0.21098
NIC207	-0.20922
NIC231	-0.22695
NIC236	-0.24302
NIC242	-0.14772
NIC251	-0.16855
NIC252	-0.055557
NIC255	-0.12345
NIC256	-0.1989
NIC258	-0.054084
NIC259	-0.27046
NIC260	-0.10996
NIC261	-0.26085
NIC262	-0.12573
NIC265	-0.21996
NIC266	-0.13187
NIC267	-0.49894
NIC268	-0.30911
NIC269	-0.12149
NIC271	-0.38133
NIC272	-0.28327
NIC274	-0.091598
NIC275	-0.12664
NIC276	-0.29239
NIC277	-0.41074
NIC3	-0.075608
NIC513	-0.35942
NIC514	-0.23611
NIC522	-0.13407
NIC523	-0.16035
PB303	-0.13518
PS2025	-0.21815
PX179	-0.18638
QG2075	-0.093985
QG536	-0.33367
QG556	-0.14946
QG557	-0.19922
QW947	-0.3869
QX1212	-0.044173
QX1233	-0.16696
QX1791	-0.076899
QX1792	-0.22326
QX1793	-0.07859
QX1794	-0.14662
RC301	-0.19895
WN2001	-0.098594
WN2002	-0.1113
WN2033	-0.14918
XZ1513	-0.10169
XZ1514	0.0028201
XZ1516	-0.012758
