strain	median
AB1	-0.00029027
BRC20067	-0.00011856
CB4852	-0.00010922
CB4854	-0.00024906
CB4856	-9.7409e-05
CB4932	-0.00032267
CX11254	-2.6563e-05
CX11262	-8.7185e-05
CX11264	-0.0001206
CX11271	-0.00012033
CX11276	-0.00011917
CX11285	-8.2819e-05
CX11292	-0.00019
CX11307	-4.6894e-05
CX11314	-0.00010197
CX11315	-2.1906e-06
DL200	-0.00010211
DL226	-0.00020135
DL238	-0.00017558
ECA246	-4.9161e-05
ECA248	-0.00034669
ECA250	-3.989e-05
ECA251	-0.00022222
ECA252	-0.00023794
ECA259	-5.1992e-05
ECA348	-3.5154e-05
ECA349	-0.00015163
ECA36	-2.4307e-05
ECA363	-9.3694e-05
ECA372	-0.00013156
ECA396	5.9945e-05
ED3005	-0.00055827
ED3011	-0.00022288
ED3012	-7.0246e-05
ED3017	-0.00019135
ED3040	-0.00035587
ED3046	-0.00046197
ED3048	-0.0001447
ED3049	-9.689e-05
ED3052	-0.00017452
ED3073	-0.00018978
ED3077	-0.00020378
EG4347	-0.00025461
EG4349	-0.00034635
EG4724	-0.00024375
EG4725	-0.00026738
EG4946	-0.00017416
GXW1	-0.00028706
JT11398	-0.00032193
JU1088	-0.00016281
JU1172	1.7588e-05
JU1200	-0.00016552
JU1212	-0.00017445
JU1213	-0.00018968
JU1242	-0.00022078
JU1246	-0.00027907
JU1395	-0.00021911
JU1400	-6.4999e-05
JU1409	-0.00016622
JU1440	-0.00016964
JU1491	-0.00018004
JU1530	-0.00010417
JU1543	-0.00019011
JU1568	-0.00044062
JU1580	-0.00010864
JU1581	-0.00010112
JU1586	-0.00026008
JU1652	-8.9467e-05
JU1793	-8.8761e-05
JU1808	-0.00035341
JU1896	-0.00026984
JU2001	-0.00011283
JU2007	-0.0001756
JU2131	-0.00018421
JU2141	-0.0001703
JU2234	-0.00011577
JU2464	-0.00028981
JU2466	-0.00027642
JU2513	-0.00015041
JU2519	-0.00033543
JU2522	-0.00024011
JU2526	-0.00026417
JU2534	-0.0001326
JU2565	-0.00020708
JU2566	-0.00018999
JU2578	-0.00023908
JU258	-8.1159e-05
JU2587	-0.00042975
JU2593	-0.00013938
JU2600	-0.00016189
JU2800	-0.00016967
JU2862	-2.452e-05
JU2866	-2.0146e-05
JU2878	-0.00012916
JU2879	-4.731e-05
JU2906	1.4844e-05
JU310	-0.00018482
JU311	-0.00013416
JU3125	-0.00019597
JU3127	-0.00015733
JU3134	-0.00021977
JU3135	-0.00027339
JU3137	-9.0845e-05
JU3140	-0.00015411
JU323	-0.00019885
JU346	-0.00020975
JU360	-7.1857e-05
JU367	-7.7954e-05
JU393	-0.00041519
JU394	-0.00033316
JU397	-7.2558e-05
JU406	-0.00016557
JU440	-5.3651e-05
JU561	-0.00024001
JU642	-3.3327e-05
JU751	-0.00028564
JU774	2.8407e-05
JU775	-0.00024691
JU778	-0.00019626
JU782	-0.00028498
JU792	-0.00021548
JU830	-0.00035441
JU847	-0.00011638
KR314	-0.00046411
LKC34	-0.00027889
LSJ1	2.7347e-05
MY1	-0.00019803
MY10	4.637e-05
MY16	-0.00016065
MY18	-0.00022719
MY2212	-0.0001377
MY23	-0.00014192
MY2453	-0.00023616
MY2530	-0.00034612
MY2535	-0.00014779
MY2573	-0.00015906
MY2693	-0.00011684
MY2741	-0.0002235
MY679	-0.00012728
MY920	-3.3877e-05
N2	-0.00019217
NIC1	-0.00035393
NIC1107	0.00012325
NIC166	-0.00020838
NIC195	-0.00010179
NIC199	-6.3085e-05
NIC2	-0.00016233
NIC207	-6.6173e-05
NIC231	-0.00023484
NIC236	-0.00025821
NIC242	-0.00022671
NIC251	-0.00030199
NIC252	-8.5333e-05
NIC255	-6.5831e-05
NIC256	-0.0001817
NIC258	-9.0763e-05
NIC259	-4.7867e-05
NIC260	-8.4466e-05
NIC261	-0.00012541
NIC262	-4.6967e-05
NIC265	-0.00024484
NIC266	-9.9095e-06
NIC267	-0.00027815
NIC268	-0.00016726
NIC269	-5.7027e-05
NIC271	-0.0002481
NIC272	-0.0002229
NIC274	-0.0001203
NIC275	-0.00017906
NIC276	-0.00017183
NIC277	-0.00016049
NIC3	-0.00018122
NIC513	-0.00024592
NIC514	-0.00018196
NIC522	-0.00026415
NIC523	-0.00015356
PB303	-0.00016872
PS2025	-3.953e-05
PX179	-5.9451e-05
QG2075	-5.9231e-05
QG536	-0.00017907
QG556	-0.00011141
QG557	3.3033e-05
QW947	-4.8949e-05
QX1212	-0.00016798
QX1233	-0.00021898
QX1791	1.4333e-06
QX1792	-0.0001707
QX1793	-0.00030121
QX1794	-0.00013458
RC301	-0.00019053
WN2001	-0.00019532
WN2002	-0.00016211
WN2033	-7.0491e-05
XZ1513	2.0783e-05
XZ1514	6.7983e-05
XZ1516	-7.0622e-05
