strain	median
AB1	-0.030229
BRC20067	-0.021349
CB4852	-0.00886
CB4854	-0.028495
CB4856	-0.023426
CB4932	-0.013337
CX11254	-0.0064598
CX11262	-0.026536
CX11264	0.0023003
CX11271	-0.040679
CX11276	-0.012484
CX11285	-0.012982
CX11292	-0.031142
CX11307	-0.039786
CX11314	-0.019575
CX11315	-0.022929
DL200	0.0012889
DL226	-0.0082348
DL238	-0.029211
ECA246	-0.013206
ECA248	-0.036833
ECA250	-0.015907
ECA251	-0.040185
ECA252	-0.0056959
ECA259	-0.030904
ECA348	-0.010133
ECA349	-0.032845
ECA36	-0.039181
ECA363	-0.013553
ECA372	-0.047024
ECA396	-0.010494
ED3005	-0.019881
ED3011	-0.06966
ED3012	-0.034927
ED3017	-0.047867
ED3040	-0.046877
ED3046	-0.019132
ED3048	-0.043074
ED3049	-0.013672
ED3052	-0.027852
ED3073	-0.0074162
ED3077	-0.036397
EG4347	-0.017183
EG4349	-0.022211
EG4724	-0.018967
EG4725	-0.0058429
EG4946	-0.029723
GXW1	-0.02861
JT11398	-0.022961
JU1088	-0.01364
JU1172	-0.0034235
JU1200	-0.0083851
JU1212	-0.015611
JU1213	-0.02728
JU1242	-0.038934
JU1246	-0.058512
JU1395	-0.015819
JU1400	-0.0042085
JU1409	-0.017792
JU1440	-0.047397
JU1491	-0.01522
JU1530	-0.011719
JU1543	-0.017706
JU1568	0.0003482
JU1580	-0.024907
JU1581	-0.049615
JU1586	-0.013695
JU1652	-0.015758
JU1793	-0.024808
JU1808	-0.014367
JU1896	-0.011563
JU2001	-0.010863
JU2007	-0.022263
JU2131	-0.017841
JU2141	-0.019507
JU2234	-0.006493
JU2464	-0.035061
JU2466	-0.015976
JU2513	-0.03152
JU2519	-0.022829
JU2522	-0.012935
JU2526	-0.048386
JU2534	-0.0059948
JU2565	-0.012002
JU2566	-0.013886
JU2578	-0.033253
JU258	-0.021564
JU2587	-0.054944
JU2593	-0.022795
JU2600	-0.0066686
JU2800	-0.052195
JU2862	-0.053665
JU2866	-0.02016
JU2878	-0.11881
JU2879	-0.019155
JU2906	0.0011438
JU310	-0.00399
JU311	-0.016044
JU3125	-0.019462
JU3127	-0.035149
JU3134	-0.012521
JU3135	-0.037741
JU3137	-0.010784
JU3140	-0.011709
JU323	-0.013115
JU346	-0.020918
JU360	-0.018019
JU367	-0.0090289
JU393	-0.019667
JU394	-0.023126
JU397	-0.0067284
JU406	-0.0060479
JU440	-0.018812
JU561	-0.028446
JU642	-0.010467
JU751	-0.0051017
JU774	-0.03245
JU775	-0.027304
JU778	-0.02134
JU782	-0.020042
JU792	-0.017685
JU830	-0.004179
JU847	-0.018313
KR314	0.0010206
LKC34	-0.017819
LSJ1	-0.018658
MY1	-0.014403
MY10	-0.010822
MY16	-0.0091715
MY18	-0.04027
MY2212	-0.037311
MY23	-0.037952
MY2453	-0.022392
MY2530	-0.031837
MY2535	-0.019862
MY2573	-0.007484
MY2693	-0.014732
MY2741	-0.042695
MY679	-0.039261
MY920	-0.0081072
N2	-0.0027622
NIC1	-0.0094851
NIC1107	-0.013273
NIC166	-0.045699
NIC195	-0.043474
NIC199	-0.030133
NIC2	-0.029828
NIC207	-0.019838
NIC231	-0.026337
NIC236	-0.020065
NIC242	-0.014918
NIC251	-0.025461
NIC252	-0.0067684
NIC255	-0.0061208
NIC256	-0.024867
NIC258	-0.0027957
NIC259	-0.011778
NIC260	-0.020363
NIC261	-0.015455
NIC262	-0.0064622
NIC265	-0.026512
NIC266	-0.021542
NIC267	-0.029563
NIC268	-0.018253
NIC269	-0.0017926
NIC271	-0.0097164
NIC272	-0.039336
NIC274	-0.017193
NIC275	-0.02001
NIC276	-0.060956
NIC277	-0.027939
NIC3	-0.011553
NIC513	-0.043412
NIC514	-0.020531
NIC522	-0.0095626
NIC523	-0.018774
PB303	-0.023961
PS2025	-0.031923
PX179	-0.023352
QG2075	-0.017153
QG536	-0.021758
QG556	-0.022371
QG557	-0.041541
QW947	-0.049958
QX1212	-0.016532
QX1233	-0.0047406
QX1791	-0.025096
QX1792	-0.042924
QX1793	-0.011933
QX1794	-0.0019766
RC301	-0.021296
WN2001	-0.0098315
WN2002	-0.014353
WN2033	-0.016981
XZ1513	-0.016289
XZ1514	-0.00018738
XZ1516	0.0029929
