strain	median
AB1	-0.00016135
BRC20067	-0.0010615
CB4852	-0.00052047
CB4854	-0.00063781
CB4856	-0.00043443
CB4932	-0.00072055
CX11254	-0.000263
CX11262	-0.00040412
CX11264	-0.00061832
CX11271	-0.00022563
CX11276	-0.00079625
CX11285	-0.00042887
CX11292	-0.00026347
CX11307	-0.00073154
CX11314	-0.00041347
CX11315	-0.00082563
DL200	-0.00065664
DL226	-0.00066327
DL238	-0.00084087
ECA246	-0.0010128
ECA248	-0.00072845
ECA250	-0.00031043
ECA251	-0.00090142
ECA252	-0.00050477
ECA259	-0.0007008
ECA348	-0.00083888
ECA349	-0.00092368
ECA36	-0.00096442
ECA363	-0.00033409
ECA372	-0.0010294
ECA396	-0.0009796
ED3005	-0.00030656
ED3011	-0.0016205
ED3012	-0.00018304
ED3017	-0.00099021
ED3040	-0.00056223
ED3046	-0.00056073
ED3048	-0.00057659
ED3049	-0.0002269
ED3052	-0.0007132
ED3073	-0.00042154
ED3077	-0.00012577
EG4347	-0.00037958
EG4349	-0.0004666
EG4724	-0.00036833
EG4725	-0.00041083
EG4946	-0.00056767
GXW1	-0.0002797
JT11398	-0.00040709
JU1088	-0.0005645
JU1172	-0.00062547
JU1200	-0.00050249
JU1212	-0.00061233
JU1213	-0.00029028
JU1242	-0.00058399
JU1246	-0.0002511
JU1395	-0.00056177
JU1400	-0.00042852
JU1409	-0.00057544
JU1440	-0.0005944
JU1491	-0.00061413
JU1530	-0.00034824
JU1543	-0.00047421
JU1568	1.4e-05
JU1580	-0.00019592
JU1581	-0.00056141
JU1586	-0.00032029
JU1652	-0.00077877
JU1793	-0.00089794
JU1808	-0.0004337
JU1896	-0.00062384
JU2001	-0.00030941
JU2007	-0.00079236
JU2131	-0.00032801
JU2141	-0.001034
JU2234	-0.0012167
JU2464	-0.00056655
JU2466	-0.00031605
JU2513	-0.00060811
JU2519	-0.00033044
JU2522	-0.00051811
JU2526	-0.0003441
JU2534	-0.00070861
JU2565	-0.00039645
JU2566	-0.00072673
JU2578	-0.00052116
JU258	-0.00094628
JU2587	-0.00027447
JU2593	-0.00058388
JU2600	-0.00066845
JU2800	-0.00054767
JU2862	-0.0017344
JU2866	-0.001299
JU2878	-0.00098032
JU2879	-0.00074247
JU2906	-0.0016097
JU310	-0.00026749
JU311	-0.00054322
JU3125	-0.001011
JU3127	-0.00034689
JU3134	-0.00030868
JU3135	-0.00048073
JU3137	-0.00062923
JU3140	-0.0010905
JU323	-0.00034421
JU346	-0.00043952
JU360	-0.00058038
JU367	-0.00027354
JU393	-0.00063012
JU394	-0.00028991
JU397	-0.0007799
JU406	-0.00051041
JU440	-0.00045546
JU561	-0.00037121
JU642	-0.00052269
JU751	-0.00081285
JU774	-0.00083709
JU775	-0.00022629
JU778	-0.00062912
JU782	-0.0003373
JU792	-0.0012311
JU830	-0.00047103
JU847	-0.00078468
KR314	-0.00079296
LKC34	-0.00044842
LSJ1	-0.0003195
MY1	-0.00049351
MY10	-0.00018081
MY16	-0.00028603
MY18	-0.00035081
MY2212	-0.00032574
MY23	-0.00053231
MY2453	-0.0010607
MY2530	-0.00055054
MY2535	-0.00071043
MY2573	-0.00018062
MY2693	-0.00047981
MY2741	-0.00054992
MY679	-0.00087694
MY920	-0.00054922
N2	-7.3152e-05
NIC1	-0.00028849
NIC1107	-0.0010128
NIC166	-0.00062959
NIC195	-0.00073459
NIC199	-0.00083384
NIC2	-0.00069958
NIC207	-0.00057948
NIC231	-0.00082659
NIC236	-0.00059313
NIC242	-0.0007243
NIC251	-0.00045591
NIC252	-0.00044048
NIC255	-9.1407e-05
NIC256	-0.00046859
NIC258	-0.00021017
NIC259	-0.00024993
NIC260	-0.0005341
NIC261	-0.0003004
NIC262	-0.00045093
NIC265	-0.00016308
NIC266	-0.00034883
NIC267	-0.00054513
NIC268	-0.00016828
NIC269	-0.0004027
NIC271	-0.00052601
NIC272	-0.00079147
NIC274	-0.00053279
NIC275	-0.0008497
NIC276	-0.00055078
NIC277	-0.00089791
NIC3	-0.00052008
NIC513	-0.00074919
NIC514	-0.00018219
NIC522	-0.00049243
NIC523	-0.00023647
PB303	-0.0012481
PS2025	-0.00044811
PX179	-0.00064459
QG2075	-0.0001609
QG536	-0.0005481
QG556	-0.00015923
QG557	-0.00055315
QW947	-0.00062814
QX1212	-0.00076026
QX1233	-5.4279e-05
QX1791	-3.9173e-05
QX1792	-0.00044407
QX1793	-0.00038268
QX1794	-0.00041091
RC301	-0.0002363
WN2001	-6.6906e-05
WN2002	-0.00068872
WN2033	-0.00044019
XZ1513	-0.0016732
XZ1514	9.7133e-05
XZ1516	-0.00056204
