strain	median
AB1	-0.005396
BRC20067	-0.016607
CB4852	-0.01182
CB4854	-0.0083267
CB4856	-0.0097343
CB4932	-0.0071165
CX11254	-0.0052846
CX11262	-0.0048481
CX11264	-0.0039436
CX11271	-0.0077715
CX11276	-0.0013732
CX11285	-0.0046588
CX11292	-0.010014
CX11307	-0.0094564
CX11314	-0.0050316
CX11315	-0.0049085
DL200	-0.00359
DL226	-0.006752
DL238	-0.010295
ECA246	-0.0088464
ECA248	-0.016692
ECA250	-0.0018503
ECA251	-0.012236
ECA252	-0.0029478
ECA259	-0.014842
ECA348	-0.0027389
ECA349	-0.0070291
ECA36	-0.019787
ECA363	-0.0045987
ECA372	-0.015639
ECA396	-0.0076001
ED3005	-0.0070901
ED3011	-0.015877
ED3012	-0.0062176
ED3017	-0.011713
ED3040	-0.010856
ED3046	-0.0061793
ED3048	-0.010642
ED3049	-0.0075301
ED3052	-0.013261
ED3073	-0.0058157
ED3077	-0.015803
EG4347	-0.0051542
EG4349	-0.007169
EG4724	-0.0066169
EG4725	-0.0061693
EG4946	-0.012944
GXW1	-0.0076735
JT11398	-0.0070091
JU1088	-0.0087965
JU1172	-0.0092184
JU1200	-0.0074531
JU1212	-0.0085473
JU1213	-0.01376
JU1242	-0.014338
JU1246	-0.013422
JU1395	-0.011372
JU1400	-0.0035146
JU1409	-0.0080063
JU1440	-0.0096369
JU1491	-0.0069856
JU1530	-0.0043536
JU1543	-0.006659
JU1568	-0.0010455
JU1580	-0.0063097
JU1581	-0.012437
JU1586	-0.0086706
JU1652	-0.005532
JU1793	-0.0083259
JU1808	-0.0071056
JU1896	-0.0069026
JU2001	-0.0076329
JU2007	-0.0095259
JU2131	-0.0066535
JU2141	-0.0050393
JU2234	-0.0027889
JU2464	-0.0108
JU2466	-0.0031023
JU2513	-0.012256
JU2519	-0.0095613
JU2522	-0.0043892
JU2526	-0.0092291
JU2534	-0.010616
JU2565	-0.0038113
JU2566	-0.002603
JU2578	-0.020912
JU258	-0.010213
JU2587	-0.0089656
JU2593	-0.011083
JU2600	-0.0037102
JU2800	-0.016308
JU2862	-0.011804
JU2866	-0.010442
JU2878	-0.043707
JU2879	-0.0060539
JU2906	0.00096915
JU310	-0.0040969
JU311	-0.00622
JU3125	-0.0099281
JU3127	-0.0080766
JU3134	-0.0087737
JU3135	-0.010326
JU3137	-0.0033841
JU3140	-0.0057437
JU323	-0.0055688
JU346	-0.0089856
JU360	-0.011239
JU367	-0.0056452
JU393	-0.010001
JU394	-0.0093943
JU397	-0.0037241
JU406	-0.0050739
JU440	-0.0078138
JU561	-0.0068968
JU642	-0.0071438
JU751	-0.0042139
JU774	-0.012709
JU775	-0.0051751
JU778	-0.0079607
JU782	-0.0049209
JU792	-0.010241
JU830	-0.0018815
JU847	-0.0045324
KR314	-0.0045046
LKC34	-0.0092991
LSJ1	-0.0041863
MY1	-0.011411
MY10	-0.0077898
MY16	-0.0030883
MY18	-0.0087544
MY2212	-0.0055708
MY23	-0.0075322
MY2453	-0.0067337
MY2530	-0.014226
MY2535	-0.0067082
MY2573	-0.0031159
MY2693	-0.0057336
MY2741	-0.012659
MY679	-0.012009
MY920	-0.010442
N2	-0.00020166
NIC1	-0.005982
NIC1107	-0.0083182
NIC166	-0.010697
NIC195	-0.014495
NIC199	-0.0096989
NIC2	-0.011327
NIC207	-0.012229
NIC231	-0.010807
NIC236	-0.012044
NIC242	-0.0083153
NIC251	-0.010065
NIC252	-0.0040023
NIC255	-0.0017267
NIC256	-0.0060859
NIC258	-0.0073243
NIC259	-0.005523
NIC260	-0.0085041
NIC261	-0.01084
NIC262	-0.006442
NIC265	-0.0082711
NIC266	-0.0066383
NIC267	-0.0088612
NIC268	-0.0081802
NIC269	-0.002363
NIC271	-0.0053169
NIC272	-0.0038185
NIC274	-0.0035023
NIC275	-0.0079973
NIC276	-0.011846
NIC277	-0.015716
NIC3	-0.0063054
NIC513	-0.01624
NIC514	-0.007618
NIC522	-0.0072317
NIC523	-0.0060074
PB303	-0.0091824
PS2025	-0.0078345
PX179	-0.0098385
QG2075	-0.0063498
QG536	-0.012537
QG556	-0.0057905
QG557	-0.010671
QW947	-0.015702
QX1212	-0.010819
QX1233	-0.0044674
QX1791	-0.006643
QX1792	-0.010747
QX1793	-0.0065534
QX1794	-0.0048448
RC301	-0.0090336
WN2001	-0.0011978
WN2002	-0.0085953
WN2033	-0.0050661
XZ1513	-0.011042
XZ1514	-4.9609e-05
XZ1516	-0.0048145
