strain	median
AB1	-0.0017035
BRC20067	-0.00074364
CB4852	-0.0009684
CB4854	-0.0011628
CB4856	-0.00054327
CB4932	-0.0015672
CX11254	-0.0003104
CX11262	-0.00028982
CX11264	-0.00066672
CX11271	-0.00039546
CX11276	-0.00065865
CX11285	-0.00018719
CX11292	-0.0014365
CX11307	-0.00033666
CX11314	-0.00076983
CX11315	-0.00079876
DL200	-0.0010168
DL226	-0.00094865
DL238	-0.0011229
ECA246	-0.00064653
ECA248	-0.0017538
ECA250	-0.00042649
ECA251	-0.0012508
ECA252	-0.00080285
ECA259	-0.00036182
ECA348	-0.00038741
ECA349	-0.000868
ECA36	-4.4431e-05
ECA363	-0.00028542
ECA372	-0.0006968
ECA396	-8.3871e-05
ED3005	-0.00274
ED3011	-0.00064862
ED3012	-0.00066296
ED3017	-0.0008196
ED3040	-0.001677
ED3046	-0.0025874
ED3048	-0.00080959
ED3049	-0.00057445
ED3052	-0.0008742
ED3073	-0.0011474
ED3077	-0.000994
EG4347	-0.0011342
EG4349	-0.0018848
EG4724	-0.0011195
EG4725	-0.0011421
EG4946	-0.00084004
GXW1	-0.001601
JT11398	-0.0012628
JU1088	-0.00080572
JU1172	-0.000117
JU1200	-0.00057288
JU1212	-0.00021587
JU1213	-0.0009791
JU1242	-0.00082235
JU1246	-0.0013586
JU1395	-0.0011481
JU1400	-0.00048821
JU1409	-0.00039912
JU1440	-0.0010381
JU1491	-0.0010574
JU1530	-0.00096935
JU1543	-0.000469
JU1568	-0.0028343
JU1580	-0.00044411
JU1581	-0.00050961
JU1586	-0.001071
JU1652	-0.00051216
JU1793	-0.00029569
JU1808	-0.001828
JU1896	-0.0011596
JU2001	-0.00045514
JU2007	-0.0010982
JU2131	-0.0011572
JU2141	-0.00052483
JU2234	-0.00052277
JU2464	-0.0013236
JU2466	-0.0012279
JU2513	-0.0009543
JU2519	-0.0013771
JU2522	-0.00095098
JU2526	-0.0014137
JU2534	-0.0009611
JU2565	-0.0006866
JU2566	-0.00059121
JU2578	-0.0016718
JU258	-0.00026676
JU2587	-0.0019015
JU2593	-0.00096138
JU2600	-0.00054781
JU2800	-0.001107
JU2862	-0.00041831
JU2866	-0.00035819
JU2878	-0.00087396
JU2879	-0.00030889
JU2906	-6.053e-05
JU310	-0.0012923
JU311	-0.00077784
JU3125	-0.00054539
JU3127	-0.00069675
JU3134	-0.001046
JU3135	-0.0015592
JU3137	-0.0006399
JU3140	-0.0010502
JU323	-0.00076923
JU346	-0.0011048
JU360	-0.00045339
JU367	-0.00069237
JU393	-0.0020638
JU394	-0.0014932
JU397	-0.00042777
JU406	-0.00088359
JU440	-0.00011748
JU561	-0.0012278
JU642	-0.00036066
JU751	-0.0011815
JU774	-0.00018648
JU775	-0.0013176
JU778	-0.0013247
JU782	-0.0013645
JU792	-0.00059004
JU830	-0.0018804
JU847	-0.00076543
KR314	-0.0020639
LKC34	-0.0015225
LSJ1	-0.00027028
MY1	-0.001284
MY10	-6.8273e-05
MY16	-0.00083321
MY18	-0.00095692
MY2212	-0.00060041
MY23	-0.00054688
MY2453	-0.0015891
MY2530	-0.0014566
MY2535	-0.00080084
MY2573	-0.0008849
MY2693	-0.00076827
MY2741	-0.0010341
MY679	-0.00070549
MY920	-0.00019615
N2	-0.00074483
NIC1	-0.0020104
NIC1107	0.0001594
NIC166	-0.00089683
NIC195	-0.00034574
NIC199	-0.00035584
NIC2	-0.00098518
NIC207	-0.00041574
NIC231	-0.0009869
NIC236	-0.00092807
NIC242	-0.00067937
NIC251	-0.0012741
NIC252	-0.00062653
NIC255	-0.00045132
NIC256	-0.0012691
NIC258	-0.00034964
NIC259	-0.00058693
NIC260	-0.00062229
NIC261	-0.00083579
NIC262	-0.00021544
NIC265	-0.0013795
NIC266	-0.00039877
NIC267	-0.0012356
NIC268	-0.00077003
NIC269	-0.00018149
NIC271	-0.0010593
NIC272	-0.0010551
NIC274	-0.00060854
NIC275	-0.0008661
NIC276	-0.00097897
NIC277	-0.00067081
NIC3	-0.00056383
NIC513	-0.00073848
NIC514	-0.00055864
NIC522	-0.0012429
NIC523	-0.0005705
PB303	-0.0005632
PS2025	-0.00017039
PX179	-0.00057788
QG2075	-0.00057731
QG536	-0.00072349
QG556	-0.00048316
QG557	1.5113e-05
QW947	-0.00020112
QX1212	-0.00087214
QX1233	-0.0011098
QX1791	-0.00026059
QX1792	-0.0013554
QX1793	-0.0011987
QX1794	-0.00060459
RC301	-0.0011064
WN2001	-0.0011605
WN2002	-0.00084967
WN2033	-0.00070931
XZ1513	-0.00018039
XZ1514	-2.687e-05
XZ1516	-0.00040251
