strain	median
AB1	9.223372036854776e+18
BRC20067	9.223372036854776e+18
CB4852	9.223372036854776e+18
CB4854	9.223372036854776e+18
CB4856	0.53608
CB4932	9.223372036854776e+18
CX11254	0.055247
CX11262	0.0089307
CX11264	9.6472
CX11271	0.33999
CX11276	9.223372036854776e+18
CX11285	0.013922
CX11292	9.223372036854776e+18
CX11307	0.0087551
CX11314	9.223372036854776e+18
CX11315	0.50563
DL200	9.223372036854776e+18
DL226	9.223372036854776e+18
DL238	9.223372036854776e+18
ECA246	9.223372036854776e+18
ECA248	9.223372036854776e+18
ECA250	0.40933
ECA251	9.223372036854776e+18
ECA252	9.223372036854776e+18
ECA259	0.02193
ECA348	0.0062249
ECA349	9.223372036854776e+18
ECA36	0.0047448
ECA363	0.017024
ECA372	9.223372036854776e+18
ECA396	0.013649
ED3005	9.223372036854776e+18
ED3011	9.223372036854776e+18
ED3012	9.223372036854776e+18
ED3017	9.223372036854776e+18
ED3040	9.223372036854776e+18
ED3046	9.223372036854776e+18
ED3048	9.223372036854776e+18
ED3049	9.223372036854776e+18
ED3052	9.223372036854776e+18
ED3073	9.223372036854776e+18
ED3077	9.223372036854776e+18
EG4347	9.223372036854776e+18
EG4349	9.223372036854776e+18
EG4724	9.223372036854776e+18
EG4725	9.223372036854776e+18
EG4946	9.223372036854776e+18
GXW1	9.223372036854776e+18
JT11398	9.223372036854776e+18
JU1088	9.223372036854776e+18
JU1172	0.025289
JU1200	9.223372036854776e+18
JU1212	9.223372036854776e+18
JU1213	9.223372036854776e+18
JU1242	9.223372036854776e+18
JU1246	9.223372036854776e+18
JU1395	9.223372036854776e+18
JU1400	0.19225
JU1409	0.047671
JU1440	9.223372036854776e+18
JU1491	9.223372036854776e+18
JU1530	9.223372036854776e+18
JU1543	9.223372036854776e+18
JU1568	9.223372036854776e+18
JU1580	0.11648
JU1581	0.17384
JU1586	9.223372036854776e+18
JU1652	0.28464
JU1793	0.015714
JU1808	9.223372036854776e+18
JU1896	9.223372036854776e+18
JU2001	42.0175
JU2007	9.223372036854776e+18
JU2131	9.223372036854776e+18
JU2141	0.13789
JU2234	0.23973
JU2464	9.223372036854776e+18
JU2466	9.223372036854776e+18
JU2513	9.223372036854776e+18
JU2519	9.223372036854776e+18
JU2522	9.223372036854776e+18
JU2526	9.223372036854776e+18
JU2534	9.223372036854776e+18
JU2565	9.223372036854776e+18
JU2566	0.11905
JU2578	9.223372036854776e+18
JU258	0.11298
JU2587	9.223372036854776e+18
JU2593	9.223372036854776e+18
JU2600	9.223372036854776e+18
JU2800	9.223372036854776e+18
JU2862	0.087273
JU2866	0.16238
JU2878	9.223372036854776e+18
JU2879	0.011268
JU2906	0.046488
JU310	9.223372036854776e+18
JU311	9.223372036854776e+18
JU3125	0.082825
JU3127	9.223372036854776e+18
JU3134	9.223372036854776e+18
JU3135	9.223372036854776e+18
JU3137	9.223372036854776e+18
JU3140	9.223372036854776e+18
JU323	9.223372036854776e+18
JU346	9.223372036854776e+18
JU360	0.010456
JU367	9.223372036854776e+18
JU393	9.223372036854776e+18
JU394	9.223372036854776e+18
JU397	0.067247
JU406	9.223372036854776e+18
JU440	0.0021395
JU561	9.223372036854776e+18
JU642	0.028958
JU751	9.223372036854776e+18
JU774	0.041413
JU775	9.223372036854776e+18
JU778	9.223372036854776e+18
JU782	9.223372036854776e+18
JU792	1.1102
JU830	9.223372036854776e+18
JU847	9.223372036854776e+18
KR314	9.223372036854776e+18
LKC34	9.223372036854776e+18
LSJ1	0.056059
MY1	9.223372036854776e+18
MY10	2.3066
MY16	9.223372036854776e+18
MY18	9.223372036854776e+18
MY2212	9.223372036854776e+18
MY23	1.2042
MY2453	9.223372036854776e+18
MY2530	9.223372036854776e+18
MY2535	9.223372036854776e+18
MY2573	9.223372036854776e+18
MY2693	9.223372036854776e+18
MY2741	9.223372036854776e+18
MY679	0.38448
MY920	0.0075303
N2	3.6948
NIC1	9.223372036854776e+18
NIC1107	0
NIC166	9.223372036854776e+18
NIC195	0.074589
NIC199	0.049761
NIC2	9.223372036854776e+18
NIC207	0.11976
NIC231	9.223372036854776e+18
NIC236	9.223372036854776e+18
NIC242	9.223372036854776e+18
NIC251	9.223372036854776e+18
NIC252	9.223372036854776e+18
NIC255	0.23791
NIC256	9.223372036854776e+18
NIC258	0.32344
NIC259	0.81305
NIC260	9.223372036854776e+18
NIC261	9.223372036854776e+18
NIC262	0.0086175
NIC265	9.223372036854776e+18
NIC266	9.223372036854776e+18
NIC267	9.223372036854776e+18
NIC268	9.223372036854776e+18
NIC269	0.0043184
NIC271	9.223372036854776e+18
NIC272	9.223372036854776e+18
NIC274	0.22317
NIC275	9.223372036854776e+18
NIC276	9.223372036854776e+18
NIC277	9.223372036854776e+18
NIC3	9.223372036854776e+18
NIC513	9.223372036854776e+18
NIC514	0.22621
NIC522	9.223372036854776e+18
NIC523	6.0027
PB303	9.223372036854776e+18
PS2025	0.0051011
PX179	0.1141
QG2075	4.611686018427388e+18
QG536	9.223372036854776e+18
QG556	0.012601
QG557	0.0022363
QW947	9.223372036854776e+18
QX1212	9.223372036854776e+18
QX1233	9.223372036854776e+18
QX1791	0.027389
QX1792	9.223372036854776e+18
QX1793	9.223372036854776e+18
QX1794	9.223372036854776e+18
RC301	9.223372036854776e+18
WN2001	9.223372036854776e+18
WN2002	9.223372036854776e+18
WN2033	9.223372036854776e+18
XZ1513	0.0010845
XZ1514	-0.00030596
XZ1516	0.020553
