strain	median
AB1	0.00030742
BRC20067	-0.001602
CB4852	-0.002539
CB4854	-0.0010472
CB4856	-0.00084381
CB4932	-0.0014378
CX11254	-0.00062339
CX11262	-7.4394e-06
CX11264	-0.00021275
CX11271	-0.0020809
CX11276	-0.00047488
CX11285	-5.5653e-05
CX11292	-0.00056748
CX11307	-0.0017268
CX11314	-0.00089167
CX11315	-0.0022209
DL200	-0.0014287
DL226	-0.00074303
DL238	-0.0017973
ECA246	-0.0012093
ECA248	-0.0022714
ECA250	-0.00077268
ECA251	-0.0021115
ECA252	-0.00062047
ECA259	-0.0015439
ECA348	-0.0026302
ECA349	-0.0013639
ECA36	-0.0013329
ECA363	-6.9628e-05
ECA372	-0.002276
ECA396	-0.0013308
ED3005	-0.0021558
ED3011	-0.0018147
ED3012	-0.00093247
ED3017	-0.0018752
ED3040	-0.0013318
ED3046	-0.00087095
ED3048	-0.0014847
ED3049	-0.0015215
ED3052	-0.0017051
ED3073	-0.0011272
ED3077	-0.0011925
EG4347	-0.002204
EG4349	-0.0025989
EG4724	-0.00076313
EG4725	-0.0011413
EG4946	-0.0018172
GXW1	-0.0016351
JT11398	-0.0010918
JU1088	-0.0010171
JU1172	-0.0014071
JU1200	-0.0011297
JU1212	-0.00084826
JU1213	-0.0016698
JU1242	-0.0014326
JU1246	-0.0018294
JU1395	-0.0025428
JU1400	-0.00063091
JU1409	-0.0018268
JU1440	-0.00078907
JU1491	-0.0034724
JU1530	-0.0014884
JU1543	-0.000679
JU1568	0.00067239
JU1580	-0.0014717
JU1581	-0.001413
JU1586	-0.0007566
JU1652	-0.0018336
JU1793	-0.0012022
JU1808	-0.00089628
JU1896	-0.0024467
JU2001	-0.00075515
JU2007	-0.0010449
JU2131	-0.0021159
JU2141	-0.0015549
JU2234	-0.0011463
JU2464	-0.0022446
JU2466	-0.0025283
JU2513	-0.0015965
JU2519	-0.0012054
JU2522	2.1072e-05
JU2526	-0.0010683
JU2534	-0.0016877
JU2565	-0.00078826
JU2566	-0.0012381
JU2578	-0.00063404
JU258	-0.00072886
JU2587	-0.0024525
JU2593	-0.0019107
JU2600	-0.00019556
JU2800	-0.0010278
JU2862	-0.00016979
JU2866	-0.0014019
JU2878	-0.0011052
JU2879	-0.0007089
JU2906	-0.00039079
JU310	-0.0012215
JU311	-0.0015296
JU3125	-0.0021422
JU3127	-0.0027325
JU3134	-0.0023661
JU3135	-0.0015507
JU3137	-0.00069517
JU3140	-0.0019084
JU323	-0.0015004
JU346	-0.0011213
JU360	-0.00053251
JU367	-0.0024927
JU393	-0.00075688
JU394	-0.0017702
JU397	-0.0003363
JU406	-0.0018936
JU440	-0.0012893
JU561	-0.00091268
JU642	-0.00084764
JU751	-0.0015096
JU774	-0.0014985
JU775	-0.0027089
JU778	-0.00075173
JU782	-0.00074106
JU792	-0.0034724
JU830	-0.00098813
JU847	-0.001129
KR314	-0.0026113
LKC34	-0.0018204
LSJ1	-0.0016472
MY1	-0.0022968
MY10	-0.00090278
MY16	-0.0011259
MY18	-0.0005725
MY2212	-0.0019279
MY23	-0.0012332
MY2453	-0.002232
MY2530	-0.0014823
MY2535	-0.0011623
MY2573	-0.0010862
MY2693	-0.0011711
MY2741	-0.0013764
MY679	-0.001781
MY920	-0.0022783
N2	-0.00072998
NIC1	-0.00094084
NIC1107	-0.0017194
NIC166	-0.0011988
NIC195	-0.001837
NIC199	-0.0015667
NIC2	-0.0012468
NIC207	-0.0017071
NIC231	-0.0014411
NIC236	-0.0019521
NIC242	-0.001117
NIC251	-0.00045871
NIC252	-0.0004095
NIC255	-0.00058923
NIC256	-0.00077332
NIC258	-0.00056542
NIC259	-0.0010969
NIC260	-0.002313
NIC261	-0.00095679
NIC262	-0.00026557
NIC265	-0.0025536
NIC266	-0.0024283
NIC267	-0.00064506
NIC268	-0.0010028
NIC269	-0.0011393
NIC271	-0.0027625
NIC272	-0.0014517
NIC274	-0.0011244
NIC275	-0.0014486
NIC276	-0.0024732
NIC277	-0.0017201
NIC3	-0.0012164
NIC513	-0.00238
NIC514	-0.00060703
NIC522	-0.0021365
NIC523	-0.0016469
PB303	-0.0019167
PS2025	-0.0012934
PX179	-0.0012268
QG2075	-0.001307
QG536	-0.0014888
QG556	-0.00096963
QG557	-0.00059743
QW947	-0.0016022
QX1212	-0.0016448
QX1233	-0.00077466
QX1791	-0.00063852
QX1792	-0.0010679
QX1793	-0.0014228
QX1794	-0.0017934
RC301	-0.00031345
WN2001	-0.00049653
WN2002	-0.0013616
WN2033	-0.0013172
XZ1513	-0.001765
XZ1514	-0.00054859
XZ1516	0.00063
