strain	median
AB1	-0.00027702
BRC20067	-0.0025952
CB4852	-0.00445
CB4854	-0.0026648
CB4856	-0.0021608
CB4932	-0.0050938
CX11254	-0.0025571
CX11262	4.386e-05
CX11264	-0.0019729
CX11271	-0.0050679
CX11276	0.00028486
CX11285	-0.0018101
CX11292	-0.001887
CX11307	-0.0029725
CX11314	-0.0029291
CX11315	-0.0032959
DL200	-0.0025111
DL226	-0.0033057
DL238	-0.0042077
ECA246	-0.0034133
ECA248	-0.0056489
ECA250	-0.00043253
ECA251	-0.0043923
ECA252	0.00017986
ECA259	-0.0041445
ECA348	-0.0017897
ECA349	-0.0018148
ECA36	-0.0040614
ECA363	0.00071028
ECA372	-0.0038348
ECA396	-0.0014432
ED3005	-0.005227
ED3011	-0.0038145
ED3012	-0.0026684
ED3017	-0.0042039
ED3040	-0.0022496
ED3046	-0.0012296
ED3048	-0.0035792
ED3049	-0.0030433
ED3052	-0.0037887
ED3073	-0.0032661
ED3077	-0.0022503
EG4347	-0.0029965
EG4349	-0.0039017
EG4724	-0.0011331
EG4725	-0.0021045
EG4946	-0.0070698
GXW1	-0.0043479
JT11398	-0.0031447
JU1088	-0.0013433
JU1172	-0.0032882
JU1200	-0.002529
JU1212	-0.0034974
JU1213	-0.0040344
JU1242	-0.0035
JU1246	-0.0036334
JU1395	-0.0032357
JU1400	-0.0024523
JU1409	-0.0045595
JU1440	-0.0023153
JU1491	-0.0069977
JU1530	-0.005203
JU1543	-0.00062713
JU1568	-0.0014436
JU1580	-0.0024425
JU1581	-0.0022135
JU1586	-0.0026797
JU1652	-0.0026894
JU1793	-0.0023503
JU1808	-0.0023255
JU1896	-0.0056388
JU2001	-0.0011288
JU2007	-0.0015271
JU2131	-0.004572
JU2141	-0.0032824
JU2234	-0.0018059
JU2464	-0.0066204
JU2466	-0.0040196
JU2513	-0.0024277
JU2519	-0.0030215
JU2522	-0.0015256
JU2526	-0.0027485
JU2534	-0.0028267
JU2565	-0.0016121
JU2566	-0.0035289
JU2578	-0.0015036
JU258	-0.0015875
JU2587	-0.0031396
JU2593	-0.0056326
JU2600	-0.001875
JU2800	-0.0025165
JU2862	-0.0012492
JU2866	-0.0031323
JU2878	-0.0026608
JU2879	-0.0020531
JU2906	-0.00040833
JU310	-0.0021698
JU311	-0.00284
JU3125	-0.0050815
JU3127	-0.0051191
JU3134	-0.0062664
JU3135	-0.0032387
JU3137	-0.0020168
JU3140	-0.0044198
JU323	-0.0028215
JU346	-0.0032468
JU360	-0.001809
JU367	-0.0038051
JU393	-0.0019276
JU394	-0.0038615
JU397	-0.00073603
JU406	-0.0037202
JU440	-0.0034799
JU561	-0.0022008
JU642	-0.0022332
JU751	-0.0015417
JU774	-0.0029469
JU775	-0.0049781
JU778	-0.0013146
JU782	-0.0012627
JU792	-0.004
JU830	-0.0008521
JU847	-0.0030078
KR314	-0.003971
LKC34	-0.0041011
LSJ1	-0.0016319
MY1	-0.0059196
MY10	-0.0016355
MY16	-0.0023739
MY18	-0.00046255
MY2212	-0.0043866
MY23	-0.0028574
MY2453	-0.0051191
MY2530	-0.0027121
MY2535	-0.0044802
MY2573	-0.0029403
MY2693	-0.0027027
MY2741	-0.0037922
MY679	-0.0022236
MY920	-0.0046301
N2	-0.0006683
NIC1	-0.0014294
NIC1107	-0.0021614
NIC166	-0.0028853
NIC195	-0.0034205
NIC199	-0.0036906
NIC2	-0.0041919
NIC207	-0.003229
NIC231	-0.0036318
NIC236	-0.0041484
NIC242	-0.0029742
NIC251	-0.001166
NIC252	-0.0010052
NIC255	-0.00092362
NIC256	-0.0020361
NIC258	-7.7824e-05
NIC259	-0.0020536
NIC260	-0.0063648
NIC261	-0.0024075
NIC262	-0.0017819
NIC265	-0.0059632
NIC266	-0.0051665
NIC267	-0.0018155
NIC268	-0.0017149
NIC269	-0.0020331
NIC271	-0.0057957
NIC272	-0.0045636
NIC274	-0.0014563
NIC275	-0.0030355
NIC276	-0.0068744
NIC277	-0.0037082
NIC3	-0.002904
NIC513	-0.0059159
NIC514	-0.001529
NIC522	-0.0042681
NIC523	-0.0024002
PB303	-0.003109
PS2025	-0.0028615
PX179	-0.0035596
QG2075	-0.0031381
QG536	-0.0026732
QG556	-0.0027956
QG557	-0.0017476
QW947	-0.0023963
QX1212	-0.0047685
QX1233	-0.0013039
QX1791	-0.00069829
QX1792	-0.0038656
QX1793	-0.0041977
QX1794	-0.0039494
RC301	-0.0014213
WN2001	-0.00054278
WN2002	-0.0034796
WN2033	-0.0036843
XZ1513	-0.0059677
XZ1514	-0.00084757
XZ1516	-9.431e-05
