strain	median
AB1	-0.00060178
BRC20067	-0.00036273
CB4852	-0.00032802
CB4854	-0.00045791
CB4856	-0.00029571
CB4932	-0.00067205
CX11254	-0.00016234
CX11262	0.00014887
CX11264	-0.00019518
CX11271	-0.0002012
CX11276	-0.00024738
CX11285	-0.00011333
CX11292	-0.00058516
CX11307	-0.00010835
CX11314	-0.00035744
CX11315	-0.00013645
DL200	-0.00014503
DL226	-0.00046197
DL238	-0.00052687
ECA246	-0.00026593
ECA248	-0.00082212
ECA250	-0.00023363
ECA251	-0.00057207
ECA252	-0.0003481
ECA259	-0.00013636
ECA348	-0.0002377
ECA349	-0.00030535
ECA36	-0.00014879
ECA363	-0.00014246
ECA372	-0.00030909
ECA396	-7.9806e-06
ED3005	-0.0012692
ED3011	-0.00042192
ED3012	-0.00024051
ED3017	-0.00036133
ED3040	-0.00076739
ED3046	-0.0008795
ED3048	-0.00034574
ED3049	-0.00021754
ED3052	-0.00039693
ED3073	-0.00043767
ED3077	-0.0004592
EG4347	-0.00052342
EG4349	-0.00068356
EG4724	-0.000576
EG4725	-0.0005114
EG4946	-0.00045118
GXW1	-0.00060026
JT11398	-0.00069885
JU1088	-0.00041529
JU1172	-0.00010693
JU1200	-0.00027613
JU1212	-0.0001974
JU1213	-0.00034096
JU1242	-0.00043729
JU1246	-0.00057149
JU1395	-0.0005408
JU1400	-0.00016248
JU1409	-0.00014793
JU1440	-0.00055957
JU1491	-0.00048133
JU1530	-0.00030686
JU1543	-0.00035621
JU1568	-0.0010859
JU1580	-0.00025235
JU1581	-0.00029034
JU1586	-0.00054519
JU1652	-0.00019077
JU1793	-0.00017186
JU1808	-0.00089942
JU1896	-0.0005048
JU2001	-0.00015617
JU2007	-0.00046433
JU2131	-0.00059378
JU2141	-0.00025262
JU2234	-0.00028926
JU2464	-0.00057422
JU2466	-0.00051958
JU2513	-0.0003802
JU2519	-0.00066765
JU2522	-0.00043567
JU2526	-0.00062688
JU2534	-0.00034347
JU2565	-0.00035504
JU2566	-0.00028762
JU2578	-0.00085864
JU258	-0.00020777
JU2587	-0.00073609
JU2593	-0.00054182
JU2600	-0.00028187
JU2800	-0.00065459
JU2862	-0.0001986
JU2866	-0.00013251
JU2878	-0.00040925
JU2879	-0.00016477
JU2906	-0.0001491
JU310	-0.00049688
JU311	-0.00034577
JU3125	-0.00031516
JU3127	-0.00035411
JU3134	-0.00038782
JU3135	-0.00067196
JU3137	-0.0003071
JU3140	-0.00035326
JU323	-0.00032624
JU346	-0.00043704
JU360	-0.00022822
JU367	-0.00025463
JU393	-0.00086479
JU394	-0.00060579
JU397	-0.00023428
JU406	-0.00035889
JU440	-5.3442e-05
JU561	-0.00067674
JU642	-0.00014908
JU751	-0.00071404
JU774	-2.1284e-05
JU775	-0.00054695
JU778	-0.00060323
JU782	-0.0005814
JU792	-0.00032292
JU830	-0.00087662
JU847	-0.00031181
KR314	-0.00088626
LKC34	-0.0007593
LSJ1	-0.00011552
MY1	-0.0005616
MY10	-3.8196e-05
MY16	-0.00039992
MY18	-0.00040724
MY2212	-0.00023805
MY23	-0.00023363
MY2453	-0.00065293
MY2530	-0.0006614
MY2535	-0.00029015
MY2573	-0.00030351
MY2693	-0.00030198
MY2741	-0.00042576
MY679	-0.0001917
MY920	-0.00011644
N2	-0.00019881
NIC1	-0.00095521
NIC1107	0.00013313
NIC166	-0.00043442
NIC195	-0.0002039
NIC199	-0.00018776
NIC2	-0.00041255
NIC207	-0.00021983
NIC231	-0.00050955
NIC236	-0.00044032
NIC242	-0.00037432
NIC251	-0.00060914
NIC252	-0.00033693
NIC255	-0.00020187
NIC256	-0.00044165
NIC258	-0.00020625
NIC259	-0.00019366
NIC260	-0.0002663
NIC261	-0.00030102
NIC262	-0.00013689
NIC265	-0.00058785
NIC266	-0.00011458
NIC267	-0.0006964
NIC268	-0.00043287
NIC269	-8.3813e-05
NIC271	-0.00053087
NIC272	-0.00037847
NIC274	-0.00025444
NIC275	-0.00041018
NIC276	-0.00053622
NIC277	-0.00032043
NIC3	-0.00031603
NIC513	-0.00044129
NIC514	-0.00023289
NIC522	-0.00055021
NIC523	-0.00032159
PB303	-0.00027834
PS2025	-9.4823e-05
PX179	-0.00025169
QG2075	-5.2437e-05
QG536	-0.00043941
QG556	-0.00026877
QG557	-3.7725e-05
QW947	-0.00014488
QX1212	-0.00039045
QX1233	-0.0005387
QX1791	-5.746e-05
QX1792	-0.00054084
QX1793	-0.00061049
QX1794	-0.00040536
RC301	-0.00053346
WN2001	-0.00041334
WN2002	-0.00043455
WN2033	-0.0002406
XZ1513	-6.8741e-05
XZ1514	-7.4906e-05
XZ1516	-0.00021017
