strain	median
AB1	-0.019342
BRC20067	-0.03369
CB4852	-0.016563
CB4854	-0.031184
CB4856	-0.018171
CB4932	-0.019767
CX11254	-0.012305
CX11262	-0.0011629
CX11264	-0.0023077
CX11271	-0.044064
CX11276	-0.0029339
CX11285	-0.0053328
CX11292	-0.013666
CX11307	-0.035883
CX11314	-0.014259
CX11315	-0.0060547
DL200	-0.012036
DL226	-0.020041
DL238	-0.023289
ECA246	-0.016722
ECA248	-0.032242
ECA250	-0.017881
ECA251	-0.020466
ECA252	-0.001302
ECA259	-0.024494
ECA348	0.0035592
ECA349	-0.0090229
ECA36	-0.041901
ECA363	-0.0095709
ECA372	-0.025153
ECA396	-0.017615
ED3005	-0.016303
ED3011	-0.043758
ED3012	-0.030989
ED3017	-0.023449
ED3040	-0.03137
ED3046	-0.0066029
ED3048	-0.023076
ED3049	-0.010784
ED3052	-0.032106
ED3073	-0.024515
ED3077	-0.0609
EG4347	-0.024678
EG4349	-0.0051223
EG4724	-0.020802
EG4725	-0.013992
EG4946	-0.026454
GXW1	-0.015821
JT11398	-0.018857
JU1088	-0.020172
JU1172	-0.022954
JU1200	-0.015987
JU1212	-0.01519
JU1213	-0.024733
JU1242	-0.046449
JU1246	-0.037735
JU1395	-0.019429
JU1400	-0.0090443
JU1409	-0.01404
JU1440	-0.020544
JU1491	-0.030577
JU1530	-0.0095648
JU1543	-0.0024675
JU1568	-0.0032072
JU1580	-0.021273
JU1581	-0.018445
JU1586	-0.014641
JU1652	-0.017943
JU1793	-0.011713
JU1808	-0.0096275
JU1896	-0.01911
JU2001	-0.018899
JU2007	-0.013736
JU2131	-0.017864
JU2141	-0.0088062
JU2234	-0.0044915
JU2464	-0.049138
JU2466	-0.0092573
JU2513	-0.031168
JU2519	-0.027332
JU2522	-0.016706
JU2526	-0.018245
JU2534	-0.041859
JU2565	-0.0084434
JU2566	-0.002933
JU2578	-0.054678
JU258	-0.014337
JU2587	-0.010645
JU2593	-0.031389
JU2600	-0.021323
JU2800	-0.056695
JU2862	-0.037558
JU2866	-0.015205
JU2878	-0.093779
JU2879	-0.011704
JU2906	-0.005338
JU310	-0.0080104
JU311	-0.012002
JU3125	-0.010702
JU3127	-0.031855
JU3134	-0.0053043
JU3135	-0.027384
JU3137	-0.018344
JU3140	-0.0185
JU323	-0.011533
JU346	-0.01819
JU360	-0.021877
JU367	-0.010239
JU393	-0.025347
JU394	-0.017641
JU397	-0.0076638
JU406	-0.0061048
JU440	-0.014755
JU561	-0.030595
JU642	-0.035456
JU751	-0.012318
JU774	-0.018888
JU775	-0.0087395
JU778	-0.018428
JU782	-0.011716
JU792	-0.01431
JU830	-0.0048384
JU847	-0.0041277
KR314	-0.024001
LKC34	-0.029758
LSJ1	-0.009871
MY1	-0.014597
MY10	-0.029221
MY16	-0.012028
MY18	-0.031073
MY2212	-0.020236
MY23	-0.021278
MY2453	-0.0051477
MY2530	-0.0285
MY2535	-0.019647
MY2573	-0.0049184
MY2693	-0.011493
MY2741	-0.023831
MY679	-0.027371
MY920	-0.014548
N2	-7.2536e-05
NIC1	-0.039152
NIC1107	-0.025992
NIC166	-0.020748
NIC195	-0.036311
NIC199	-0.012222
NIC2	-0.02038
NIC207	-0.030951
NIC231	-0.043555
NIC236	-0.01326
NIC242	-0.017171
NIC251	-0.024636
NIC252	-0.0059806
NIC255	-0.0063011
NIC256	-0.016136
NIC258	-0.031438
NIC259	-0.015192
NIC260	-0.016163
NIC261	-0.010965
NIC262	-0.0077174
NIC265	-0.016373
NIC266	-0.0098353
NIC267	-0.062531
NIC268	-0.030467
NIC269	-0.0083872
NIC271	-0.032891
NIC272	-0.012292
NIC274	-0.013061
NIC275	-0.015374
NIC276	-0.021615
NIC277	-0.030265
NIC3	-0.0052592
NIC513	-0.042489
NIC514	-0.011966
NIC522	-0.015051
NIC523	-0.0084518
PB303	-0.026733
PS2025	-0.010015
PX179	-0.012724
QG2075	-0.0098383
QG536	-0.030602
QG556	-0.018057
QG557	-0.024362
QW947	-0.0421
QX1212	-0.0091842
QX1233	-0.0085779
QX1791	-0.015463
QX1792	-0.033209
QX1793	-0.010789
QX1794	-0.013134
RC301	-0.01159
WN2001	-0.0079035
WN2002	-0.016352
WN2033	-0.014001
XZ1513	-0.018465
XZ1514	-0.00032929
XZ1516	-0.0050743
