strain	median
AB1	-9.223372036854776e+18
BRC20067	-9.223372036854776e+18
CB4852	-9.223372036854776e+18
CB4854	-9.223372036854776e+18
CB4856	-0.93977
CB4932	-9.223372036854776e+18
CX11254	-0.0317
CX11262	-0.0024457
CX11264	-61.9245
CX11271	-0.29335
CX11276	-9.223372036854776e+18
CX11285	-0.0048408
CX11292	-9.223372036854776e+18
CX11307	-0.0033615
CX11314	-9.223372036854776e+18
CX11315	-0.88276
DL200	-9.223372036854776e+18
DL226	-9.223372036854776e+18
DL238	-9.223372036854776e+18
ECA246	-9.223372036854776e+18
ECA248	-9.223372036854776e+18
ECA250	-0.64251
ECA251	-9.223372036854776e+18
ECA252	-9.223372036854776e+18
ECA259	-0.013951
ECA348	-0.0026657
ECA349	-9.223372036854776e+18
ECA36	-0.0019565
ECA363	-0.0061542
ECA372	-9.223372036854776e+18
ECA396	-0.003899
ED3005	-9.223372036854776e+18
ED3011	-9.223372036854776e+18
ED3012	-9.223372036854776e+18
ED3017	-9.223372036854776e+18
ED3040	-9.223372036854776e+18
ED3046	-9.223372036854776e+18
ED3048	-9.223372036854776e+18
ED3049	-9.223372036854776e+18
ED3052	-9.223372036854776e+18
ED3073	-9.223372036854776e+18
ED3077	-9.223372036854776e+18
EG4347	-9.223372036854776e+18
EG4349	-9.223372036854776e+18
EG4724	-9.223372036854776e+18
EG4725	-9.223372036854776e+18
EG4946	-9.223372036854776e+18
GXW1	-9.223372036854776e+18
JT11398	-9.223372036854776e+18
JU1088	-9.223372036854776e+18
JU1172	-0.011708
JU1200	-9.223372036854776e+18
JU1212	-1165.7326
JU1213	-9.223372036854776e+18
JU1242	-9.223372036854776e+18
JU1246	-9.223372036854776e+18
JU1395	-9.223372036854776e+18
JU1400	-0.30476
JU1409	-0.01768
JU1440	-9.223372036854776e+18
JU1491	-9.223372036854776e+18
JU1530	-9.223372036854776e+18
JU1543	-9.223372036854776e+18
JU1568	-9.223372036854776e+18
JU1580	-0.091947
JU1581	-0.13028
JU1586	-9.223372036854776e+18
JU1652	-0.40273
JU1793	-0.0061037
JU1808	-9.223372036854776e+18
JU1896	-9.223372036854776e+18
JU2001	-30.2607
JU2007	-9.223372036854776e+18
JU2131	-9.223372036854776e+18
JU2141	-0.11395
JU2234	-0.29157
JU2464	-9.223372036854776e+18
JU2466	-9.223372036854776e+18
JU2513	-9.223372036854776e+18
JU2519	-9.223372036854776e+18
JU2522	-9.223372036854776e+18
JU2526	-9.223372036854776e+18
JU2534	-9.223372036854776e+18
JU2565	-9.223372036854776e+18
JU2566	-0.13122
JU2578	-9.223372036854776e+18
JU258	-0.045905
JU2587	-9.223372036854776e+18
JU2593	-9.223372036854776e+18
JU2600	-81.4478
JU2800	-9.223372036854776e+18
JU2862	-0.068251
JU2866	-0.032114
JU2878	-9.223372036854776e+18
JU2879	-0.0043214
JU2906	-0.025278
JU310	-9.223372036854776e+18
JU311	-9.223372036854776e+18
JU3125	-0.058586
JU3127	-9.223372036854776e+18
JU3134	-9.223372036854776e+18
JU3135	-9.223372036854776e+18
JU3137	-9.223372036854776e+18
JU3140	-9.223372036854776e+18
JU323	-9.223372036854776e+18
JU346	-9.223372036854776e+18
JU360	-0.0043912
JU367	-9.223372036854776e+18
JU393	-9.223372036854776e+18
JU394	-9.223372036854776e+18
JU397	-0.048418
JU406	-9.223372036854776e+18
JU440	-0.00086229
JU561	-9.223372036854776e+18
JU642	-0.011571
JU751	-9.223372036854776e+18
JU774	-0.019692
JU775	-9.223372036854776e+18
JU778	-9.223372036854776e+18
JU782	-9.223372036854776e+18
JU792	-2.9075
JU830	-9.223372036854776e+18
JU847	-9.223372036854776e+18
KR314	-9.223372036854776e+18
LKC34	-9.223372036854776e+18
LSJ1	-0.045163
MY1	-9.223372036854776e+18
MY10	-2.2774
MY16	-9.223372036854776e+18
MY18	-9.223372036854776e+18
MY2212	-9.223372036854776e+18
MY23	-3.5105
MY2453	-9.223372036854776e+18
MY2530	-9.223372036854776e+18
MY2535	-9.223372036854776e+18
MY2573	-9.223372036854776e+18
MY2693	-9.223372036854776e+18
MY2741	-9.223372036854776e+18
MY679	-0.65664
MY920	-0.0037303
N2	-31.4119
NIC1	-9.223372036854776e+18
NIC1107	0
NIC166	-9.223372036854776e+18
NIC195	-0.047403
NIC199	-0.02683
NIC2	-9.223372036854776e+18
NIC207	-0.078036
NIC231	-9.223372036854776e+18
NIC236	-9.223372036854776e+18
NIC242	-9.223372036854776e+18
NIC251	-9.223372036854776e+18
NIC252	-9.223372036854776e+18
NIC255	-0.2206
NIC256	-9.223372036854776e+18
NIC258	-0.43763
NIC259	-1.7008
NIC260	-9.223372036854776e+18
NIC261	-9.223372036854776e+18
NIC262	-0.0032535
NIC265	-9.223372036854776e+18
NIC266	-9.223372036854776e+18
NIC267	-9.223372036854776e+18
NIC268	-9.223372036854776e+18
NIC269	-0.0010941
NIC271	-9.223372036854776e+18
NIC272	-9.223372036854776e+18
NIC274	-0.17733
NIC275	-9.223372036854776e+18
NIC276	-9.223372036854776e+18
NIC277	-9.223372036854776e+18
NIC3	-9.223372036854776e+18
NIC513	-9.223372036854776e+18
NIC514	-0.36729
NIC522	-9.223372036854776e+18
NIC523	-19.64
PB303	-9.223372036854776e+18
PS2025	-0.0017494
PX179	-0.097078
QG2075	-4.611686018427388e+18
QG536	-9.223372036854776e+18
QG556	-0.0046011
